idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
1753,She bought a soothing five pencils.,She bought,a five soothing pencils,five soothing pencils,a soothing five pencils,five soothing pencils,a five pencils,a soothing pencils
1754,She bought a soothing five belts.,She bought,a five soothing belts,five soothing belts,a soothing five belts,five soothing belts,a five belts,a soothing belts
1755,She bought a soothing five forks.,She bought,a five soothing forks,five soothing forks,a soothing five forks,five soothing forks,a five forks,a soothing forks
1756,She bought a soothing five chairs.,She bought,a five soothing chairs,five soothing chairs,a soothing five chairs,five soothing chairs,a five chairs,a soothing chairs
1757,She bought a soothing five cans.,She bought,a five soothing cans,five soothing cans,a soothing five cans,five soothing cans,a five cans,a soothing cans
1758,She bought a soothing five bananas.,She bought,a five soothing bananas,five soothing bananas,a soothing five bananas,five soothing bananas,a five bananas,a soothing bananas
1759,She bought a soothing five apples.,She bought,a five soothing apples,five soothing apples,a soothing five apples,five soothing apples,a five apples,a soothing apples
1760,She bought a soothing five trays.,She bought,a five soothing trays,five soothing trays,a soothing five trays,five soothing trays,a five trays,a soothing trays
1761,She bought a soothing twenty desks.,She bought,a twenty soothing desks,twenty soothing desks,a soothing twenty desks,twenty soothing desks,a twenty desks,a soothing desks
1762,She bought a soothing twenty marbles.,She bought,a twenty soothing marbles,twenty soothing marbles,a soothing twenty marbles,twenty soothing marbles,a twenty marbles,a soothing marbles
1763,She bought a soothing twenty pencils.,She bought,a twenty soothing pencils,twenty soothing pencils,a soothing twenty pencils,twenty soothing pencils,a twenty pencils,a soothing pencils
1764,She bought a soothing twenty belts.,She bought,a twenty soothing belts,twenty soothing belts,a soothing twenty belts,twenty soothing belts,a twenty belts,a soothing belts
1765,She bought a soothing twenty forks.,She bought,a twenty soothing forks,twenty soothing forks,a soothing twenty forks,twenty soothing forks,a twenty forks,a soothing forks
1766,She bought a soothing twenty chairs.,She bought,a twenty soothing chairs,twenty soothing chairs,a soothing twenty chairs,twenty soothing chairs,a twenty chairs,a soothing chairs
1767,She bought a soothing twenty cans.,She bought,a twenty soothing cans,twenty soothing cans,a soothing twenty cans,twenty soothing cans,a twenty cans,a soothing cans
1768,She bought a soothing twenty bananas.,She bought,a twenty soothing bananas,twenty soothing bananas,a soothing twenty bananas,twenty soothing bananas,a twenty bananas,a soothing bananas
1769,She bought a soothing twenty apples.,She bought,a twenty soothing apples,twenty soothing apples,a soothing twenty apples,twenty soothing apples,a twenty apples,a soothing apples
1770,She bought a soothing twenty trays.,She bought,a twenty soothing trays,twenty soothing trays,a soothing twenty trays,twenty soothing trays,a twenty trays,a soothing trays
1771,She bought a charming three desks.,She bought,a three charming desks,three charming desks,a charming three desks,three charming desks,a three desks,a charming desks
1772,She bought a charming three marbles.,She bought,a three charming marbles,three charming marbles,a charming three marbles,three charming marbles,a three marbles,a charming marbles
1773,She bought a charming three pencils.,She bought,a three charming pencils,three charming pencils,a charming three pencils,three charming pencils,a three pencils,a charming pencils
1774,She bought a charming three belts.,She bought,a three charming belts,three charming belts,a charming three belts,three charming belts,a three belts,a charming belts
1775,She bought a charming three forks.,She bought,a three charming forks,three charming forks,a charming three forks,three charming forks,a three forks,a charming forks
1776,She bought a charming three chairs.,She bought,a three charming chairs,three charming chairs,a charming three chairs,three charming chairs,a three chairs,a charming chairs
1777,She bought a charming three cans.,She bought,a three charming cans,three charming cans,a charming three cans,three charming cans,a three cans,a charming cans
1778,She bought a charming three bananas.,She bought,a three charming bananas,three charming bananas,a charming three bananas,three charming bananas,a three bananas,a charming bananas
1779,She bought a charming three apples.,She bought,a three charming apples,three charming apples,a charming three apples,three charming apples,a three apples,a charming apples
1780,She bought a charming three trays.,She bought,a three charming trays,three charming trays,a charming three trays,three charming trays,a three trays,a charming trays
1781,She bought a charming five desks.,She bought,a five charming desks,five charming desks,a charming five desks,five charming desks,a five desks,a charming desks
1782,She bought a charming five marbles.,She bought,a five charming marbles,five charming marbles,a charming five marbles,five charming marbles,a five marbles,a charming marbles
1783,She bought a charming five pencils.,She bought,a five charming pencils,five charming pencils,a charming five pencils,five charming pencils,a five pencils,a charming pencils
1784,She bought a charming five belts.,She bought,a five charming belts,five charming belts,a charming five belts,five charming belts,a five belts,a charming belts
1785,She bought a charming five forks.,She bought,a five charming forks,five charming forks,a charming five forks,five charming forks,a five forks,a charming forks
1786,She bought a charming five chairs.,She bought,a five charming chairs,five charming chairs,a charming five chairs,five charming chairs,a five chairs,a charming chairs
1787,She bought a charming five cans.,She bought,a five charming cans,five charming cans,a charming five cans,five charming cans,a five cans,a charming cans
1788,She bought a charming five bananas.,She bought,a five charming bananas,five charming bananas,a charming five bananas,five charming bananas,a five bananas,a charming bananas
1789,She bought a charming five apples.,She bought,a five charming apples,five charming apples,a charming five apples,five charming apples,a five apples,a charming apples
1790,She bought a charming five trays.,She bought,a five charming trays,five charming trays,a charming five trays,five charming trays,a five trays,a charming trays
1791,She bought a charming twenty desks.,She bought,a twenty charming desks,twenty charming desks,a charming twenty desks,twenty charming desks,a twenty desks,a charming desks
1792,She bought a charming twenty marbles.,She bought,a twenty charming marbles,twenty charming marbles,a charming twenty marbles,twenty charming marbles,a twenty marbles,a charming marbles
1793,She bought a charming twenty pencils.,She bought,a twenty charming pencils,twenty charming pencils,a charming twenty pencils,twenty charming pencils,a twenty pencils,a charming pencils
1794,She bought a charming twenty belts.,She bought,a twenty charming belts,twenty charming belts,a charming twenty belts,twenty charming belts,a twenty belts,a charming belts
1795,She bought a charming twenty forks.,She bought,a twenty charming forks,twenty charming forks,a charming twenty forks,twenty charming forks,a twenty forks,a charming forks
1796,She bought a charming twenty chairs.,She bought,a twenty charming chairs,twenty charming chairs,a charming twenty chairs,twenty charming chairs,a twenty chairs,a charming chairs
1797,She bought a charming twenty cans.,She bought,a twenty charming cans,twenty charming cans,a charming twenty cans,twenty charming cans,a twenty cans,a charming cans
1798,She bought a charming twenty bananas.,She bought,a twenty charming bananas,twenty charming bananas,a charming twenty bananas,twenty charming bananas,a twenty bananas,a charming bananas
1799,She bought a charming twenty apples.,She bought,a twenty charming apples,twenty charming apples,a charming twenty apples,twenty charming apples,a twenty apples,a charming apples
1800,She bought a charming twenty trays.,She bought,a twenty charming trays,twenty charming trays,a charming twenty trays,twenty charming trays,a twenty trays,a charming trays
1801,She bought a disgusting three desks.,She bought,a three disgusting desks,three disgusting desks,a disgusting three desks,three disgusting desks,a three desks,a disgusting desks
1802,She bought a disgusting three marbles.,She bought,a three disgusting marbles,three disgusting marbles,a disgusting three marbles,three disgusting marbles,a three marbles,a disgusting marbles
1803,She bought a disgusting three pencils.,She bought,a three disgusting pencils,three disgusting pencils,a disgusting three pencils,three disgusting pencils,a three pencils,a disgusting pencils
1804,She bought a disgusting three belts.,She bought,a three disgusting belts,three disgusting belts,a disgusting three belts,three disgusting belts,a three belts,a disgusting belts
1805,She bought a disgusting three forks.,She bought,a three disgusting forks,three disgusting forks,a disgusting three forks,three disgusting forks,a three forks,a disgusting forks
1806,She bought a disgusting three chairs.,She bought,a three disgusting chairs,three disgusting chairs,a disgusting three chairs,three disgusting chairs,a three chairs,a disgusting chairs
1807,She bought a disgusting three cans.,She bought,a three disgusting cans,three disgusting cans,a disgusting three cans,three disgusting cans,a three cans,a disgusting cans
1808,She bought a disgusting three bananas.,She bought,a three disgusting bananas,three disgusting bananas,a disgusting three bananas,three disgusting bananas,a three bananas,a disgusting bananas
1809,She bought a disgusting three apples.,She bought,a three disgusting apples,three disgusting apples,a disgusting three apples,three disgusting apples,a three apples,a disgusting apples
1810,She bought a disgusting three trays.,She bought,a three disgusting trays,three disgusting trays,a disgusting three trays,three disgusting trays,a three trays,a disgusting trays
1811,She bought a disgusting five desks.,She bought,a five disgusting desks,five disgusting desks,a disgusting five desks,five disgusting desks,a five desks,a disgusting desks
1812,She bought a disgusting five marbles.,She bought,a five disgusting marbles,five disgusting marbles,a disgusting five marbles,five disgusting marbles,a five marbles,a disgusting marbles
1813,She bought a disgusting five pencils.,She bought,a five disgusting pencils,five disgusting pencils,a disgusting five pencils,five disgusting pencils,a five pencils,a disgusting pencils
1814,She bought a disgusting five belts.,She bought,a five disgusting belts,five disgusting belts,a disgusting five belts,five disgusting belts,a five belts,a disgusting belts
1815,She bought a disgusting five forks.,She bought,a five disgusting forks,five disgusting forks,a disgusting five forks,five disgusting forks,a five forks,a disgusting forks
1816,She bought a disgusting five chairs.,She bought,a five disgusting chairs,five disgusting chairs,a disgusting five chairs,five disgusting chairs,a five chairs,a disgusting chairs
1817,She bought a disgusting five cans.,She bought,a five disgusting cans,five disgusting cans,a disgusting five cans,five disgusting cans,a five cans,a disgusting cans
1818,She bought a disgusting five bananas.,She bought,a five disgusting bananas,five disgusting bananas,a disgusting five bananas,five disgusting bananas,a five bananas,a disgusting bananas
1819,She bought a disgusting five apples.,She bought,a five disgusting apples,five disgusting apples,a disgusting five apples,five disgusting apples,a five apples,a disgusting apples
1820,She bought a disgusting five trays.,She bought,a five disgusting trays,five disgusting trays,a disgusting five trays,five disgusting trays,a five trays,a disgusting trays
1821,She bought a disgusting twenty desks.,She bought,a twenty disgusting desks,twenty disgusting desks,a disgusting twenty desks,twenty disgusting desks,a twenty desks,a disgusting desks
1822,She bought a disgusting twenty marbles.,She bought,a twenty disgusting marbles,twenty disgusting marbles,a disgusting twenty marbles,twenty disgusting marbles,a twenty marbles,a disgusting marbles
1823,She bought a disgusting twenty pencils.,She bought,a twenty disgusting pencils,twenty disgusting pencils,a disgusting twenty pencils,twenty disgusting pencils,a twenty pencils,a disgusting pencils
1824,She bought a disgusting twenty belts.,She bought,a twenty disgusting belts,twenty disgusting belts,a disgusting twenty belts,twenty disgusting belts,a twenty belts,a disgusting belts
1825,She bought a disgusting twenty forks.,She bought,a twenty disgusting forks,twenty disgusting forks,a disgusting twenty forks,twenty disgusting forks,a twenty forks,a disgusting forks
1826,She bought a disgusting twenty chairs.,She bought,a twenty disgusting chairs,twenty disgusting chairs,a disgusting twenty chairs,twenty disgusting chairs,a twenty chairs,a disgusting chairs
1827,She bought a disgusting twenty cans.,She bought,a twenty disgusting cans,twenty disgusting cans,a disgusting twenty cans,twenty disgusting cans,a twenty cans,a disgusting cans
1828,She bought a disgusting twenty bananas.,She bought,a twenty disgusting bananas,twenty disgusting bananas,a disgusting twenty bananas,twenty disgusting bananas,a twenty bananas,a disgusting bananas
1829,She bought a disgusting twenty apples.,She bought,a twenty disgusting apples,twenty disgusting apples,a disgusting twenty apples,twenty disgusting apples,a twenty apples,a disgusting apples
1830,She bought a disgusting twenty trays.,She bought,a twenty disgusting trays,twenty disgusting trays,a disgusting twenty trays,twenty disgusting trays,a twenty trays,a disgusting trays
1831,She bought an uninviting three desks.,She bought,a three uninviting desks,three uninviting desks,an uninviting three desks,three uninviting desks,a three desks,an uninviting desks
1832,She bought an uninviting three marbles.,She bought,a three uninviting marbles,three uninviting marbles,an uninviting three marbles,three uninviting marbles,a three marbles,an uninviting marbles
1833,She bought an uninviting three pencils.,She bought,a three uninviting pencils,three uninviting pencils,an uninviting three pencils,three uninviting pencils,a three pencils,an uninviting pencils
1834,She bought an uninviting three belts.,She bought,a three uninviting belts,three uninviting belts,an uninviting three belts,three uninviting belts,a three belts,an uninviting belts
1835,She bought an uninviting three forks.,She bought,a three uninviting forks,three uninviting forks,an uninviting three forks,three uninviting forks,a three forks,an uninviting forks
1836,She bought an uninviting three chairs.,She bought,a three uninviting chairs,three uninviting chairs,an uninviting three chairs,three uninviting chairs,a three chairs,an uninviting chairs
1837,She bought an uninviting three cans.,She bought,a three uninviting cans,three uninviting cans,an uninviting three cans,three uninviting cans,a three cans,an uninviting cans
1838,She bought an uninviting three bananas.,She bought,a three uninviting bananas,three uninviting bananas,an uninviting three bananas,three uninviting bananas,a three bananas,an uninviting bananas
1839,She bought an uninviting three apples.,She bought,a three uninviting apples,three uninviting apples,an uninviting three apples,three uninviting apples,a three apples,an uninviting apples
1840,She bought an uninviting three trays.,She bought,a three uninviting trays,three uninviting trays,an uninviting three trays,three uninviting trays,a three trays,an uninviting trays
1841,She bought an uninviting five desks.,She bought,a five uninviting desks,five uninviting desks,an uninviting five desks,five uninviting desks,a five desks,an uninviting desks
1842,She bought an uninviting five marbles.,She bought,a five uninviting marbles,five uninviting marbles,an uninviting five marbles,five uninviting marbles,a five marbles,an uninviting marbles
1843,She bought an uninviting five pencils.,She bought,a five uninviting pencils,five uninviting pencils,an uninviting five pencils,five uninviting pencils,a five pencils,an uninviting pencils
1844,She bought an uninviting five belts.,She bought,a five uninviting belts,five uninviting belts,an uninviting five belts,five uninviting belts,a five belts,an uninviting belts
1845,She bought an uninviting five forks.,She bought,a five uninviting forks,five uninviting forks,an uninviting five forks,five uninviting forks,a five forks,an uninviting forks
1846,She bought an uninviting five chairs.,She bought,a five uninviting chairs,five uninviting chairs,an uninviting five chairs,five uninviting chairs,a five chairs,an uninviting chairs
1847,She bought an uninviting five cans.,She bought,a five uninviting cans,five uninviting cans,an uninviting five cans,five uninviting cans,a five cans,an uninviting cans
1848,She bought an uninviting five bananas.,She bought,a five uninviting bananas,five uninviting bananas,an uninviting five bananas,five uninviting bananas,a five bananas,an uninviting bananas
1849,She bought an uninviting five apples.,She bought,a five uninviting apples,five uninviting apples,an uninviting five apples,five uninviting apples,a five apples,an uninviting apples
1850,She bought an uninviting five trays.,She bought,a five uninviting trays,five uninviting trays,an uninviting five trays,five uninviting trays,a five trays,an uninviting trays
1851,She bought an uninviting twenty desks.,She bought,a twenty uninviting desks,twenty uninviting desks,an uninviting twenty desks,twenty uninviting desks,a twenty desks,an uninviting desks
1852,She bought an uninviting twenty marbles.,She bought,a twenty uninviting marbles,twenty uninviting marbles,an uninviting twenty marbles,twenty uninviting marbles,a twenty marbles,an uninviting marbles
1853,She bought an uninviting twenty pencils.,She bought,a twenty uninviting pencils,twenty uninviting pencils,an uninviting twenty pencils,twenty uninviting pencils,a twenty pencils,an uninviting pencils
1854,She bought an uninviting twenty belts.,She bought,a twenty uninviting belts,twenty uninviting belts,an uninviting twenty belts,twenty uninviting belts,a twenty belts,an uninviting belts
1855,She bought an uninviting twenty forks.,She bought,a twenty uninviting forks,twenty uninviting forks,an uninviting twenty forks,twenty uninviting forks,a twenty forks,an uninviting forks
1856,She bought an uninviting twenty chairs.,She bought,a twenty uninviting chairs,twenty uninviting chairs,an uninviting twenty chairs,twenty uninviting chairs,a twenty chairs,an uninviting chairs
1857,She bought an uninviting twenty cans.,She bought,a twenty uninviting cans,twenty uninviting cans,an uninviting twenty cans,twenty uninviting cans,a twenty cans,an uninviting cans
1858,She bought an uninviting twenty bananas.,She bought,a twenty uninviting bananas,twenty uninviting bananas,an uninviting twenty bananas,twenty uninviting bananas,a twenty bananas,an uninviting bananas
1859,She bought an uninviting twenty apples.,She bought,a twenty uninviting apples,twenty uninviting apples,an uninviting twenty apples,twenty uninviting apples,a twenty apples,an uninviting apples
1860,She bought an uninviting twenty trays.,She bought,a twenty uninviting trays,twenty uninviting trays,an uninviting twenty trays,twenty uninviting trays,a twenty trays,an uninviting trays
1861,She bought a haunting three desks.,She bought,a three haunting desks,three haunting desks,a haunting three desks,three haunting desks,a three desks,a haunting desks
1862,She bought a haunting three marbles.,She bought,a three haunting marbles,three haunting marbles,a haunting three marbles,three haunting marbles,a three marbles,a haunting marbles
1863,She bought a haunting three pencils.,She bought,a three haunting pencils,three haunting pencils,a haunting three pencils,three haunting pencils,a three pencils,a haunting pencils
1864,She bought a haunting three belts.,She bought,a three haunting belts,three haunting belts,a haunting three belts,three haunting belts,a three belts,a haunting belts
1865,She bought a haunting three forks.,She bought,a three haunting forks,three haunting forks,a haunting three forks,three haunting forks,a three forks,a haunting forks
1866,She bought a haunting three chairs.,She bought,a three haunting chairs,three haunting chairs,a haunting three chairs,three haunting chairs,a three chairs,a haunting chairs
1867,She bought a haunting three cans.,She bought,a three haunting cans,three haunting cans,a haunting three cans,three haunting cans,a three cans,a haunting cans
1868,She bought a haunting three bananas.,She bought,a three haunting bananas,three haunting bananas,a haunting three bananas,three haunting bananas,a three bananas,a haunting bananas
1869,She bought a haunting three apples.,She bought,a three haunting apples,three haunting apples,a haunting three apples,three haunting apples,a three apples,a haunting apples
1870,She bought a haunting three trays.,She bought,a three haunting trays,three haunting trays,a haunting three trays,three haunting trays,a three trays,a haunting trays
1871,She bought a haunting five desks.,She bought,a five haunting desks,five haunting desks,a haunting five desks,five haunting desks,a five desks,a haunting desks
1872,She bought a haunting five marbles.,She bought,a five haunting marbles,five haunting marbles,a haunting five marbles,five haunting marbles,a five marbles,a haunting marbles
1873,She bought a haunting five pencils.,She bought,a five haunting pencils,five haunting pencils,a haunting five pencils,five haunting pencils,a five pencils,a haunting pencils
1874,She bought a haunting five belts.,She bought,a five haunting belts,five haunting belts,a haunting five belts,five haunting belts,a five belts,a haunting belts
1875,She bought a haunting five forks.,She bought,a five haunting forks,five haunting forks,a haunting five forks,five haunting forks,a five forks,a haunting forks
1876,She bought a haunting five chairs.,She bought,a five haunting chairs,five haunting chairs,a haunting five chairs,five haunting chairs,a five chairs,a haunting chairs
1877,She bought a haunting five cans.,She bought,a five haunting cans,five haunting cans,a haunting five cans,five haunting cans,a five cans,a haunting cans
1878,She bought a haunting five bananas.,She bought,a five haunting bananas,five haunting bananas,a haunting five bananas,five haunting bananas,a five bananas,a haunting bananas
1879,She bought a haunting five apples.,She bought,a five haunting apples,five haunting apples,a haunting five apples,five haunting apples,a five apples,a haunting apples
1880,She bought a haunting five trays.,She bought,a five haunting trays,five haunting trays,a haunting five trays,five haunting trays,a five trays,a haunting trays
1881,She bought a haunting twenty desks.,She bought,a twenty haunting desks,twenty haunting desks,a haunting twenty desks,twenty haunting desks,a twenty desks,a haunting desks
1882,She bought a haunting twenty marbles.,She bought,a twenty haunting marbles,twenty haunting marbles,a haunting twenty marbles,twenty haunting marbles,a twenty marbles,a haunting marbles
1883,She bought a haunting twenty pencils.,She bought,a twenty haunting pencils,twenty haunting pencils,a haunting twenty pencils,twenty haunting pencils,a twenty pencils,a haunting pencils
1884,She bought a haunting twenty belts.,She bought,a twenty haunting belts,twenty haunting belts,a haunting twenty belts,twenty haunting belts,a twenty belts,a haunting belts
1885,She bought a haunting twenty forks.,She bought,a twenty haunting forks,twenty haunting forks,a haunting twenty forks,twenty haunting forks,a twenty forks,a haunting forks
1886,She bought a haunting twenty chairs.,She bought,a twenty haunting chairs,twenty haunting chairs,a haunting twenty chairs,twenty haunting chairs,a twenty chairs,a haunting chairs
1887,She bought a haunting twenty cans.,She bought,a twenty haunting cans,twenty haunting cans,a haunting twenty cans,twenty haunting cans,a twenty cans,a haunting cans
1888,She bought a haunting twenty bananas.,She bought,a twenty haunting bananas,twenty haunting bananas,a haunting twenty bananas,twenty haunting bananas,a twenty bananas,a haunting bananas
1889,She bought a haunting twenty apples.,She bought,a twenty haunting apples,twenty haunting apples,a haunting twenty apples,twenty haunting apples,a twenty apples,a haunting apples
1890,She bought a haunting twenty trays.,She bought,a twenty haunting trays,twenty haunting trays,a haunting twenty trays,twenty haunting trays,a twenty trays,a haunting trays
1891,She bought a hideous three desks.,She bought,a three hideous desks,three hideous desks,a hideous three desks,three hideous desks,a three desks,a hideous desks
1892,She bought a hideous three marbles.,She bought,a three hideous marbles,three hideous marbles,a hideous three marbles,three hideous marbles,a three marbles,a hideous marbles
1893,She bought a hideous three pencils.,She bought,a three hideous pencils,three hideous pencils,a hideous three pencils,three hideous pencils,a three pencils,a hideous pencils
1894,She bought a hideous three belts.,She bought,a three hideous belts,three hideous belts,a hideous three belts,three hideous belts,a three belts,a hideous belts
1895,She bought a hideous three forks.,She bought,a three hideous forks,three hideous forks,a hideous three forks,three hideous forks,a three forks,a hideous forks
1896,She bought a hideous three chairs.,She bought,a three hideous chairs,three hideous chairs,a hideous three chairs,three hideous chairs,a three chairs,a hideous chairs
1897,She bought a hideous three cans.,She bought,a three hideous cans,three hideous cans,a hideous three cans,three hideous cans,a three cans,a hideous cans
1898,She bought a hideous three bananas.,She bought,a three hideous bananas,three hideous bananas,a hideous three bananas,three hideous bananas,a three bananas,a hideous bananas
1899,She bought a hideous three apples.,She bought,a three hideous apples,three hideous apples,a hideous three apples,three hideous apples,a three apples,a hideous apples
1900,She bought a hideous three trays.,She bought,a three hideous trays,three hideous trays,a hideous three trays,three hideous trays,a three trays,a hideous trays
1901,She bought a hideous five desks.,She bought,a five hideous desks,five hideous desks,a hideous five desks,five hideous desks,a five desks,a hideous desks
1902,She bought a hideous five marbles.,She bought,a five hideous marbles,five hideous marbles,a hideous five marbles,five hideous marbles,a five marbles,a hideous marbles
1903,She bought a hideous five pencils.,She bought,a five hideous pencils,five hideous pencils,a hideous five pencils,five hideous pencils,a five pencils,a hideous pencils
1904,She bought a hideous five belts.,She bought,a five hideous belts,five hideous belts,a hideous five belts,five hideous belts,a five belts,a hideous belts
1905,She bought a hideous five forks.,She bought,a five hideous forks,five hideous forks,a hideous five forks,five hideous forks,a five forks,a hideous forks
1906,She bought a hideous five chairs.,She bought,a five hideous chairs,five hideous chairs,a hideous five chairs,five hideous chairs,a five chairs,a hideous chairs
1907,She bought a hideous five cans.,She bought,a five hideous cans,five hideous cans,a hideous five cans,five hideous cans,a five cans,a hideous cans
1908,She bought a hideous five bananas.,She bought,a five hideous bananas,five hideous bananas,a hideous five bananas,five hideous bananas,a five bananas,a hideous bananas
1909,She bought a hideous five apples.,She bought,a five hideous apples,five hideous apples,a hideous five apples,five hideous apples,a five apples,a hideous apples
1910,She bought a hideous five trays.,She bought,a five hideous trays,five hideous trays,a hideous five trays,five hideous trays,a five trays,a hideous trays
1911,She bought a hideous twenty desks.,She bought,a twenty hideous desks,twenty hideous desks,a hideous twenty desks,twenty hideous desks,a twenty desks,a hideous desks
1912,She bought a hideous twenty marbles.,She bought,a twenty hideous marbles,twenty hideous marbles,a hideous twenty marbles,twenty hideous marbles,a twenty marbles,a hideous marbles
1913,She bought a hideous twenty pencils.,She bought,a twenty hideous pencils,twenty hideous pencils,a hideous twenty pencils,twenty hideous pencils,a twenty pencils,a hideous pencils
1914,She bought a hideous twenty belts.,She bought,a twenty hideous belts,twenty hideous belts,a hideous twenty belts,twenty hideous belts,a twenty belts,a hideous belts
1915,She bought a hideous twenty forks.,She bought,a twenty hideous forks,twenty hideous forks,a hideous twenty forks,twenty hideous forks,a twenty forks,a hideous forks
1916,She bought a hideous twenty chairs.,She bought,a twenty hideous chairs,twenty hideous chairs,a hideous twenty chairs,twenty hideous chairs,a twenty chairs,a hideous chairs
1917,She bought a hideous twenty cans.,She bought,a twenty hideous cans,twenty hideous cans,a hideous twenty cans,twenty hideous cans,a twenty cans,a hideous cans
1918,She bought a hideous twenty bananas.,She bought,a twenty hideous bananas,twenty hideous bananas,a hideous twenty bananas,twenty hideous bananas,a twenty bananas,a hideous bananas
1919,She bought a hideous twenty apples.,She bought,a twenty hideous apples,twenty hideous apples,a hideous twenty apples,twenty hideous apples,a twenty apples,a hideous apples
1920,She bought a hideous twenty trays.,She bought,a twenty hideous trays,twenty hideous trays,a hideous twenty trays,twenty hideous trays,a twenty trays,a hideous trays
1921,She bought an ugly three desks.,She bought,a three ugly desks,three ugly desks,an ugly three desks,three ugly desks,a three desks,an ugly desks
1922,She bought an ugly three marbles.,She bought,a three ugly marbles,three ugly marbles,an ugly three marbles,three ugly marbles,a three marbles,an ugly marbles
1923,She bought an ugly three pencils.,She bought,a three ugly pencils,three ugly pencils,an ugly three pencils,three ugly pencils,a three pencils,an ugly pencils
1924,She bought an ugly three belts.,She bought,a three ugly belts,three ugly belts,an ugly three belts,three ugly belts,a three belts,an ugly belts
1925,She bought an ugly three forks.,She bought,a three ugly forks,three ugly forks,an ugly three forks,three ugly forks,a three forks,an ugly forks
1926,She bought an ugly three chairs.,She bought,a three ugly chairs,three ugly chairs,an ugly three chairs,three ugly chairs,a three chairs,an ugly chairs
1927,She bought an ugly three cans.,She bought,a three ugly cans,three ugly cans,an ugly three cans,three ugly cans,a three cans,an ugly cans
1928,She bought an ugly three bananas.,She bought,a three ugly bananas,three ugly bananas,an ugly three bananas,three ugly bananas,a three bananas,an ugly bananas
1929,She bought an ugly three apples.,She bought,a three ugly apples,three ugly apples,an ugly three apples,three ugly apples,a three apples,an ugly apples
1930,She bought an ugly three trays.,She bought,a three ugly trays,three ugly trays,an ugly three trays,three ugly trays,a three trays,an ugly trays
1931,She bought an ugly five desks.,She bought,a five ugly desks,five ugly desks,an ugly five desks,five ugly desks,a five desks,an ugly desks
1932,She bought an ugly five marbles.,She bought,a five ugly marbles,five ugly marbles,an ugly five marbles,five ugly marbles,a five marbles,an ugly marbles
1933,She bought an ugly five pencils.,She bought,a five ugly pencils,five ugly pencils,an ugly five pencils,five ugly pencils,a five pencils,an ugly pencils
1934,She bought an ugly five belts.,She bought,a five ugly belts,five ugly belts,an ugly five belts,five ugly belts,a five belts,an ugly belts
1935,She bought an ugly five forks.,She bought,a five ugly forks,five ugly forks,an ugly five forks,five ugly forks,a five forks,an ugly forks
1936,She bought an ugly five chairs.,She bought,a five ugly chairs,five ugly chairs,an ugly five chairs,five ugly chairs,a five chairs,an ugly chairs
1937,She bought an ugly five cans.,She bought,a five ugly cans,five ugly cans,an ugly five cans,five ugly cans,a five cans,an ugly cans
1938,She bought an ugly five bananas.,She bought,a five ugly bananas,five ugly bananas,an ugly five bananas,five ugly bananas,a five bananas,an ugly bananas
1939,She bought an ugly five apples.,She bought,a five ugly apples,five ugly apples,an ugly five apples,five ugly apples,a five apples,an ugly apples
1940,She bought an ugly five trays.,She bought,a five ugly trays,five ugly trays,an ugly five trays,five ugly trays,a five trays,an ugly trays
1941,She bought an ugly twenty desks.,She bought,a twenty ugly desks,twenty ugly desks,an ugly twenty desks,twenty ugly desks,a twenty desks,an ugly desks
1942,She bought an ugly twenty marbles.,She bought,a twenty ugly marbles,twenty ugly marbles,an ugly twenty marbles,twenty ugly marbles,a twenty marbles,an ugly marbles
1943,She bought an ugly twenty pencils.,She bought,a twenty ugly pencils,twenty ugly pencils,an ugly twenty pencils,twenty ugly pencils,a twenty pencils,an ugly pencils
1944,She bought an ugly twenty belts.,She bought,a twenty ugly belts,twenty ugly belts,an ugly twenty belts,twenty ugly belts,a twenty belts,an ugly belts
1945,She bought an ugly twenty forks.,She bought,a twenty ugly forks,twenty ugly forks,an ugly twenty forks,twenty ugly forks,a twenty forks,an ugly forks
1946,She bought an ugly twenty chairs.,She bought,a twenty ugly chairs,twenty ugly chairs,an ugly twenty chairs,twenty ugly chairs,a twenty chairs,an ugly chairs
1947,She bought an ugly twenty cans.,She bought,a twenty ugly cans,twenty ugly cans,an ugly twenty cans,twenty ugly cans,a twenty cans,an ugly cans
1948,She bought an ugly twenty bananas.,She bought,a twenty ugly bananas,twenty ugly bananas,an ugly twenty bananas,twenty ugly bananas,a twenty bananas,an ugly bananas
1949,She bought an ugly twenty apples.,She bought,a twenty ugly apples,twenty ugly apples,an ugly twenty apples,twenty ugly apples,a twenty apples,an ugly apples
1950,She bought an ugly twenty trays.,She bought,a twenty ugly trays,twenty ugly trays,an ugly twenty trays,twenty ugly trays,a twenty trays,an ugly trays
1951,She bought a mere three desks.,She bought,a three mere desks,three mere desks,a mere three desks,three mere desks,a three desks,a mere desks
1952,She bought a mere three marbles.,She bought,a three mere marbles,three mere marbles,a mere three marbles,three mere marbles,a three marbles,a mere marbles
1953,She bought a mere three pencils.,She bought,a three mere pencils,three mere pencils,a mere three pencils,three mere pencils,a three pencils,a mere pencils
1954,She bought a mere three belts.,She bought,a three mere belts,three mere belts,a mere three belts,three mere belts,a three belts,a mere belts
1955,She bought a mere three forks.,She bought,a three mere forks,three mere forks,a mere three forks,three mere forks,a three forks,a mere forks
