,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
718,719,The diplomat worked a haunting twenty years in Nairobi.,The diplomat worked,a haunting twenty years,twenty haunting years,a haunting twenty years,twenty haunting years,a twenty years,a haunting years
719,720,The diplomat worked a haunting twenty hours in Nairobi.,The diplomat worked,a haunting twenty hours,twenty haunting hours,a haunting twenty hours,twenty haunting hours,a twenty hours,a haunting hours
720,721,The diplomat worked a hideous three days in Nairobi.,The diplomat worked,a hideous three days,three hideous days,a hideous three days,three hideous days,a three days,a hideous days
721,722,The diplomat worked a hideous three weeks in Nairobi.,The diplomat worked,a hideous three weeks,three hideous weeks,a hideous three weeks,three hideous weeks,a three weeks,a hideous weeks
722,723,The diplomat worked a hideous three months in Nairobi.,The diplomat worked,a hideous three months,three hideous months,a hideous three months,three hideous months,a three months,a hideous months
723,724,The diplomat worked a hideous three years in Nairobi.,The diplomat worked,a hideous three years,three hideous years,a hideous three years,three hideous years,a three years,a hideous years
724,725,The diplomat worked a hideous three hours in Nairobi.,The diplomat worked,a hideous three hours,three hideous hours,a hideous three hours,three hideous hours,a three hours,a hideous hours
725,726,The diplomat worked a hideous five days in Nairobi.,The diplomat worked,a hideous five days,five hideous days,a hideous five days,five hideous days,a five days,a hideous days
726,727,The diplomat worked a hideous five weeks in Nairobi.,The diplomat worked,a hideous five weeks,five hideous weeks,a hideous five weeks,five hideous weeks,a five weeks,a hideous weeks
727,728,The diplomat worked a hideous five months in Nairobi.,The diplomat worked,a hideous five months,five hideous months,a hideous five months,five hideous months,a five months,a hideous months
728,729,The diplomat worked a hideous five years in Nairobi.,The diplomat worked,a hideous five years,five hideous years,a hideous five years,five hideous years,a five years,a hideous years
729,730,The diplomat worked a hideous five hours in Nairobi.,The diplomat worked,a hideous five hours,five hideous hours,a hideous five hours,five hideous hours,a five hours,a hideous hours
730,731,The diplomat worked a hideous twenty days in Nairobi.,The diplomat worked,a hideous twenty days,twenty hideous days,a hideous twenty days,twenty hideous days,a twenty days,a hideous days
731,732,The diplomat worked a hideous twenty weeks in Nairobi.,The diplomat worked,a hideous twenty weeks,twenty hideous weeks,a hideous twenty weeks,twenty hideous weeks,a twenty weeks,a hideous weeks
732,733,The diplomat worked a hideous twenty months in Nairobi.,The diplomat worked,a hideous twenty months,twenty hideous months,a hideous twenty months,twenty hideous months,a twenty months,a hideous months
733,734,The diplomat worked a hideous twenty years in Nairobi.,The diplomat worked,a hideous twenty years,twenty hideous years,a hideous twenty years,twenty hideous years,a twenty years,a hideous years
734,735,The diplomat worked a hideous twenty hours in Nairobi.,The diplomat worked,a hideous twenty hours,twenty hideous hours,a hideous twenty hours,twenty hideous hours,a twenty hours,a hideous hours
735,736,The diplomat worked an ugly three days in Nairobi.,The diplomat worked,an ugly three days,three ugly days,an ugly three days,three ugly days,a three days,an ugly days
736,737,The diplomat worked an ugly three weeks in Nairobi.,The diplomat worked,an ugly three weeks,three ugly weeks,an ugly three weeks,three ugly weeks,a three weeks,an ugly weeks
737,738,The diplomat worked an ugly three months in Nairobi.,The diplomat worked,an ugly three months,three ugly months,an ugly three months,three ugly months,a three months,an ugly months
738,739,The diplomat worked an ugly three years in Nairobi.,The diplomat worked,an ugly three years,three ugly years,an ugly three years,three ugly years,a three years,an ugly years
739,740,The diplomat worked an ugly three hours in Nairobi.,The diplomat worked,an ugly three hours,three ugly hours,an ugly three hours,three ugly hours,a three hours,an ugly hours
740,741,The diplomat worked an ugly five days in Nairobi.,The diplomat worked,an ugly five days,five ugly days,an ugly five days,five ugly days,a five days,an ugly days
741,742,The diplomat worked an ugly five weeks in Nairobi.,The diplomat worked,an ugly five weeks,five ugly weeks,an ugly five weeks,five ugly weeks,a five weeks,an ugly weeks
742,743,The diplomat worked an ugly five months in Nairobi.,The diplomat worked,an ugly five months,five ugly months,an ugly five months,five ugly months,a five months,an ugly months
743,744,The diplomat worked an ugly five years in Nairobi.,The diplomat worked,an ugly five years,five ugly years,an ugly five years,five ugly years,a five years,an ugly years
744,745,The diplomat worked an ugly five hours in Nairobi.,The diplomat worked,an ugly five hours,five ugly hours,an ugly five hours,five ugly hours,a five hours,an ugly hours
745,746,The diplomat worked an ugly twenty days in Nairobi.,The diplomat worked,an ugly twenty days,twenty ugly days,an ugly twenty days,twenty ugly days,a twenty days,an ugly days
746,747,The diplomat worked an ugly twenty weeks in Nairobi.,The diplomat worked,an ugly twenty weeks,twenty ugly weeks,an ugly twenty weeks,twenty ugly weeks,a twenty weeks,an ugly weeks
747,748,The diplomat worked an ugly twenty months in Nairobi.,The diplomat worked,an ugly twenty months,twenty ugly months,an ugly twenty months,twenty ugly months,a twenty months,an ugly months
748,749,The diplomat worked an ugly twenty years in Nairobi.,The diplomat worked,an ugly twenty years,twenty ugly years,an ugly twenty years,twenty ugly years,a twenty years,an ugly years
749,750,The diplomat worked an ugly twenty hours in Nairobi.,The diplomat worked,an ugly twenty hours,twenty ugly hours,an ugly twenty hours,twenty ugly hours,a twenty hours,an ugly hours
750,751,The diplomat worked a mere three days in Nairobi.,The diplomat worked,a mere three days,three mere days,a mere three days,three mere days,a three days,a mere days
751,752,The diplomat worked a mere three weeks in Nairobi.,The diplomat worked,a mere three weeks,three mere weeks,a mere three weeks,three mere weeks,a three weeks,a mere weeks
752,753,The diplomat worked a mere three months in Nairobi.,The diplomat worked,a mere three months,three mere months,a mere three months,three mere months,a three months,a mere months
753,754,The diplomat worked a mere three years in Nairobi.,The diplomat worked,a mere three years,three mere years,a mere three years,three mere years,a three years,a mere years
754,755,The diplomat worked a mere three hours in Nairobi.,The diplomat worked,a mere three hours,three mere hours,a mere three hours,three mere hours,a three hours,a mere hours
755,756,The diplomat worked a mere five days in Nairobi.,The diplomat worked,a mere five days,five mere days,a mere five days,five mere days,a five days,a mere days
756,757,The diplomat worked a mere five weeks in Nairobi.,The diplomat worked,a mere five weeks,five mere weeks,a mere five weeks,five mere weeks,a five weeks,a mere weeks
757,758,The diplomat worked a mere five months in Nairobi.,The diplomat worked,a mere five months,five mere months,a mere five months,five mere months,a five months,a mere months
758,759,The diplomat worked a mere five years in Nairobi.,The diplomat worked,a mere five years,five mere years,a mere five years,five mere years,a five years,a mere years
759,760,The diplomat worked a mere five hours in Nairobi.,The diplomat worked,a mere five hours,five mere hours,a mere five hours,five mere hours,a five hours,a mere hours
760,761,The diplomat worked a mere twenty days in Nairobi.,The diplomat worked,a mere twenty days,twenty mere days,a mere twenty days,twenty mere days,a twenty days,a mere days
761,762,The diplomat worked a mere twenty weeks in Nairobi.,The diplomat worked,a mere twenty weeks,twenty mere weeks,a mere twenty weeks,twenty mere weeks,a twenty weeks,a mere weeks
762,763,The diplomat worked a mere twenty months in Nairobi.,The diplomat worked,a mere twenty months,twenty mere months,a mere twenty months,twenty mere months,a twenty months,a mere months
763,764,The diplomat worked a mere twenty years in Nairobi.,The diplomat worked,a mere twenty years,twenty mere years,a mere twenty years,twenty mere years,a twenty years,a mere years
764,765,The diplomat worked a mere twenty hours in Nairobi.,The diplomat worked,a mere twenty hours,twenty mere hours,a mere twenty hours,twenty mere hours,a twenty hours,a mere hours
765,766,The diplomat worked a staggering three days in Nairobi.,The diplomat worked,a staggering three days,three staggering days,a staggering three days,three staggering days,a three days,a staggering days
766,767,The diplomat worked a staggering three weeks in Nairobi.,The diplomat worked,a staggering three weeks,three staggering weeks,a staggering three weeks,three staggering weeks,a three weeks,a staggering weeks
767,768,The diplomat worked a staggering three months in Nairobi.,The diplomat worked,a staggering three months,three staggering months,a staggering three months,three staggering months,a three months,a staggering months
768,769,The diplomat worked a staggering three years in Nairobi.,The diplomat worked,a staggering three years,three staggering years,a staggering three years,three staggering years,a three years,a staggering years
769,770,The diplomat worked a staggering three hours in Nairobi.,The diplomat worked,a staggering three hours,three staggering hours,a staggering three hours,three staggering hours,a three hours,a staggering hours
770,771,The diplomat worked a staggering five days in Nairobi.,The diplomat worked,a staggering five days,five staggering days,a staggering five days,five staggering days,a five days,a staggering days
771,772,The diplomat worked a staggering five weeks in Nairobi.,The diplomat worked,a staggering five weeks,five staggering weeks,a staggering five weeks,five staggering weeks,a five weeks,a staggering weeks
772,773,The diplomat worked a staggering five months in Nairobi.,The diplomat worked,a staggering five months,five staggering months,a staggering five months,five staggering months,a five months,a staggering months
773,774,The diplomat worked a staggering five years in Nairobi.,The diplomat worked,a staggering five years,five staggering years,a staggering five years,five staggering years,a five years,a staggering years
774,775,The diplomat worked a staggering five hours in Nairobi.,The diplomat worked,a staggering five hours,five staggering hours,a staggering five hours,five staggering hours,a five hours,a staggering hours
775,776,The diplomat worked a staggering twenty days in Nairobi.,The diplomat worked,a staggering twenty days,twenty staggering days,a staggering twenty days,twenty staggering days,a twenty days,a staggering days
776,777,The diplomat worked a staggering twenty weeks in Nairobi.,The diplomat worked,a staggering twenty weeks,twenty staggering weeks,a staggering twenty weeks,twenty staggering weeks,a twenty weeks,a staggering weeks
777,778,The diplomat worked a staggering twenty months in Nairobi.,The diplomat worked,a staggering twenty months,twenty staggering months,a staggering twenty months,twenty staggering months,a twenty months,a staggering months
778,779,The diplomat worked a staggering twenty years in Nairobi.,The diplomat worked,a staggering twenty years,twenty staggering years,a staggering twenty years,twenty staggering years,a twenty years,a staggering years
779,780,The diplomat worked a staggering twenty hours in Nairobi.,The diplomat worked,a staggering twenty hours,twenty staggering hours,a staggering twenty hours,twenty staggering hours,a twenty hours,a staggering hours
780,781,The diplomat worked a whopping three days in Nairobi.,The diplomat worked,a whopping three days,three whopping days,a whopping three days,three whopping days,a three days,a whopping days
781,782,The diplomat worked a whopping three weeks in Nairobi.,The diplomat worked,a whopping three weeks,three whopping weeks,a whopping three weeks,three whopping weeks,a three weeks,a whopping weeks
782,783,The diplomat worked a whopping three months in Nairobi.,The diplomat worked,a whopping three months,three whopping months,a whopping three months,three whopping months,a three months,a whopping months
783,784,The diplomat worked a whopping three years in Nairobi.,The diplomat worked,a whopping three years,three whopping years,a whopping three years,three whopping years,a three years,a whopping years
784,785,The diplomat worked a whopping three hours in Nairobi.,The diplomat worked,a whopping three hours,three whopping hours,a whopping three hours,three whopping hours,a three hours,a whopping hours
785,786,The diplomat worked a whopping five days in Nairobi.,The diplomat worked,a whopping five days,five whopping days,a whopping five days,five whopping days,a five days,a whopping days
786,787,The diplomat worked a whopping five weeks in Nairobi.,The diplomat worked,a whopping five weeks,five whopping weeks,a whopping five weeks,five whopping weeks,a five weeks,a whopping weeks
787,788,The diplomat worked a whopping five months in Nairobi.,The diplomat worked,a whopping five months,five whopping months,a whopping five months,five whopping months,a five months,a whopping months
788,789,The diplomat worked a whopping five years in Nairobi.,The diplomat worked,a whopping five years,five whopping years,a whopping five years,five whopping years,a five years,a whopping years
789,790,The diplomat worked a whopping five hours in Nairobi.,The diplomat worked,a whopping five hours,five whopping hours,a whopping five hours,five whopping hours,a five hours,a whopping hours
790,791,The diplomat worked a whopping twenty days in Nairobi.,The diplomat worked,a whopping twenty days,twenty whopping days,a whopping twenty days,twenty whopping days,a twenty days,a whopping days
791,792,The diplomat worked a whopping twenty weeks in Nairobi.,The diplomat worked,a whopping twenty weeks,twenty whopping weeks,a whopping twenty weeks,twenty whopping weeks,a twenty weeks,a whopping weeks
792,793,The diplomat worked a whopping twenty months in Nairobi.,The diplomat worked,a whopping twenty months,twenty whopping months,a whopping twenty months,twenty whopping months,a twenty months,a whopping months
793,794,The diplomat worked a whopping twenty years in Nairobi.,The diplomat worked,a whopping twenty years,twenty whopping years,a whopping twenty years,twenty whopping years,a twenty years,a whopping years
794,795,The diplomat worked a whopping twenty hours in Nairobi.,The diplomat worked,a whopping twenty hours,twenty whopping hours,a whopping twenty hours,twenty whopping hours,a twenty hours,a whopping hours
795,796,The diplomat worked a hefty three days in Nairobi.,The diplomat worked,a hefty three days,three hefty days,a hefty three days,three hefty days,a three days,a hefty days
796,797,The diplomat worked a hefty three weeks in Nairobi.,The diplomat worked,a hefty three weeks,three hefty weeks,a hefty three weeks,three hefty weeks,a three weeks,a hefty weeks
797,798,The diplomat worked a hefty three months in Nairobi.,The diplomat worked,a hefty three months,three hefty months,a hefty three months,three hefty months,a three months,a hefty months
798,799,The diplomat worked a hefty three years in Nairobi.,The diplomat worked,a hefty three years,three hefty years,a hefty three years,three hefty years,a three years,a hefty years
799,800,The diplomat worked a hefty three hours in Nairobi.,The diplomat worked,a hefty three hours,three hefty hours,a hefty three hours,three hefty hours,a three hours,a hefty hours
800,801,The diplomat worked a hefty five days in Nairobi.,The diplomat worked,a hefty five days,five hefty days,a hefty five days,five hefty days,a five days,a hefty days
801,802,The diplomat worked a hefty five weeks in Nairobi.,The diplomat worked,a hefty five weeks,five hefty weeks,a hefty five weeks,five hefty weeks,a five weeks,a hefty weeks
802,803,The diplomat worked a hefty five months in Nairobi.,The diplomat worked,a hefty five months,five hefty months,a hefty five months,five hefty months,a five months,a hefty months
803,804,The diplomat worked a hefty five years in Nairobi.,The diplomat worked,a hefty five years,five hefty years,a hefty five years,five hefty years,a five years,a hefty years
804,805,The diplomat worked a hefty five hours in Nairobi.,The diplomat worked,a hefty five hours,five hefty hours,a hefty five hours,five hefty hours,a five hours,a hefty hours
805,806,The diplomat worked a hefty twenty days in Nairobi.,The diplomat worked,a hefty twenty days,twenty hefty days,a hefty twenty days,twenty hefty days,a twenty days,a hefty days
806,807,The diplomat worked a hefty twenty weeks in Nairobi.,The diplomat worked,a hefty twenty weeks,twenty hefty weeks,a hefty twenty weeks,twenty hefty weeks,a twenty weeks,a hefty weeks
807,808,The diplomat worked a hefty twenty months in Nairobi.,The diplomat worked,a hefty twenty months,twenty hefty months,a hefty twenty months,twenty hefty months,a twenty months,a hefty months
808,809,The diplomat worked a hefty twenty years in Nairobi.,The diplomat worked,a hefty twenty years,twenty hefty years,a hefty twenty years,twenty hefty years,a twenty years,a hefty years
809,810,The diplomat worked a hefty twenty hours in Nairobi.,The diplomat worked,a hefty twenty hours,twenty hefty hours,a hefty twenty hours,twenty hefty hours,a twenty hours,a hefty hours
810,811,The diplomat worked a paltry three days in Nairobi.,The diplomat worked,a paltry three days,three paltry days,a paltry three days,three paltry days,a three days,a paltry days
811,812,The diplomat worked a paltry three weeks in Nairobi.,The diplomat worked,a paltry three weeks,three paltry weeks,a paltry three weeks,three paltry weeks,a three weeks,a paltry weeks
812,813,The diplomat worked a paltry three months in Nairobi.,The diplomat worked,a paltry three months,three paltry months,a paltry three months,three paltry months,a three months,a paltry months
813,814,The diplomat worked a paltry three years in Nairobi.,The diplomat worked,a paltry three years,three paltry years,a paltry three years,three paltry years,a three years,a paltry years
814,815,The diplomat worked a paltry three hours in Nairobi.,The diplomat worked,a paltry three hours,three paltry hours,a paltry three hours,three paltry hours,a three hours,a paltry hours
815,816,The diplomat worked a paltry five days in Nairobi.,The diplomat worked,a paltry five days,five paltry days,a paltry five days,five paltry days,a five days,a paltry days
816,817,The diplomat worked a paltry five weeks in Nairobi.,The diplomat worked,a paltry five weeks,five paltry weeks,a paltry five weeks,five paltry weeks,a five weeks,a paltry weeks
817,818,The diplomat worked a paltry five months in Nairobi.,The diplomat worked,a paltry five months,five paltry months,a paltry five months,five paltry months,a five months,a paltry months
818,819,The diplomat worked a paltry five years in Nairobi.,The diplomat worked,a paltry five years,five paltry years,a paltry five years,five paltry years,a five years,a paltry years
819,820,The diplomat worked a paltry five hours in Nairobi.,The diplomat worked,a paltry five hours,five paltry hours,a paltry five hours,five paltry hours,a five hours,a paltry hours
820,821,The diplomat worked a paltry twenty days in Nairobi.,The diplomat worked,a paltry twenty days,twenty paltry days,a paltry twenty days,twenty paltry days,a twenty days,a paltry days
821,822,The diplomat worked a paltry twenty weeks in Nairobi.,The diplomat worked,a paltry twenty weeks,twenty paltry weeks,a paltry twenty weeks,twenty paltry weeks,a twenty weeks,a paltry weeks
822,823,The diplomat worked a paltry twenty months in Nairobi.,The diplomat worked,a paltry twenty months,twenty paltry months,a paltry twenty months,twenty paltry months,a twenty months,a paltry months
823,824,The diplomat worked a paltry twenty years in Nairobi.,The diplomat worked,a paltry twenty years,twenty paltry years,a paltry twenty years,twenty paltry years,a twenty years,a paltry years
824,825,The diplomat worked a paltry twenty hours in Nairobi.,The diplomat worked,a paltry twenty hours,twenty paltry hours,a paltry twenty hours,twenty paltry hours,a twenty hours,a paltry hours
825,826,The diplomat worked a meager three days in Nairobi.,The diplomat worked,a meager three days,three meager days,a meager three days,three meager days,a three days,a meager days
826,827,The diplomat worked a meager three weeks in Nairobi.,The diplomat worked,a meager three weeks,three meager weeks,a meager three weeks,three meager weeks,a three weeks,a meager weeks
827,828,The diplomat worked a meager three months in Nairobi.,The diplomat worked,a meager three months,three meager months,a meager three months,three meager months,a three months,a meager months
828,829,The diplomat worked a meager three years in Nairobi.,The diplomat worked,a meager three years,three meager years,a meager three years,three meager years,a three years,a meager years
829,830,The diplomat worked a meager three hours in Nairobi.,The diplomat worked,a meager three hours,three meager hours,a meager three hours,three meager hours,a three hours,a meager hours
830,831,The diplomat worked a meager five days in Nairobi.,The diplomat worked,a meager five days,five meager days,a meager five days,five meager days,a five days,a meager days
831,832,The diplomat worked a meager five weeks in Nairobi.,The diplomat worked,a meager five weeks,five meager weeks,a meager five weeks,five meager weeks,a five weeks,a meager weeks
832,833,The diplomat worked a meager five months in Nairobi.,The diplomat worked,a meager five months,five meager months,a meager five months,five meager months,a five months,a meager months
833,834,The diplomat worked a meager five years in Nairobi.,The diplomat worked,a meager five years,five meager years,a meager five years,five meager years,a five years,a meager years
834,835,The diplomat worked a meager five hours in Nairobi.,The diplomat worked,a meager five hours,five meager hours,a meager five hours,five meager hours,a five hours,a meager hours
835,836,The diplomat worked a meager twenty days in Nairobi.,The diplomat worked,a meager twenty days,twenty meager days,a meager twenty days,twenty meager days,a twenty days,a meager days
836,837,The diplomat worked a meager twenty weeks in Nairobi.,The diplomat worked,a meager twenty weeks,twenty meager weeks,a meager twenty weeks,twenty meager weeks,a twenty weeks,a meager weeks
837,838,The diplomat worked a meager twenty months in Nairobi.,The diplomat worked,a meager twenty months,twenty meager months,a meager twenty months,twenty meager months,a twenty months,a meager months
838,839,The diplomat worked a meager twenty years in Nairobi.,The diplomat worked,a meager twenty years,twenty meager years,a meager twenty years,twenty meager years,a twenty years,a meager years
839,840,The diplomat worked a meager twenty hours in Nairobi.,The diplomat worked,a meager twenty hours,twenty meager hours,a meager twenty hours,twenty meager hours,a twenty hours,a meager hours
840,841,The diplomat worked an extra three days in Nairobi.,The diplomat worked,an extra three days,three extra days,an extra three days,three extra days,a three days,an extra days
841,842,The diplomat worked an extra three weeks in Nairobi.,The diplomat worked,an extra three weeks,three extra weeks,an extra three weeks,three extra weeks,a three weeks,an extra weeks
842,843,The diplomat worked an extra three months in Nairobi.,The diplomat worked,an extra three months,three extra months,an extra three months,three extra months,a three months,an extra months
843,844,The diplomat worked an extra three years in Nairobi.,The diplomat worked,an extra three years,three extra years,an extra three years,three extra years,a three years,an extra years
844,845,The diplomat worked an extra three hours in Nairobi.,The diplomat worked,an extra three hours,three extra hours,an extra three hours,three extra hours,a three hours,an extra hours
845,846,The diplomat worked an extra five days in Nairobi.,The diplomat worked,an extra five days,five extra days,an extra five days,five extra days,a five days,an extra days
846,847,The diplomat worked an extra five weeks in Nairobi.,The diplomat worked,an extra five weeks,five extra weeks,an extra five weeks,five extra weeks,a five weeks,an extra weeks
847,848,The diplomat worked an extra five months in Nairobi.,The diplomat worked,an extra five months,five extra months,an extra five months,five extra months,a five months,an extra months
848,849,The diplomat worked an extra five years in Nairobi.,The diplomat worked,an extra five years,five extra years,an extra five years,five extra years,a five years,an extra years
849,850,The diplomat worked an extra five hours in Nairobi.,The diplomat worked,an extra five hours,five extra hours,an extra five hours,five extra hours,a five hours,an extra hours
850,851,The diplomat worked an extra twenty days in Nairobi.,The diplomat worked,an extra twenty days,twenty extra days,an extra twenty days,twenty extra days,a twenty days,an extra days
851,852,The diplomat worked an extra twenty weeks in Nairobi.,The diplomat worked,an extra twenty weeks,twenty extra weeks,an extra twenty weeks,twenty extra weeks,a twenty weeks,an extra weeks
852,853,The diplomat worked an extra twenty months in Nairobi.,The diplomat worked,an extra twenty months,twenty extra months,an extra twenty months,twenty extra months,a twenty months,an extra months
853,854,The diplomat worked an extra twenty years in Nairobi.,The diplomat worked,an extra twenty years,twenty extra years,an extra twenty years,twenty extra years,a twenty years,an extra years
854,855,The diplomat worked an extra twenty hours in Nairobi.,The diplomat worked,an extra twenty hours,twenty extra hours,an extra twenty hours,twenty extra hours,a twenty hours,an extra hours
855,856,The diplomat worked a measly three days in Nairobi.,The diplomat worked,a measly three days,three measly days,a measly three days,three measly days,a three days,a measly days
856,857,The diplomat worked a measly three weeks in Nairobi.,The diplomat worked,a measly three weeks,three measly weeks,a measly three weeks,three measly weeks,a three weeks,a measly weeks
857,858,The diplomat worked a measly three months in Nairobi.,The diplomat worked,a measly three months,three measly months,a measly three months,three measly months,a three months,a measly months
858,859,The diplomat worked a measly three years in Nairobi.,The diplomat worked,a measly three years,three measly years,a measly three years,three measly years,a three years,a measly years
859,860,The diplomat worked a measly three hours in Nairobi.,The diplomat worked,a measly three hours,three measly hours,a measly three hours,three measly hours,a three hours,a measly hours
860,861,The diplomat worked a measly five days in Nairobi.,The diplomat worked,a measly five days,five measly days,a measly five days,five measly days,a five days,a measly days
861,862,The diplomat worked a measly five weeks in Nairobi.,The diplomat worked,a measly five weeks,five measly weeks,a measly five weeks,five measly weeks,a five weeks,a measly weeks
862,863,The diplomat worked a measly five months in Nairobi.,The diplomat worked,a measly five months,five measly months,a measly five months,five measly months,a five months,a measly months
863,864,The diplomat worked a measly five years in Nairobi.,The diplomat worked,a measly five years,five measly years,a measly five years,five measly years,a five years,a measly years
864,865,The diplomat worked a measly five hours in Nairobi.,The diplomat worked,a measly five hours,five measly hours,a measly five hours,five measly hours,a five hours,a measly hours
865,866,The diplomat worked a measly twenty days in Nairobi.,The diplomat worked,a measly twenty days,twenty measly days,a measly twenty days,twenty measly days,a twenty days,a measly days
866,867,The diplomat worked a measly twenty weeks in Nairobi.,The diplomat worked,a measly twenty weeks,twenty measly weeks,a measly twenty weeks,twenty measly weeks,a twenty weeks,a measly weeks
867,868,The diplomat worked a measly twenty months in Nairobi.,The diplomat worked,a measly twenty months,twenty measly months,a measly twenty months,twenty measly months,a twenty months,a measly months
868,869,The diplomat worked a measly twenty years in Nairobi.,The diplomat worked,a measly twenty years,twenty measly years,a measly twenty years,twenty measly years,a twenty years,a measly years
869,870,The diplomat worked a measly twenty hours in Nairobi.,The diplomat worked,a measly twenty hours,twenty measly hours,a measly twenty hours,twenty measly hours,a twenty hours,a measly hours
870,871,The diplomat worked a substantial three days in Nairobi.,The diplomat worked,a substantial three days,three substantial days,a substantial three days,three substantial days,a three days,a substantial days
871,872,The diplomat worked a substantial three weeks in Nairobi.,The diplomat worked,a substantial three weeks,three substantial weeks,a substantial three weeks,three substantial weeks,a three weeks,a substantial weeks
872,873,The diplomat worked a substantial three months in Nairobi.,The diplomat worked,a substantial three months,three substantial months,a substantial three months,three substantial months,a three months,a substantial months
873,874,The diplomat worked a substantial three years in Nairobi.,The diplomat worked,a substantial three years,three substantial years,a substantial three years,three substantial years,a three years,a substantial years
874,875,The diplomat worked a substantial three hours in Nairobi.,The diplomat worked,a substantial three hours,three substantial hours,a substantial three hours,three substantial hours,a three hours,a substantial hours
875,876,The diplomat worked a substantial five days in Nairobi.,The diplomat worked,a substantial five days,five substantial days,a substantial five days,five substantial days,a five days,a substantial days
876,877,The diplomat worked a substantial five weeks in Nairobi.,The diplomat worked,a substantial five weeks,five substantial weeks,a substantial five weeks,five substantial weeks,a five weeks,a substantial weeks
877,878,The diplomat worked a substantial five months in Nairobi.,The diplomat worked,a substantial five months,five substantial months,a substantial five months,five substantial months,a five months,a substantial months
878,879,The diplomat worked a substantial five years in Nairobi.,The diplomat worked,a substantial five years,five substantial years,a substantial five years,five substantial years,a five years,a substantial years
879,880,The diplomat worked a substantial five hours in Nairobi.,The diplomat worked,a substantial five hours,five substantial hours,a substantial five hours,five substantial hours,a five hours,a substantial hours
880,881,The diplomat worked a substantial twenty days in Nairobi.,The diplomat worked,a substantial twenty days,twenty substantial days,a substantial twenty days,twenty substantial days,a twenty days,a substantial days
881,882,The diplomat worked a substantial twenty weeks in Nairobi.,The diplomat worked,a substantial twenty weeks,twenty substantial weeks,a substantial twenty weeks,twenty substantial weeks,a twenty weeks,a substantial weeks
882,883,The diplomat worked a substantial twenty months in Nairobi.,The diplomat worked,a substantial twenty months,twenty substantial months,a substantial twenty months,twenty substantial months,a twenty months,a substantial months
883,884,The diplomat worked a substantial twenty years in Nairobi.,The diplomat worked,a substantial twenty years,twenty substantial years,a substantial twenty years,twenty substantial years,a twenty years,a substantial years
884,885,The diplomat worked a substantial twenty hours in Nairobi.,The diplomat worked,a substantial twenty hours,twenty substantial hours,a substantial twenty hours,twenty substantial hours,a twenty hours,a substantial hours
885,886,The diplomat worked a record-setting three days in Nairobi.,The diplomat worked,a record-setting three days,three record-setting days,a record-setting three days,three record-setting days,a three days,a record-setting days
886,887,The diplomat worked a record-setting three weeks in Nairobi.,The diplomat worked,a record-setting three weeks,three record-setting weeks,a record-setting three weeks,three record-setting weeks,a three weeks,a record-setting weeks
887,888,The diplomat worked a record-setting three months in Nairobi.,The diplomat worked,a record-setting three months,three record-setting months,a record-setting three months,three record-setting months,a three months,a record-setting months
888,889,The diplomat worked a record-setting three years in Nairobi.,The diplomat worked,a record-setting three years,three record-setting years,a record-setting three years,three record-setting years,a three years,a record-setting years
889,890,The diplomat worked a record-setting three hours in Nairobi.,The diplomat worked,a record-setting three hours,three record-setting hours,a record-setting three hours,three record-setting hours,a three hours,a record-setting hours
890,891,The diplomat worked a record-setting five days in Nairobi.,The diplomat worked,a record-setting five days,five record-setting days,a record-setting five days,five record-setting days,a five days,a record-setting days
891,892,The diplomat worked a record-setting five weeks in Nairobi.,The diplomat worked,a record-setting five weeks,five record-setting weeks,a record-setting five weeks,five record-setting weeks,a five weeks,a record-setting weeks
892,893,The diplomat worked a record-setting five months in Nairobi.,The diplomat worked,a record-setting five months,five record-setting months,a record-setting five months,five record-setting months,a five months,a record-setting months
893,894,The diplomat worked a record-setting five years in Nairobi.,The diplomat worked,a record-setting five years,five record-setting years,a record-setting five years,five record-setting years,a five years,a record-setting years
894,895,The diplomat worked a record-setting five hours in Nairobi.,The diplomat worked,a record-setting five hours,five record-setting hours,a record-setting five hours,five record-setting hours,a five hours,a record-setting hours
895,896,The diplomat worked a record-setting twenty days in Nairobi.,The diplomat worked,a record-setting twenty days,twenty record-setting days,a record-setting twenty days,twenty record-setting days,a twenty days,a record-setting days
896,897,The diplomat worked a record-setting twenty weeks in Nairobi.,The diplomat worked,a record-setting twenty weeks,twenty record-setting weeks,a record-setting twenty weeks,twenty record-setting weeks,a twenty weeks,a record-setting weeks
897,898,The diplomat worked a record-setting twenty months in Nairobi.,The diplomat worked,a record-setting twenty months,twenty record-setting months,a record-setting twenty months,twenty record-setting months,a twenty months,a record-setting months
898,899,The diplomat worked a record-setting twenty years in Nairobi.,The diplomat worked,a record-setting twenty years,twenty record-setting years,a record-setting twenty years,twenty record-setting years,a twenty years,a record-setting years
899,900,The diplomat worked a record-setting twenty hours in Nairobi.,The diplomat worked,a record-setting twenty hours,twenty record-setting hours,a record-setting twenty hours,twenty record-setting hours,a twenty hours,a record-setting hours
900,901,The tourish stayed an astonishing three days in Papua New Guinea.,The tourish stayed,an astonishing three days,three astonishing days,an astonishing three days,three astonishing days,a three days,an astonishing days
