idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
259,The family spent a haunting three years in London.,The family spent,a haunting three years,three haunting years,a three haunting years,haunting three years,a three years,a haunting years
260,The family spent a haunting three hours in London.,The family spent,a haunting three hours,three haunting hours,a three haunting hours,haunting three hours,a three hours,a haunting hours
261,The family spent a haunting five days in London.,The family spent,a haunting five days,five haunting days,a five haunting days,haunting five days,a five days,a haunting days
262,The family spent a haunting five weeks in London.,The family spent,a haunting five weeks,five haunting weeks,a five haunting weeks,haunting five weeks,a five weeks,a haunting weeks
263,The family spent a haunting five months in London.,The family spent,a haunting five months,five haunting months,a five haunting months,haunting five months,a five months,a haunting months
264,The family spent a haunting five years in London.,The family spent,a haunting five years,five haunting years,a five haunting years,haunting five years,a five years,a haunting years
265,The family spent a haunting five hours in London.,The family spent,a haunting five hours,five haunting hours,a five haunting hours,haunting five hours,a five hours,a haunting hours
266,The family spent a haunting twenty days in London.,The family spent,a haunting twenty days,twenty haunting days,a twenty haunting days,haunting twenty days,a twenty days,a haunting days
267,The family spent a haunting twenty weeks in London.,The family spent,a haunting twenty weeks,twenty haunting weeks,a twenty haunting weeks,haunting twenty weeks,a twenty weeks,a haunting weeks
268,The family spent a haunting twenty months in London.,The family spent,a haunting twenty months,twenty haunting months,a twenty haunting months,haunting twenty months,a twenty months,a haunting months
269,The family spent a haunting twenty years in London.,The family spent,a haunting twenty years,twenty haunting years,a twenty haunting years,haunting twenty years,a twenty years,a haunting years
270,The family spent a haunting twenty hours in London.,The family spent,a haunting twenty hours,twenty haunting hours,a twenty haunting hours,haunting twenty hours,a twenty hours,a haunting hours
271,The family spent a hideous three days in London.,The family spent,a hideous three days,three hideous days,a three hideous days,hideous three days,a three days,a hideous days
272,The family spent a hideous three weeks in London.,The family spent,a hideous three weeks,three hideous weeks,a three hideous weeks,hideous three weeks,a three weeks,a hideous weeks
273,The family spent a hideous three months in London.,The family spent,a hideous three months,three hideous months,a three hideous months,hideous three months,a three months,a hideous months
274,The family spent a hideous three years in London.,The family spent,a hideous three years,three hideous years,a three hideous years,hideous three years,a three years,a hideous years
275,The family spent a hideous three hours in London.,The family spent,a hideous three hours,three hideous hours,a three hideous hours,hideous three hours,a three hours,a hideous hours
276,The family spent a hideous five days in London.,The family spent,a hideous five days,five hideous days,a five hideous days,hideous five days,a five days,a hideous days
277,The family spent a hideous five weeks in London.,The family spent,a hideous five weeks,five hideous weeks,a five hideous weeks,hideous five weeks,a five weeks,a hideous weeks
278,The family spent a hideous five months in London.,The family spent,a hideous five months,five hideous months,a five hideous months,hideous five months,a five months,a hideous months
279,The family spent a hideous five years in London.,The family spent,a hideous five years,five hideous years,a five hideous years,hideous five years,a five years,a hideous years
280,The family spent a hideous five hours in London.,The family spent,a hideous five hours,five hideous hours,a five hideous hours,hideous five hours,a five hours,a hideous hours
281,The family spent a hideous twenty days in London.,The family spent,a hideous twenty days,twenty hideous days,a twenty hideous days,hideous twenty days,a twenty days,a hideous days
282,The family spent a hideous twenty weeks in London.,The family spent,a hideous twenty weeks,twenty hideous weeks,a twenty hideous weeks,hideous twenty weeks,a twenty weeks,a hideous weeks
283,The family spent a hideous twenty months in London.,The family spent,a hideous twenty months,twenty hideous months,a twenty hideous months,hideous twenty months,a twenty months,a hideous months
284,The family spent a hideous twenty years in London.,The family spent,a hideous twenty years,twenty hideous years,a twenty hideous years,hideous twenty years,a twenty years,a hideous years
285,The family spent a hideous twenty hours in London.,The family spent,a hideous twenty hours,twenty hideous hours,a twenty hideous hours,hideous twenty hours,a twenty hours,a hideous hours
286,The family spent an ugly three days in London.,The family spent,an ugly three days,three ugly days,a three ugly days,ugly three days,a three days,an ugly days
287,The family spent an ugly three weeks in London.,The family spent,an ugly three weeks,three ugly weeks,a three ugly weeks,ugly three weeks,a three weeks,an ugly weeks
288,The family spent an ugly three months in London.,The family spent,an ugly three months,three ugly months,a three ugly months,ugly three months,a three months,an ugly months
289,The family spent an ugly three years in London.,The family spent,an ugly three years,three ugly years,a three ugly years,ugly three years,a three years,an ugly years
290,The family spent an ugly three hours in London.,The family spent,an ugly three hours,three ugly hours,a three ugly hours,ugly three hours,a three hours,an ugly hours
291,The family spent an ugly five days in London.,The family spent,an ugly five days,five ugly days,a five ugly days,ugly five days,a five days,an ugly days
292,The family spent an ugly five weeks in London.,The family spent,an ugly five weeks,five ugly weeks,a five ugly weeks,ugly five weeks,a five weeks,an ugly weeks
293,The family spent an ugly five months in London.,The family spent,an ugly five months,five ugly months,a five ugly months,ugly five months,a five months,an ugly months
294,The family spent an ugly five years in London.,The family spent,an ugly five years,five ugly years,a five ugly years,ugly five years,a five years,an ugly years
295,The family spent an ugly five hours in London.,The family spent,an ugly five hours,five ugly hours,a five ugly hours,ugly five hours,a five hours,an ugly hours
296,The family spent an ugly twenty days in London.,The family spent,an ugly twenty days,twenty ugly days,a twenty ugly days,ugly twenty days,a twenty days,an ugly days
297,The family spent an ugly twenty weeks in London.,The family spent,an ugly twenty weeks,twenty ugly weeks,a twenty ugly weeks,ugly twenty weeks,a twenty weeks,an ugly weeks
298,The family spent an ugly twenty months in London.,The family spent,an ugly twenty months,twenty ugly months,a twenty ugly months,ugly twenty months,a twenty months,an ugly months
299,The family spent an ugly twenty years in London.,The family spent,an ugly twenty years,twenty ugly years,a twenty ugly years,ugly twenty years,a twenty years,an ugly years
300,The family spent an ugly twenty hours in London.,The family spent,an ugly twenty hours,twenty ugly hours,a twenty ugly hours,ugly twenty hours,a twenty hours,an ugly hours
301,The family spent a mere three days in London.,The family spent,a mere three days,three mere days,a three mere days,mere three days,a three days,a mere days
302,The family spent a mere three weeks in London.,The family spent,a mere three weeks,three mere weeks,a three mere weeks,mere three weeks,a three weeks,a mere weeks
303,The family spent a mere three months in London.,The family spent,a mere three months,three mere months,a three mere months,mere three months,a three months,a mere months
304,The family spent a mere three years in London.,The family spent,a mere three years,three mere years,a three mere years,mere three years,a three years,a mere years
305,The family spent a mere three hours in London.,The family spent,a mere three hours,three mere hours,a three mere hours,mere three hours,a three hours,a mere hours
306,The family spent a mere five days in London.,The family spent,a mere five days,five mere days,a five mere days,mere five days,a five days,a mere days
307,The family spent a mere five weeks in London.,The family spent,a mere five weeks,five mere weeks,a five mere weeks,mere five weeks,a five weeks,a mere weeks
308,The family spent a mere five months in London.,The family spent,a mere five months,five mere months,a five mere months,mere five months,a five months,a mere months
309,The family spent a mere five years in London.,The family spent,a mere five years,five mere years,a five mere years,mere five years,a five years,a mere years
310,The family spent a mere five hours in London.,The family spent,a mere five hours,five mere hours,a five mere hours,mere five hours,a five hours,a mere hours
311,The family spent a mere twenty days in London.,The family spent,a mere twenty days,twenty mere days,a twenty mere days,mere twenty days,a twenty days,a mere days
312,The family spent a mere twenty weeks in London.,The family spent,a mere twenty weeks,twenty mere weeks,a twenty mere weeks,mere twenty weeks,a twenty weeks,a mere weeks
313,The family spent a mere twenty months in London.,The family spent,a mere twenty months,twenty mere months,a twenty mere months,mere twenty months,a twenty months,a mere months
314,The family spent a mere twenty years in London.,The family spent,a mere twenty years,twenty mere years,a twenty mere years,mere twenty years,a twenty years,a mere years
315,The family spent a mere twenty hours in London.,The family spent,a mere twenty hours,twenty mere hours,a twenty mere hours,mere twenty hours,a twenty hours,a mere hours
316,The family spent a staggering three days in London.,The family spent,a staggering three days,three staggering days,a three staggering days,staggering three days,a three days,a staggering days
317,The family spent a staggering three weeks in London.,The family spent,a staggering three weeks,three staggering weeks,a three staggering weeks,staggering three weeks,a three weeks,a staggering weeks
318,The family spent a staggering three months in London.,The family spent,a staggering three months,three staggering months,a three staggering months,staggering three months,a three months,a staggering months
319,The family spent a staggering three years in London.,The family spent,a staggering three years,three staggering years,a three staggering years,staggering three years,a three years,a staggering years
320,The family spent a staggering three hours in London.,The family spent,a staggering three hours,three staggering hours,a three staggering hours,staggering three hours,a three hours,a staggering hours
321,The family spent a staggering five days in London.,The family spent,a staggering five days,five staggering days,a five staggering days,staggering five days,a five days,a staggering days
322,The family spent a staggering five weeks in London.,The family spent,a staggering five weeks,five staggering weeks,a five staggering weeks,staggering five weeks,a five weeks,a staggering weeks
323,The family spent a staggering five months in London.,The family spent,a staggering five months,five staggering months,a five staggering months,staggering five months,a five months,a staggering months
324,The family spent a staggering five years in London.,The family spent,a staggering five years,five staggering years,a five staggering years,staggering five years,a five years,a staggering years
325,The family spent a staggering five hours in London.,The family spent,a staggering five hours,five staggering hours,a five staggering hours,staggering five hours,a five hours,a staggering hours
326,The family spent a staggering twenty days in London.,The family spent,a staggering twenty days,twenty staggering days,a twenty staggering days,staggering twenty days,a twenty days,a staggering days
327,The family spent a staggering twenty weeks in London.,The family spent,a staggering twenty weeks,twenty staggering weeks,a twenty staggering weeks,staggering twenty weeks,a twenty weeks,a staggering weeks
328,The family spent a staggering twenty months in London.,The family spent,a staggering twenty months,twenty staggering months,a twenty staggering months,staggering twenty months,a twenty months,a staggering months
329,The family spent a staggering twenty years in London.,The family spent,a staggering twenty years,twenty staggering years,a twenty staggering years,staggering twenty years,a twenty years,a staggering years
330,The family spent a staggering twenty hours in London.,The family spent,a staggering twenty hours,twenty staggering hours,a twenty staggering hours,staggering twenty hours,a twenty hours,a staggering hours
331,The family spent a whopping three days in London.,The family spent,a whopping three days,three whopping days,a three whopping days,whopping three days,a three days,a whopping days
332,The family spent a whopping three weeks in London.,The family spent,a whopping three weeks,three whopping weeks,a three whopping weeks,whopping three weeks,a three weeks,a whopping weeks
333,The family spent a whopping three months in London.,The family spent,a whopping three months,three whopping months,a three whopping months,whopping three months,a three months,a whopping months
334,The family spent a whopping three years in London.,The family spent,a whopping three years,three whopping years,a three whopping years,whopping three years,a three years,a whopping years
335,The family spent a whopping three hours in London.,The family spent,a whopping three hours,three whopping hours,a three whopping hours,whopping three hours,a three hours,a whopping hours
336,The family spent a whopping five days in London.,The family spent,a whopping five days,five whopping days,a five whopping days,whopping five days,a five days,a whopping days
337,The family spent a whopping five weeks in London.,The family spent,a whopping five weeks,five whopping weeks,a five whopping weeks,whopping five weeks,a five weeks,a whopping weeks
338,The family spent a whopping five months in London.,The family spent,a whopping five months,five whopping months,a five whopping months,whopping five months,a five months,a whopping months
339,The family spent a whopping five years in London.,The family spent,a whopping five years,five whopping years,a five whopping years,whopping five years,a five years,a whopping years
340,The family spent a whopping five hours in London.,The family spent,a whopping five hours,five whopping hours,a five whopping hours,whopping five hours,a five hours,a whopping hours
341,The family spent a whopping twenty days in London.,The family spent,a whopping twenty days,twenty whopping days,a twenty whopping days,whopping twenty days,a twenty days,a whopping days
342,The family spent a whopping twenty weeks in London.,The family spent,a whopping twenty weeks,twenty whopping weeks,a twenty whopping weeks,whopping twenty weeks,a twenty weeks,a whopping weeks
343,The family spent a whopping twenty months in London.,The family spent,a whopping twenty months,twenty whopping months,a twenty whopping months,whopping twenty months,a twenty months,a whopping months
344,The family spent a whopping twenty years in London.,The family spent,a whopping twenty years,twenty whopping years,a twenty whopping years,whopping twenty years,a twenty years,a whopping years
345,The family spent a whopping twenty hours in London.,The family spent,a whopping twenty hours,twenty whopping hours,a twenty whopping hours,whopping twenty hours,a twenty hours,a whopping hours
346,The family spent a hefty three days in London.,The family spent,a hefty three days,three hefty days,a three hefty days,hefty three days,a three days,a hefty days
347,The family spent a hefty three weeks in London.,The family spent,a hefty three weeks,three hefty weeks,a three hefty weeks,hefty three weeks,a three weeks,a hefty weeks
348,The family spent a hefty three months in London.,The family spent,a hefty three months,three hefty months,a three hefty months,hefty three months,a three months,a hefty months
349,The family spent a hefty three years in London.,The family spent,a hefty three years,three hefty years,a three hefty years,hefty three years,a three years,a hefty years
350,The family spent a hefty three hours in London.,The family spent,a hefty three hours,three hefty hours,a three hefty hours,hefty three hours,a three hours,a hefty hours
351,The family spent a hefty five days in London.,The family spent,a hefty five days,five hefty days,a five hefty days,hefty five days,a five days,a hefty days
352,The family spent a hefty five weeks in London.,The family spent,a hefty five weeks,five hefty weeks,a five hefty weeks,hefty five weeks,a five weeks,a hefty weeks
353,The family spent a hefty five months in London.,The family spent,a hefty five months,five hefty months,a five hefty months,hefty five months,a five months,a hefty months
354,The family spent a hefty five years in London.,The family spent,a hefty five years,five hefty years,a five hefty years,hefty five years,a five years,a hefty years
355,The family spent a hefty five hours in London.,The family spent,a hefty five hours,five hefty hours,a five hefty hours,hefty five hours,a five hours,a hefty hours
356,The family spent a hefty twenty days in London.,The family spent,a hefty twenty days,twenty hefty days,a twenty hefty days,hefty twenty days,a twenty days,a hefty days
357,The family spent a hefty twenty weeks in London.,The family spent,a hefty twenty weeks,twenty hefty weeks,a twenty hefty weeks,hefty twenty weeks,a twenty weeks,a hefty weeks
358,The family spent a hefty twenty months in London.,The family spent,a hefty twenty months,twenty hefty months,a twenty hefty months,hefty twenty months,a twenty months,a hefty months
359,The family spent a hefty twenty years in London.,The family spent,a hefty twenty years,twenty hefty years,a twenty hefty years,hefty twenty years,a twenty years,a hefty years
360,The family spent a hefty twenty hours in London.,The family spent,a hefty twenty hours,twenty hefty hours,a twenty hefty hours,hefty twenty hours,a twenty hours,a hefty hours
361,The family spent a paltry three days in London.,The family spent,a paltry three days,three paltry days,a three paltry days,paltry three days,a three days,a paltry days
362,The family spent a paltry three weeks in London.,The family spent,a paltry three weeks,three paltry weeks,a three paltry weeks,paltry three weeks,a three weeks,a paltry weeks
363,The family spent a paltry three months in London.,The family spent,a paltry three months,three paltry months,a three paltry months,paltry three months,a three months,a paltry months
364,The family spent a paltry three years in London.,The family spent,a paltry three years,three paltry years,a three paltry years,paltry three years,a three years,a paltry years
365,The family spent a paltry three hours in London.,The family spent,a paltry three hours,three paltry hours,a three paltry hours,paltry three hours,a three hours,a paltry hours
366,The family spent a paltry five days in London.,The family spent,a paltry five days,five paltry days,a five paltry days,paltry five days,a five days,a paltry days
367,The family spent a paltry five weeks in London.,The family spent,a paltry five weeks,five paltry weeks,a five paltry weeks,paltry five weeks,a five weeks,a paltry weeks
368,The family spent a paltry five months in London.,The family spent,a paltry five months,five paltry months,a five paltry months,paltry five months,a five months,a paltry months
369,The family spent a paltry five years in London.,The family spent,a paltry five years,five paltry years,a five paltry years,paltry five years,a five years,a paltry years
370,The family spent a paltry five hours in London.,The family spent,a paltry five hours,five paltry hours,a five paltry hours,paltry five hours,a five hours,a paltry hours
371,The family spent a paltry twenty days in London.,The family spent,a paltry twenty days,twenty paltry days,a twenty paltry days,paltry twenty days,a twenty days,a paltry days
372,The family spent a paltry twenty weeks in London.,The family spent,a paltry twenty weeks,twenty paltry weeks,a twenty paltry weeks,paltry twenty weeks,a twenty weeks,a paltry weeks
373,The family spent a paltry twenty months in London.,The family spent,a paltry twenty months,twenty paltry months,a twenty paltry months,paltry twenty months,a twenty months,a paltry months
374,The family spent a paltry twenty years in London.,The family spent,a paltry twenty years,twenty paltry years,a twenty paltry years,paltry twenty years,a twenty years,a paltry years
375,The family spent a paltry twenty hours in London.,The family spent,a paltry twenty hours,twenty paltry hours,a twenty paltry hours,paltry twenty hours,a twenty hours,a paltry hours
376,The family spent a meager three days in London.,The family spent,a meager three days,three meager days,a three meager days,meager three days,a three days,a meager days
377,The family spent a meager three weeks in London.,The family spent,a meager three weeks,three meager weeks,a three meager weeks,meager three weeks,a three weeks,a meager weeks
378,The family spent a meager three months in London.,The family spent,a meager three months,three meager months,a three meager months,meager three months,a three months,a meager months
379,The family spent a meager three years in London.,The family spent,a meager three years,three meager years,a three meager years,meager three years,a three years,a meager years
380,The family spent a meager three hours in London.,The family spent,a meager three hours,three meager hours,a three meager hours,meager three hours,a three hours,a meager hours
381,The family spent a meager five days in London.,The family spent,a meager five days,five meager days,a five meager days,meager five days,a five days,a meager days
382,The family spent a meager five weeks in London.,The family spent,a meager five weeks,five meager weeks,a five meager weeks,meager five weeks,a five weeks,a meager weeks
383,The family spent a meager five months in London.,The family spent,a meager five months,five meager months,a five meager months,meager five months,a five months,a meager months
384,The family spent a meager five years in London.,The family spent,a meager five years,five meager years,a five meager years,meager five years,a five years,a meager years
385,The family spent a meager five hours in London.,The family spent,a meager five hours,five meager hours,a five meager hours,meager five hours,a five hours,a meager hours
386,The family spent a meager twenty days in London.,The family spent,a meager twenty days,twenty meager days,a twenty meager days,meager twenty days,a twenty days,a meager days
387,The family spent a meager twenty weeks in London.,The family spent,a meager twenty weeks,twenty meager weeks,a twenty meager weeks,meager twenty weeks,a twenty weeks,a meager weeks
388,The family spent a meager twenty months in London.,The family spent,a meager twenty months,twenty meager months,a twenty meager months,meager twenty months,a twenty months,a meager months
389,The family spent a meager twenty years in London.,The family spent,a meager twenty years,twenty meager years,a twenty meager years,meager twenty years,a twenty years,a meager years
390,The family spent a meager twenty hours in London.,The family spent,a meager twenty hours,twenty meager hours,a twenty meager hours,meager twenty hours,a twenty hours,a meager hours
391,The family spent an extra three days in London.,The family spent,an extra three days,three extra days,a three extra days,extra three days,a three days,an extra days
392,The family spent an extra three weeks in London.,The family spent,an extra three weeks,three extra weeks,a three extra weeks,extra three weeks,a three weeks,an extra weeks
393,The family spent an extra three months in London.,The family spent,an extra three months,three extra months,a three extra months,extra three months,a three months,an extra months
394,The family spent an extra three years in London.,The family spent,an extra three years,three extra years,a three extra years,extra three years,a three years,an extra years
395,The family spent an extra three hours in London.,The family spent,an extra three hours,three extra hours,a three extra hours,extra three hours,a three hours,an extra hours
396,The family spent an extra five days in London.,The family spent,an extra five days,five extra days,a five extra days,extra five days,a five days,an extra days
397,The family spent an extra five weeks in London.,The family spent,an extra five weeks,five extra weeks,a five extra weeks,extra five weeks,a five weeks,an extra weeks
398,The family spent an extra five months in London.,The family spent,an extra five months,five extra months,a five extra months,extra five months,a five months,an extra months
399,The family spent an extra five years in London.,The family spent,an extra five years,five extra years,a five extra years,extra five years,a five years,an extra years
400,The family spent an extra five hours in London.,The family spent,an extra five hours,five extra hours,a five extra hours,extra five hours,a five hours,an extra hours
401,The family spent an extra twenty days in London.,The family spent,an extra twenty days,twenty extra days,a twenty extra days,extra twenty days,a twenty days,an extra days
402,The family spent an extra twenty weeks in London.,The family spent,an extra twenty weeks,twenty extra weeks,a twenty extra weeks,extra twenty weeks,a twenty weeks,an extra weeks
403,The family spent an extra twenty months in London.,The family spent,an extra twenty months,twenty extra months,a twenty extra months,extra twenty months,a twenty months,an extra months
404,The family spent an extra twenty years in London.,The family spent,an extra twenty years,twenty extra years,a twenty extra years,extra twenty years,a twenty years,an extra years
405,The family spent an extra twenty hours in London.,The family spent,an extra twenty hours,twenty extra hours,a twenty extra hours,extra twenty hours,a twenty hours,an extra hours
406,The family spent a measly three days in London.,The family spent,a measly three days,three measly days,a three measly days,measly three days,a three days,a measly days
407,The family spent a measly three weeks in London.,The family spent,a measly three weeks,three measly weeks,a three measly weeks,measly three weeks,a three weeks,a measly weeks
408,The family spent a measly three months in London.,The family spent,a measly three months,three measly months,a three measly months,measly three months,a three months,a measly months
409,The family spent a measly three years in London.,The family spent,a measly three years,three measly years,a three measly years,measly three years,a three years,a measly years
410,The family spent a measly three hours in London.,The family spent,a measly three hours,three measly hours,a three measly hours,measly three hours,a three hours,a measly hours
411,The family spent a measly five days in London.,The family spent,a measly five days,five measly days,a five measly days,measly five days,a five days,a measly days
412,The family spent a measly five weeks in London.,The family spent,a measly five weeks,five measly weeks,a five measly weeks,measly five weeks,a five weeks,a measly weeks
413,The family spent a measly five months in London.,The family spent,a measly five months,five measly months,a five measly months,measly five months,a five months,a measly months
414,The family spent a measly five years in London.,The family spent,a measly five years,five measly years,a five measly years,measly five years,a five years,a measly years
415,The family spent a measly five hours in London.,The family spent,a measly five hours,five measly hours,a five measly hours,measly five hours,a five hours,a measly hours
416,The family spent a measly twenty days in London.,The family spent,a measly twenty days,twenty measly days,a twenty measly days,measly twenty days,a twenty days,a measly days
417,The family spent a measly twenty weeks in London.,The family spent,a measly twenty weeks,twenty measly weeks,a twenty measly weeks,measly twenty weeks,a twenty weeks,a measly weeks
418,The family spent a measly twenty months in London.,The family spent,a measly twenty months,twenty measly months,a twenty measly months,measly twenty months,a twenty months,a measly months
419,The family spent a measly twenty years in London.,The family spent,a measly twenty years,twenty measly years,a twenty measly years,measly twenty years,a twenty years,a measly years
420,The family spent a measly twenty hours in London.,The family spent,a measly twenty hours,twenty measly hours,a twenty measly hours,measly twenty hours,a twenty hours,a measly hours
421,The family spent a substantial three days in London.,The family spent,a substantial three days,three substantial days,a three substantial days,substantial three days,a three days,a substantial days
422,The family spent a substantial three weeks in London.,The family spent,a substantial three weeks,three substantial weeks,a three substantial weeks,substantial three weeks,a three weeks,a substantial weeks
423,The family spent a substantial three months in London.,The family spent,a substantial three months,three substantial months,a three substantial months,substantial three months,a three months,a substantial months
424,The family spent a substantial three years in London.,The family spent,a substantial three years,three substantial years,a three substantial years,substantial three years,a three years,a substantial years
425,The family spent a substantial three hours in London.,The family spent,a substantial three hours,three substantial hours,a three substantial hours,substantial three hours,a three hours,a substantial hours
426,The family spent a substantial five days in London.,The family spent,a substantial five days,five substantial days,a five substantial days,substantial five days,a five days,a substantial days
427,The family spent a substantial five weeks in London.,The family spent,a substantial five weeks,five substantial weeks,a five substantial weeks,substantial five weeks,a five weeks,a substantial weeks
428,The family spent a substantial five months in London.,The family spent,a substantial five months,five substantial months,a five substantial months,substantial five months,a five months,a substantial months
429,The family spent a substantial five years in London.,The family spent,a substantial five years,five substantial years,a five substantial years,substantial five years,a five years,a substantial years
430,The family spent a substantial five hours in London.,The family spent,a substantial five hours,five substantial hours,a five substantial hours,substantial five hours,a five hours,a substantial hours
431,The family spent a substantial twenty days in London.,The family spent,a substantial twenty days,twenty substantial days,a twenty substantial days,substantial twenty days,a twenty days,a substantial days
432,The family spent a substantial twenty weeks in London.,The family spent,a substantial twenty weeks,twenty substantial weeks,a twenty substantial weeks,substantial twenty weeks,a twenty weeks,a substantial weeks
433,The family spent a substantial twenty months in London.,The family spent,a substantial twenty months,twenty substantial months,a twenty substantial months,substantial twenty months,a twenty months,a substantial months
434,The family spent a substantial twenty years in London.,The family spent,a substantial twenty years,twenty substantial years,a twenty substantial years,substantial twenty years,a twenty years,a substantial years
435,The family spent a substantial twenty hours in London.,The family spent,a substantial twenty hours,twenty substantial hours,a twenty substantial hours,substantial twenty hours,a twenty hours,a substantial hours
436,The family spent a record-setting three days in London.,The family spent,a record-setting three days,three record-setting days,a three record-setting days,record-setting three days,a three days,a record-setting days
437,The family spent a record-setting three weeks in London.,The family spent,a record-setting three weeks,three record-setting weeks,a three record-setting weeks,record-setting three weeks,a three weeks,a record-setting weeks
438,The family spent a record-setting three months in London.,The family spent,a record-setting three months,three record-setting months,a three record-setting months,record-setting three months,a three months,a record-setting months
439,The family spent a record-setting three years in London.,The family spent,a record-setting three years,three record-setting years,a three record-setting years,record-setting three years,a three years,a record-setting years
440,The family spent a record-setting three hours in London.,The family spent,a record-setting three hours,three record-setting hours,a three record-setting hours,record-setting three hours,a three hours,a record-setting hours
441,The family spent a record-setting five days in London.,The family spent,a record-setting five days,five record-setting days,a five record-setting days,record-setting five days,a five days,a record-setting days
442,The family spent a record-setting five weeks in London.,The family spent,a record-setting five weeks,five record-setting weeks,a five record-setting weeks,record-setting five weeks,a five weeks,a record-setting weeks
443,The family spent a record-setting five months in London.,The family spent,a record-setting five months,five record-setting months,a five record-setting months,record-setting five months,a five months,a record-setting months
444,The family spent a record-setting five years in London.,The family spent,a record-setting five years,five record-setting years,a five record-setting years,record-setting five years,a five years,a record-setting years
445,The family spent a record-setting five hours in London.,The family spent,a record-setting five hours,five record-setting hours,a five record-setting hours,record-setting five hours,a five hours,a record-setting hours
446,The family spent a record-setting twenty days in London.,The family spent,a record-setting twenty days,twenty record-setting days,a twenty record-setting days,record-setting twenty days,a twenty days,a record-setting days
447,The family spent a record-setting twenty weeks in London.,The family spent,a record-setting twenty weeks,twenty record-setting weeks,a twenty record-setting weeks,record-setting twenty weeks,a twenty weeks,a record-setting weeks
448,The family spent a record-setting twenty months in London.,The family spent,a record-setting twenty months,twenty record-setting months,a twenty record-setting months,record-setting twenty months,a twenty months,a record-setting months
449,The family spent a record-setting twenty years in London.,The family spent,a record-setting twenty years,twenty record-setting years,a twenty record-setting years,record-setting twenty years,a twenty years,a record-setting years
450,The family spent a record-setting twenty hours in London.,The family spent,a record-setting twenty hours,twenty record-setting hours,a twenty record-setting hours,record-setting twenty hours,a twenty hours,a record-setting hours
451,The diplomat worked an astonishing three days in Nairobi.,The diplomat worked,an astonishing three days,three astonishing days,a three astonishing days,astonishing three days,a three days,an astonishing days
452,The diplomat worked an astonishing three weeks in Nairobi.,The diplomat worked,an astonishing three weeks,three astonishing weeks,a three astonishing weeks,astonishing three weeks,a three weeks,an astonishing weeks
453,The diplomat worked an astonishing three months in Nairobi.,The diplomat worked,an astonishing three months,three astonishing months,a three astonishing months,astonishing three months,a three months,an astonishing months
454,The diplomat worked an astonishing three years in Nairobi.,The diplomat worked,an astonishing three years,three astonishing years,a three astonishing years,astonishing three years,a three years,an astonishing years
455,The diplomat worked an astonishing three hours in Nairobi.,The diplomat worked,an astonishing three hours,three astonishing hours,a three astonishing hours,astonishing three hours,a three hours,an astonishing hours
456,The diplomat worked an astonishing five days in Nairobi.,The diplomat worked,an astonishing five days,five astonishing days,a five astonishing days,astonishing five days,a five days,an astonishing days
457,The diplomat worked an astonishing five weeks in Nairobi.,The diplomat worked,an astonishing five weeks,five astonishing weeks,a five astonishing weeks,astonishing five weeks,a five weeks,an astonishing weeks
458,The diplomat worked an astonishing five months in Nairobi.,The diplomat worked,an astonishing five months,five astonishing months,a five astonishing months,astonishing five months,a five months,an astonishing months
459,The diplomat worked an astonishing five years in Nairobi.,The diplomat worked,an astonishing five years,five astonishing years,a five astonishing years,astonishing five years,a five years,an astonishing years
460,The diplomat worked an astonishing five hours in Nairobi.,The diplomat worked,an astonishing five hours,five astonishing hours,a five astonishing hours,astonishing five hours,a five hours,an astonishing hours
461,The diplomat worked an astonishing twenty days in Nairobi.,The diplomat worked,an astonishing twenty days,twenty astonishing days,a twenty astonishing days,astonishing twenty days,a twenty days,an astonishing days
462,The diplomat worked an astonishing twenty weeks in Nairobi.,The diplomat worked,an astonishing twenty weeks,twenty astonishing weeks,a twenty astonishing weeks,astonishing twenty weeks,a twenty weeks,an astonishing weeks
463,The diplomat worked an astonishing twenty months in Nairobi.,The diplomat worked,an astonishing twenty months,twenty astonishing months,a twenty astonishing months,astonishing twenty months,a twenty months,an astonishing months
464,The diplomat worked an astonishing twenty years in Nairobi.,The diplomat worked,an astonishing twenty years,twenty astonishing years,a twenty astonishing years,astonishing twenty years,a twenty years,an astonishing years
465,The diplomat worked an astonishing twenty hours in Nairobi.,The diplomat worked,an astonishing twenty hours,twenty astonishing hours,a twenty astonishing hours,astonishing twenty hours,a twenty hours,an astonishing hours
466,The diplomat worked an incredible three days in Nairobi.,The diplomat worked,an incredible three days,three incredible days,a three incredible days,incredible three days,a three days,an incredible days
467,The diplomat worked an incredible three weeks in Nairobi.,The diplomat worked,an incredible three weeks,three incredible weeks,a three incredible weeks,incredible three weeks,a three weeks,an incredible weeks
468,The diplomat worked an incredible three months in Nairobi.,The diplomat worked,an incredible three months,three incredible months,a three incredible months,incredible three months,a three months,an incredible months
469,The diplomat worked an incredible three years in Nairobi.,The diplomat worked,an incredible three years,three incredible years,a three incredible years,incredible three years,a three years,an incredible years
470,The diplomat worked an incredible three hours in Nairobi.,The diplomat worked,an incredible three hours,three incredible hours,a three incredible hours,incredible three hours,a three hours,an incredible hours
471,The diplomat worked an incredible five days in Nairobi.,The diplomat worked,an incredible five days,five incredible days,a five incredible days,incredible five days,a five days,an incredible days
