sentence_idx,PREP,ADJ,PRON,VERB,sentence
922233,as,golden,they,look,"If these flowers were as golden as they look, they would be worth the plucking!"""
922279,as,happy,he,might,"Midas called himself a happy man, but felt that he was not yet quite so happy as he might be."
925049,as,Reluctant,I,am,"‘Reluctant as I am, I must lay aside other tasks and do this one.’"
927202,as,rich,you,are,"` Five times as warm , AND five times as cold -- just as I 'm five times as rich as you are , AND five times as clever ! '"
927579,as,simple,you,think,"Sarah, it's not as simple as you think."
929234,than,more,they,can,"But what they deal with in their second year might be more than they can handle, and Dr. Carson Beckett's retrovirus is more trouble than it's worth."
932179,than,simple,they,seem,Both the terms and the meaning of that question are less simple than they seem.
932219,as,Simple,it,looks,"""Simple as it looks,"" said he, ""this little edifice seems to be the work of magic."
935005,as,bright,we,are,"He is not half so bright as we are, to be sure; and, for that reason, he needs us to look after his comfort and happiness."
935254,as,strong,you,are,"Here comes another Giant, as strong as you are, to fight with you."""
937948,as,Late,it,is,"Late as it is , she will like some apples and cake and a Merry Christmas from the family . ''"
938816,as,much,he,does,"""Come on, then,"" cried his comrades, ""and we'll soon know as much as he does."""
939790,as,much,you,have,"` Few people have been through as much as you have , Rosa , and you certainly have earned the right to rest , ' I said consolingly , for her little whims and vanities amused me much . ''"
940700,as,foolish,it,may,"To tell you the truth, foolish as it may seem, she was half inclined to turn round and run away."
940910,than,agreeable,you,expect,"O, we shall be very good friends, and you will find me more agreeable than you expect, when once we get out of this troublesome sunshine."""
941132,as,natured,you,can,"And while the three-headed Cerberus was fawning so lovingly on King Pluto, there was the dragon tail wagging against its will, and looking as cross and ill-natured as you can imagine, on its own separate account."
942572,as,grim,I,am,"I hoped you would take my crown for a plaything, and me ah, you laugh, naughty Proserpina me, grim as I am, for a playmate."
945190,than,more,I,can,How they contrived to keep themselves alive is more than I can imagine.
946806,as,crispy,it,can,"It is just as brown and crispy as it can be, and there is cranberry sauce on one side, and on the other a little mountain of mashed potato; it must be a volcano, it smokes so."
948196,than,more,she,does,"""But I am the eldest,"" cried the first child, ""and I know a great deal more than she does."""
952399,as,ordinary,I,look,"I am hearty and well , however , in spite of this crick in my back , and hope to serve you a good while yet , for you seem to appreciate me , stout and ordinary as I look ."
954083,as,such,they,are,"""My faults, such as they are, were born with me."
954284,as,small,you,like,You can make the knots as big or as small as you like.
959481,than,happy,I,deserve,"So we came to England, and some time later I married William's sister, with whom I am much more happy than I deserve."
959670,as,many,you,want,You can have as many as you want.
960172,as,shy,I,am,"But what can I do , so small and stupid and shy as I am ?"
960197,than,bigger,it,is,"Mother, okay don't make the matter bigger than it is, there's nothing there yet"
982225,as,close,they,could,"The Blues managed to reduce the deficite to just 13 points, but that was as close as they could get, as the Kangaroos then added goals through McKernan and Shannon Motlop."
988350,as,reliable,they,should,"Opponents are concerned that ""Opponents of the CTBT are most concerned about one issue: in the absence of nuclear testing, U.S. nuclear weapons can be neither as safe nor as reliable as they should be."
988955,than,longer,we,are,"He ca n't be very dreadful , for the box is not any longer than we are ."
989397,than,better,I,do,"`` I ca n't see you , dear , but I hope you look better than I do , for the yellow of my hair has washed into my eyes and the red of my cheeks is quite gone , I 'm sure , '' answered Dora , as her wet dress flopped in the breeze and the broken foot sticking up showed her that her blue boots were ruined ."
989968,as,glamorous,it,seems,It is evident... that the profession isn't as glamorous as it seems.
992177,than,more,we,earn,"""we want to remain what we are"", but be careful, in the sense meant by my grandfather, a worker, devoted to excellence, well aware that the best assurance of prosperity is to not spend more than we earn, aware again, in a globalized world, and in a Europe that will end up finding itself, our country will survive less and less by the mere fact of being a State, but above all to the extent that it will remain attractive for men and women,"
999387,as,good,he,is,"You would not think Ralph the Raven half so wise and so good as he is, though you see him here reading his book."
1000982,than,common,they,think,"Through the translation sessions between Mashkan and Hoffman, Marans creates a link between two generations that find they have much more in common than they think."
1003886,as,fine,it,is,"No, it's fine as it is, thank you."
1007524,than,more,we,do,"And so, uh, people outside the Air Force doing engineering get paid a lot more than we do."
1009399,than,nasty,I,should,and I probably got more nasty than I should have.
1009727,as,much,you,like,Eat as much as you like.
1010586,as,strong,it,is,"` Our family have built thousands of islands and long reefs , that the sea ca n't get over , strong as it is . '"
1011256,as,strong,we,are,"Big and strong as we are , once out of water , and we are perfectly helpless ."
1012873,than,immoral,he,is,"Ben falls head over heels in love, and is astonished to find someone even more immoral than he is."
1015997,as,tepid,it,may,"All-around we're finding that this recovery, as tepid as it may be, is increasingly looking unsustainable."
1016645,as,cross,she,can,"Now she'll be jest as cross as she can be, 'cause this 'ere ain't our turkey, and these 'ere ain't our pies."
1022100,as,fine,you,please,"`` There she is , as fine as you please , '' cried Steve , kissing his hand to her ."
1022303,than,greater,he,could,"It was bad enough when the guying came from a boy, but when a girl took to punning, jeering, or giggling at him it seemed as if his burden was greater than he could bear."
1022465,as,same,I,am,"No, you're doing the same as I am, aren't you, yeah."
1024281,than,greater,she,could,Minty felt her burden of guilt to be greater than she could bear.
1025484,as,wise,you,are,"`` I 'll do my best , Alec ; and I think you will need me , for , wise as you are , you can not understand a tender , timid little creature like Rose as a woman can , '' said Mrs. Jessie , smiling back at him with a heart full of motherly goodwill ."
1027284,as,Same,we,are,"""Same as we are!"
1031574,than,more,he,could,"""I haven't,"" said Jack shortly; for the mention of Thanksgiving had brought up before him with startling vividness the picture of a bright dining-room in a certain town far away, a table loaded with good things, and surrounded by smiling faces, and the contrast was almost more than he could bear."
1033058,than,valerable,they,be,"""Well, you know what it says about takin' care of sparrers, in the Bible, and how we was more valerable than they be, a lot."
1036578,than,more,he,could,"I 'll make it up to her a thousand times over , and beg her pardon for thinking it might be done for effect , '' Dr. Alec said remorsefully , as he strained his eyes through the dusk , fancying he saw a small figure sitting in the garden as it had sat on the keg the night before , laying the generous little plot that had cost more than he could guess ."
1036949,than,Older,you,are,Older than you are.
1039083,than,younger,I,am,"Come to think of it , she 's only two years or so younger than I am ."
1039730,as,sure,you,live,"Anyone who has ever been condemned to that sort of idleness knows how irksome it is , and can understand the state of mind which caused Mac to say to Rose in a desperate tone one day , `` Look here , if you do n't invent some new employment or amusement for me , I shall knock myself on the head as sure as you live . ''"
1041892,than,more,I,could,"I could have forgiven the caramels , but to be left out in that rude way was more than I could bear , and I told her never to look at me again as long as she lived . ''"
1044862,as,many,you,like,"`` Wear as many as you like , and I 'll smoke in peace , '' returned this bad boy ."
1045694,than,more,I,do,"He knows so much more than I do , he 'd laugh , '' began Geordie , evidently puzzled by the question ."
1047804,as,much,I,would,"I haven't kept up as, uh, much as I would like,"
1049782,as,purposeful,you,want,"So you get in the habit of excellence and you go as high and dimensional, multy passionately purposeful as you want."
1053807,as,proud,they,can,"`` Of course he does n't ; but , you see , Charlie and Arch are both as proud as they can be , and wo n't give in ."
1062017,as,loving,you,should,"This is the trial we shall give you ; and if your love for Lily-Bell be strong enough to keep you from all cruelty and selfishness , and make you kind and loving as you should be , she will awake to welcome you , and love you still more fondly than before . ''"
1066217,than,easier,it,seems,You will see that it is easier than it seems!
1067289,than,more,I,am,"So, you got to say, no, no, no, I'm not more than I am."
1068631,than,brighter,you,are,"She 's ever so much brighter than you are , or she would n't always be at the head of your class , old Joe , '' cried the girls , standing by their friend with a unanimity which proved what a favorite she was ."
1068718,as,sweet,she,can,`` She is just as sweet as she can be ! ''
1070509,than,madder,I,am,You're madder than I am.
1083020,as,smart,we,are,"As for their being as smart as we are , it is all nonsense , for some of 'em cry over their lessons every day , or go home with headaches , or get mad and scold all recess , because something ` is n't fair . '"
1084320,than,madder,I,am,You're madder than I am.
1084899,as,fine,you,please,Princess Jill as fine as you please !
1089867,than,better,it,seems,"`` I wish you would explain the matter , John , for I am sure it is better than it seems , and it would be very hard to punish you when you do n't deserve it . ''"
1090001,as,bad,it,looks,"Then the color faded away , the boyish face grew steady , and the honest eyes looked up at his teacher as he said very low , but all heard him , the room was so still , -- `` It is n't as bad as it looks , sir , but I ca n't say any more ."
1092543,as,kind,he,can,"I do n't mind the fuss now , and Bob is as kind as he can be ."
1092859,than,Better,I,am,"That is n't your way , and I want to be like you , '' answered Jack , with such affectionate sincerity that Ed could not help believing him , though he modestly declined the compliment by saying , as he began to play softly , `` Better than I am , I hope ."
1097417,than,older,I,am,Merry does ; and she is only a few months older than I am . ''
1104039,than,younger,I,am,"They sit at our table , and Wally is the boy , younger than I am , but very pleasant ."
1106379,as,gruesome,it,is,"It's possible, as gruesome as it is."
1110896,as,strange,it,may,"strange as it may seem, made the people whom they struck hate each"
1120757,as,much,I,can,"I do n't care a hang for art ; nature is as much as I can stand , and I guess I could show you things that would knock your old masters higher than kites ."
1121028,than,more,he,can,"He's kind of bit off more than he can chew, but, uh... let's see if we can go make him [bleep] his pants."
1126336,as,windward,I,have,"It is a rough life , Aunty , but a wholesome one if a fellow loves it as I do , and has an anchor to windward as I have ."
1126714,than,more,I,can,"I do n't drink , or do the things you dread ; do n't care for 'em ; but I get excited , and then this devilish temper of mine is more than I can manage ."
1126970,than,worse,you,are,"Mrs Jo turned short round , and putting a hand on either broad shoulder , looked him in the eye , saying soberly : ` Now , Dan , see here ; never sneer at good things or pretend to be worse than you are ."
1133496,as,long,I,can,I've been lying on that sofa for as long as I can remember.
1147765,than,happier,I,am,"Will you wear one , or all tonight , and make me still prouder , fonder , and happier than I am ?"
1148645,than,older,we,are,Do n't believe she 's much older than we are .
1150650,as,hot,you,wanna,"You are as hot as you wanna be,"
1150678,as,disciplined,you,are,I'm not as disciplined as you are.
1151538,than,less,you,think,"For instance, for less than you think,"
1151830,as,wrinkled,they,dry,The subglaucous and hairy phyllodes have a length of and a wisth of and become longitudinally wrinkled as they dry.
1154579,than,bigger,I,am,"She is bigger than I am , you know ; so there is enough for a little mantle or sacque , for it is n't made up ."
1165242,than,more,I,know,"""That's more than I know!"""
1166776,than,courageous,she,looks,She's more courageous than she looks.
1183132,as,many,we,like,"I 've had enough ; come away into the garden ; it 's full of roses , and we may have as many as we like . ''"
1187589,as,presumptuous,it,is,"I have served you faithfully for a month , and , presumptuous as it is , I ask to be allowed to serve you all my life ."
1189303,as,happy,I,am,"Let me hope that you will prove as faithful as I have been , as happy as I am , as blest as I shall be ."
1194101,as,clueless,you,think,These people aren't as clueless as you think.
1199620,than,more,I,can,I don't know if maybe I'm biting off more than I can chew.
1216182,than,More,I,do,"`` More than I do , I dare say ."
1222551,than,older,she,is,"I 'm ever so much older than she is , '' cried Stuffy , indignantly ."
1223614,than,educated,you,will,"In no time you guys, you really have to work harder to make sure that you can catch up with the ladies-- right?--because they will be better educated than you will be."
1234474,as,such,thou,art,"All women love a giant, such as thou art."
1234564,than,more,you,do,"`` I will ; I do n't know much more than you do , but I 'm the oldest here , and I 'll try to fill Uncle 's place till he comes , if you do n't mind . ''"
1235944,as,wonderful,she,is,wonderful as she is!
1236547,as,empty,it,seems,"empty as it seems, and she were not here at all."
1243901,as,flat,you,do,"I never saw anyone faint , and I do n't choose to make myself all black and blue , tumbling flat as you do ."
1246831,as,strange,it,seems,"that she actually took a momentary fancy to me, strange as it seems."
1247381,as,nice,I,'d,"I shall have a new ribbon for my hair , and Marmee will lend me her little pearl pin , and my new slippers are lovely , and my gloves will do , though they are n't as nice as I 'd like . ''"
1248854,than,taller,I,am,"`` Curly black hair , brown skin , big black eyes , handsome nose , fine teeth , small hands and feet , taller than I am , very polite , for a boy , and altogether jolly ."
1252224,as,direct,thou,art,"did so ill on one so simple and direct as thou art, I could not prevent"
1254805,as,asleep,I,read,"Snowy One, said I not that thou wert asleep as I read?"
1261535,as,loud,it,gets,"Recorded during June 2006 at Temple Studios, ""On and on..."" is as loud as it gets, with reggae and ska still plainly leaving their influence on the band."
1263089,than,older,you,are,"`` But I lost her when I was a little older than you are , and for years had to struggle on alone , for I was too proud to confess my weakness to anyone else ."
1273062,than,younger,he,is,I mean you sound enormously younger than he is.
1273245,than,gourmet,I,am,"It sounds like you guys are a little more gourmet than I am,"
1282203,as,good,he,can,"And how he provides now for an old woman who nursed his mother , and never tells anyone , but is just as generous and patient and good as he can be . ''"
1285444,as,dear,she,is,"She is so funny and dear as she is , '' said Beth , who had never betrayed that she was a little hurt at Jo 's having secrets with anyone but her ."
1299484,as,true,I,live,"I never saw that note before , and do n't know anything about it , as true as I live ! ''"
1304187,as,weak,you,think,`` I 'm not so silly and weak as you think .
1315717,as,polite,you,are,I wouldn't be as polite as you are.
1316934,than,more,one,would,"But the trifles cost more than one would imagine , and when she cast up her accounts at the end of the month the sum total rather scared her ."
1318491,as,elegant,you,please,"You can dress for both , and be as elegant as you please ."
1320160,as,fine,they,do,"They know we are poor , so it 's no use pretending that we have grooms , buy three or four hats a season , and have things as easy and fine as they do . ''"
1320591,as,silly,you,think,"In allowing yourself to be led now by the same illogical but kind motive, you are not being as silly as you think."
1320743,than,liked,I,am,"If you 'd remember that , and practice it , you 'd be better liked than I am , because there is more of you . ''"
1325303,than,aristocratic,we,look,"Today was fair , and we went to Hyde Park , close by , for we are more aristocratic than we look ."
1325812,than,more,they,deserve,"This pairing can mean that not only will the sins of believers be overlooked, they will be rewarded with more than they deserve."
1329019,as,much,we,gain,"The amount of gain and loses proportional to the difference in temperature, but to the left and to the right, the difference in temperature is the same, so we lose as much as we gain."
1329551,than,more,I,am,"I feel restless and anxious to be seeing , doing , and learning more than I am ."
1332713,as,stupid,I,am,"I had been sitting near this door , finishing off the last sock , and trying to understand what he said to a new scholar , who is as stupid as I am ."
1333571,as,Poor,he,is,"Poor as he is , he did n't forget a servant or a child in the house , and not a soul here , from the French laundrywoman to Miss Norton forgot him ."
1337871,as,happy,I,am,"I 'm happy as I am , and love my liberty too well to be in a hurry to give it up for any mortal man . ''"
1346375,as,bad,it,seems,"`` Not so bad as it seems , for I should only plague him if I went , so I might as well stay and plague you a little longer , you can bear it better , in fact I think it agrees with you excellently , '' and Laurie composed himself for a lounge on the broad ledge of the balustrade ."
1346662,as,wide,they,might,"tight fit for Bill, Hindoos not being as wide as they might be, but Joe"
1349098,than,more,you,'d,"I do n't pretend to be wise , but I am observing , and I see a great deal more than you 'd imagine ."
1349449,than,effacious,he,would,"He tried to resume his former easy , indifferent air , but it was an affectation now , for the rousing had been more effacious than he would confess ."
1354505,as,better,it,is,"`` No , Mother , it is better as it is , and I 'm glad Amy has learned to love him ."
1355109,as,bad,it,looks,"But it 's not as bad as it looks , and one can get on quite happily if one has something in one 's self to fall back upon ."
1356394,as,better,it,is,"As I told you in my letter when I wrote that Amy had been so kind to me , I never shall stop loving you , but the love is altered , and I have learned to see that it is better as it is ."
1360603,than,wiser,we,are,"These children are wiser than we are , and I have no doubt the boy understands every word I have said to him ."
1361650,than,more,you,deserve,"You shall trudge away , and do your errands in the rain , and if you catch your death and ruin your bonnet , it 's no more than you deserve ."
1366866,than,happier,I,deserve,"`` There 's no need for me to say it , for everyone can see that I 'm far happier than I deserve , '' added Jo , glancing from her good husband to her chubby children , tumbling on the grass beside her ."
1369551,as,neat,I,'d,"My dollar do n't get many clothes , so I ca n't be as neat as I 'd like . ''"
1371116,than,more,she,can,"`` I get nearly work enough to pay my way , and Estelle sends me some when she has more than she can do ."
1375965,than,nervous,she,would,"Away she went , more nervous than she would own , and tapped at the boy 's door ."
1377552,than,important,I,can,My correspondence with my husband is more important than I can say.
1379331,as,enthusiastic,I,am,"`` Well my , dear , just listen and you 'll be as enthusiastic as I am , '' cried Maud ."
1379534,than,open,I,am,"""You're no fonder of the open than I am!"""
1384943,than,important,I,can,My correspondence with my husband is more important than I can say.
1390853,as,accommodating,you,like,"Well, you may be as patient and accommodating as you like, doctor, but for myself, I will not voluntarily put on the chains of France while I am struggling to throw off those of Great Britain!"
1394137,as,smart,you,say,"Should n't wonder if he 'd take you for a chore-boy , if you are as smart as you say ."
1399612,than,older,he,is,"He seems like a child to me , because I am nearly ten years older than he is ; but you need n't be afraid of his long legs and big eyes , he is too feeble to do any harm ; only you must n't mind if he orders you about . ''"
1401052,than,important,I,can,Is more important than I can say.
1403918,as,old,I,am,"you are as old as I am, and have read as much, you will notice how"
1405093,as,old,she,is,"she has been making him--There's another helping her, as old as she is."
1414949,as,shitty,it,is,"As shitty as it is, we're going to pull through together."
1417783,as,smart,he,is,"Oh , he could n't find you without help , smart as he is , '' answered Thorny , incredulously ."
1421206,as,saucy,you,please,"When I asked him what he saw in the dressing-room , after he brought out the ball , and looked sharply at him , he laughed , and said ` Only a mouse , ' as saucy as you please . ''"
1436561,than,worse,you,do,"`` Miss Celia said God did n't mind poor clothes , and she took me when I looked worse than you do ."
1446153,as,good,they,come,"and the leading orthopedic man, who has handled football people for years and is as good as they come,"
1447123,as,sorrowful,it,is,"I mean, as sorrowful as it is."
1447128,than,depraved,I,can,But Mr Drybutter's edition is more depraved than I can imagine.
1447389,than,cleverer,they,be,"Strange , ai n't it , how folks seem to resent anyone being born a mite cleverer than they be . ''"
1450683,as,affluent,it,is,"in the Washington area, of course, being as affluent as it is, there are lots and lots of Volvo dealerships down here"
1456735,than,worse,you,do,She probably feels worse than you do.
1457171,than,more,I,can,"They 're born Grit or Tory , as the case may be , and they live Grit or Tory , and they die Grit or Tory ; and what they 're going to do in heaven , where there 's probably no politics , is more than I can fathom ."
1458564,than,More,you,know,More than you know.
1458628,as,useless,I,be,"Yes , old and useless as I be , there 's an awful longing sweeps over me at times to sail out -- out -- out there -- forever and ever . ''"
1459108,as,crazy,I,like,I may be as crazy as I like . ''
1461084,as,old,I,am,"`` Why , you ca n't be as old as I am ! ''"
1464291,than,worse,you,do,She probably feels worse than you do.
1465947,than,More,you,know,More than you know.
1473142,as,such,it,is,"Though , mind you , Mistress Blythe , I daresay she 'd choose her life now , such as it is , rather than the life she lived with Dick before he went away ."
1484227,as,terrible,it,seems,Maybe it's not as terrible as it seems.
1490359,than,greater,I,can,I could n't help loving her -- that 's all -- and my misery is greater than I can bear . ''
1490995,as,easy,it,sounds,It's not as easy as it sounds.
1493036,as,happy,we,are,"Then she added suddenly : `` Oh , Gilbert , I wish everybody could be as happy as we are . ''"
1502592,than,more,I,could,That smile on his poor vacant face was more than I could endure .
1516000,than,more,I,know,Here 's poor Mary Keith dying and what is to become of those two children of hers is more than I know .
1521163,than,better,you,think,The bad things do n't always come up to your expectations either ... they nearly always turn out ever so much better than you think .
1524500,than,worse,it,is,"Indeed I think we frightened some schools six months ago erm not by any means er wi malice aforethought if er, because we all thought that the financial situation might be very much worse than it is."
1526123,as,unnecessary,it,is,"they're not putting money into delegated budgets now, I, I, I was a teacher, a head teacher and I was told that the erm, the essential, the educational departments finding more money for devices and to give advice to school, now, they're all unnecessary as it is, I would say, we are the ones that carry out the job, we're on the ground, we've got to do it."
1528421,as,prim,you,please,Dora 's sitting up on the seat as prim as you please .
1528978,as,hungry,I,am,`` Dora ai n't half as hungry as I am .
1534010,as,much,I,can,But... this is as much as I can do.
1542858,than,more,we,can,But it is more than we can handle.
1545541,as,tightfisted,they,are,"`` Even Levi Boulter or Lorenzo White would never stoop to that , tightfisted as they are ."
1546314,as,intellectualist,he,is,"And, intellectualist as he is,"
1546408,than,more,we,do,"He said Dad, there's a lot of people know a lot more than we do."
1547102,than,dangerous,you,think,A professor of medicine says it is much less dangerous than you think.
1562494,as,old,I,am,`` Of course it 's silly in anybody as old as I am .
1563642,as,demonstrable,it,can,"It is very possible that this state is really a reaction of the body, a theory that sounds shocking but it's as real and demonstrable as it can be."
1576739,than,longer,I,have,"But they have you for longer than I have, and I couldn't wait."
1577833,as,such,it,is,"account of my reputation, such as it is, for learning."
1578490,as,rich,it,is,"in the best authorities--that Latin learning, rich as it is, is"
1579610,as,great,he,is,"in such a way that, great as he is, his work gave me courage enough to"
1580165,than,crafty,I,am,"She's very artsy, obviously, and much more crafty than I am, so we made the little placecards for the wedding, you know, like ""Sean,"" and then on the back you stamp if he's gonna have fish, it's a little fishy stamp, such cute stamps,"
1585686,as,sensible,she,is,"that your wife, sensible as she is, and obedient in regard to a matter"
1597758,as,nice,it,sounds,`` Is it as nice as it sounds ?
1601429,as,bad,I,do,I just hope Amanda doesn't feel as bad as I do.
1611391,as,thin,it,is,"That would be terrible ; I do n't think I could endure it ; most likely I would go into consumption ; I 'm so thin as it is , you see ."
1615337,than,important,it,is,"Glenn Erickson of DVD Talk called it ""an overachieving straight-to-video feature"" that treats its subject matter as more important than it is."
1618626,as,much,I,earn,I make as much as I earn.
1619229,as,hard,you,might,"`` It was n't so hard as you might imagine , either ."
1624111,as,much,you,want,Take as much as you want .
1624597,as,dignified,I,could,"I tried to be as polite and dignified as I could be , for I wanted Mrs. Chester Ross to think I was a ladylike little girl even if I was n't pretty ."
1625586,than,dignified,I,am,You 're so much more dignified than I am .
1634244,than,bigger,you,are,"Mon Dieu, those guys are bigger than you are?"
1642242,as,open,it,should,but it's not as open as it should be.
1650083,than,more,you,think,"Actually, I know far more than you think."
1654876,than,more,I,could,"`` If I did and then was disappointed , it would be more than I could bear ."
1655338,than,taller,I,am,"You 're taller than I am , I declare ."
1659315,than,worse,you,think,"""Sorry, but it's worse than you think."
1663835,as,crazy,it,is,"I am pretty near crazy as it is , but you 're as calm and cool as a spring evening . ''"
1666336,as,enough,it,is,"lump on his chin--""I guess you left me enough as it is, dearie!"""
1666481,as,nice,she,is,"Or the pink lady , kind and nice as she is , so stout and short that you 'd really no figure at all ?"
1685942,as,silly,she,sounds,"I believe , as she says herself , that she is n't half as silly as she sounds ."
1687007,than,more,I,have,"You need more than I have, Mr. Akagi."
1692467,than,more,I,have,"- You need more than I have, Mr. Akagi."
1692483,as,hospitable,they,could,been as hospitable as they could be.
1698015,than,more,I,have,You need more than I have.
1719903,as,large,you,like,"And this you know  like this style you can make it small or large as you like, and you can come out to the sides as well."
1724291,as,still,you,are,Stay still as you are.
1728054,than,articulate,I,am,"I have friends who are far more articulate than I am, and I have friends who do not speak a word."
1729843,as,much,you,can,"Please buy as much as you can bear,"
1729966,as,much,you,can,"Do buy as much as you can stand,"
1732616,as,sparse,it,might,"So, that might seem to be a reasonable strategy, but it turns out that it's not sufficient in terms of ensuring that our graph is as sparse as it might be."
1736364,as,sound,you,like,And you may sleep as sound as you like.
1740183,than,more,you,do,"You 've been to college four years and I never was , but I know heaps more than you do , young ladies . ''"
1740945,than,older,I,am,He's older than I am.
1742725,as,good,they,might,So maybe that's kept us going when the times weren't so good as they might be.
1745053,than,better,we,know,'We must be really better than we know.
1746181,as,beautiful,you,could,"across, and there was a bench as beautiful as you could wish."
1752327,as,unconcerned,you,please,She looked as cool and unconcerned as you please . ''
1756760,as,strong,they,are,"if you were as strong as they are, and they were as weak as you?'"
1759867,than,worse,I,am,He's worse than I am.
1763275,as,respected,he,is,"Yet William Blair at the store up there , rich and respected as he is , was n't half as clever a man as I was when we started in life : you may n't believe that , but it 's true ."
1779390,as,high,mine,is,"Yes Chairman I'd like to second that and just to erm say very briefly that er erm I, I very much welcome the report and the speed with which the Chief Officer is seen to have addressed most of the issues there are one or two bits that, that were of course were in fact posters, posters er be dealt with erm I have to say I still have some concern erm that the Chief Fire Officer and his team are so well supported on a very broad front on their decision making and their professionalism and yet on other matters of sound advice which has been given by er who are turned aside and just simply not given the proper consideration that they should have as in that er respect Chairman and I, I, I have some concern, erm it, it would not surprise me indeed if the, Her Majesty's Inspector of er er brigades, when he comes round himself, has some comment to make on that since I think he's expectations as well are almost as high as mine is."
1799621,as,busy,they,are,"Either, either, either  sort of feel that the other is not as busy as they are."
1813816,than,more,she,could,"So she went mad, for her trouble was more than she could bear."
1819851,as,exhausted,we,are,You're as exhausted as we are.
1820694,as,easy,you,think,- That might not be as easy as you think!
1822743,as,better,it,is,"Perhaps it is better as it is, in that I have discovered the key at the"
1825280,than,harder,it,looks,- It's harder than it looks!
1825696,as,sorry,I,am,"- Not as sorry as I am, kiddo."
1830025,than,better,she,should,"I knew Maggie was no better than she should be , but I ca n't believe she was as bad as that . ''"
1844473,than,younger,I,am,the kid's a lot younger than I am.
1853615,as,happy,I,am,"Not as happy as I am , of course ; that is impossible , because there is only one Betty in the world , and she is my wife ."
1855107,as,same,I,am,Finney was seeing the clown the same as I am.
1868079,as,better,it,is,"I suppose it 's better as it is , all things considered ."
1873869,as,bad,he,is,"`` Well , you are just as bad as he is ."
1874157,than,lower,it,should,price that your profit is lower than it should be.
1877728,than,stricter,we,are,"Because, you know, like in other countries, man, I mean, they're really a lot stricter than we are."
1881729,than,weaker,it,should,"I think in general, uh, punishment in the United States is a lot weaker than it should be."
1890058,as,unreasonable,you,fear,"I do not think your uncle and aunt will be as unreasonable as you fear , but even if they are they shall not prevent me from meeting you somehow . ''"
1894397,than,great,you,think,"like ""Australia, it's great, it's great"" and you go there and it's even more great than you think."
1896169,as,dead,it,is,"Something let us find Earth, dead as it is."
1898466,than,younger,you,are,﻿And I'm four years younger than you are.
1905664,as,boiled,they,come,"The sergeant, as hard-boiled as they come, stood perfectly still"
1906401,as,old,I,am,"'Why, Thomas, old as I am, I remember when Stonewall Jackson struck that"
1907569,as,many,you,want,you can have as many as you want .
1909406,as,slight,it,may,"those blue waves hide; and this circumstance, slight as it may seem,"
1910279,as,grave,you,please,"`` Yesterday , '' said Gordon , chuckling over the remembrance , `` he came in with a big piece of paper he 'd picked up on the entry floor in one hand and his hat in the other -- and he stuffed his hat into the coal-scuttle and hung up the paper on a nail as grave as you please ."
1913747,as,lucrative,one,would,"she's not entirely sales, so it isn't, it isn't as lucrative as one would hope,"
1918290,as,sunny,her,looks,"`` It is ridiculous to think of it , '' she said aloud , with a petulance very unusual in Golden Carol , whose disposition was as sunny as her looks ."
1918999,as,good,he,looks,"`` He is as good as he looks , '' said Carol , enthusiastically ."
1920003,than,younger,we,are,"were all supposed to look younger than we are, are we?, yes"
1920690,as,equal,we,'ll,"Those are always going to be equal as we'll see, but they are going to have some interesting effects when we modify the view."
1927301,than,more,she,could,"Lilian had not promised more than she could perform , and her customers were satisfied ."
1927696,as,good,it,gets,"Like, if this is as good as it gets, fine."
1930156,as,easy,you,might,When is not as easy as you might think.
1935411,as,good,it,is,"you know, how are you sure that the home is really as good as it is, because once you put someone into there, you know, they may not like the fact that they've been put in there,"
1936769,as,easy,it,sounds,"After a while, he started writing himself, but gradually realised that writing a song isn’t as easy as it sounds."
1942036,than,greater,she,could,greater than she could bear.
1942567,than,older,I,am,"Hazel is more than a year older than I am, and she never"
1942574,as,rude,she,could,"She was as rude as she could be, and"
1945887,as,hard,you,think,it really might not be as hard as you think .
1949579,than,different,we,are,"She's different than we are, Adam."
1954841,as,unpalatable,it,is,"Yes, we need to agree this, unpalatable as it is, to go forwards to P and R, to expose what the five percent reduction is, and to indicate as well to P and R other points that we, we want to say about these specific services."
1956459,than,wetter,I,am,"`` I ca n't get any wetter than I am , '' she said cheerfully ."
1959638,as,bad,it,might,It 's not so bad as it might be .
1963998,as,better,it,is,"""It is better as it is."
1965820,than,more,she,could,"Indeed , she felt that a feminine edition of James Sheldon would be more than she could endure ."
1969213,than,bigger,it,is,"Federal and Capital we er, is, is a small business er, but highly profitable and er, it's a subscription business so that the cash comes in advance and er, the er, the only criticism I have of Federal and Capital is that it's, it, it, it, it would be nice if it was five times bigger than it is."
1979327,as,strange,it,may,"Yet, strange as it may seem, the young man missed several opportunities"
1979687,as,sick,she,pretends,I do n't believe she 's half as sick as she pretends .
1984566,as,good,it,should,"Without that, public confidence in my opinion is not as good as it should be."
1988494,as,lovely,it,seems,"As Coral and Duncan admire the tropical sunset, Tom warns them that not all is as lovely as it seems."
1993625,than,more,I,can,"I 've never been used to children , and to have the house kept in perpetual uproar is more than I can stand ."
1994193,than,better,you,could,It 's a real good chance -- better than you could expect .
1999149,as,glad,I,am,"Oh , Bertha , are you half as glad as I am ? ''"
2005904,as,Unlikely,it,may,"`` Unlikely as it may seem , I can , '' said Murray ."
