idx,sentence
62,"But unwelcome as such a task must be, it was necessary to be done, and Elinor therefore hastened to perform it."
75,"Edward seemed a second Willoughby; and acknowledging as Elinor did, that she HAD loved him most sincerely, could she feel less than herself!"
1875,"Affrighted though she was , Wendy swelled with pride ."
1998,"difficult though it was, he took his courage in both hands, and said:"
2006,"Will you be so good as to tell him that the living of Delaford, now just vacant, as I am informed by this day's post, is his, if he think it worth his acceptance but THAT, perhaps, so unfortunately circumstanced as he is now, it may be nonsense to appear to doubt; I only wish it were more  valuable."
2800,"They were his dogs snapping at him , but , tragic figure though he had become , he scarcely heeded them ."
3759,"Marianne, few as had been her hours of comfort in London, and eager as she had long been to quit it, could not, when it came to the point, bid adieu to the house in which she had for the last time enjoyed those hopes, and that confidence, in Willoughby, which were now extinguished for ever, without great pain."
3058,"Serious as was Johnson's predicament, he could not suppress a smile."
331,"Unaccountable, however, as the circumstances of his release might appear to the whole family, it was certain that Edward was free; and to what purpose that freedom would be employed was easily pre-determined by all; for after experiencing the blessings of ONE imprudent engagement, contracted without his mother's consent, as he had already done for more than four years, nothing less could be expected of him in the failure of THAT, than the immediate contraction of another."
384,"Considering everything, therefore, I hope, foolish as our engagement was, foolish as it has since in every way been proved, it was not at the time an unnatural or an inexcusable piece of folly."""
435,"But when the second moment had passed, when she found every doubt, every solicitude removed, compared her situation with what so lately it had been, saw him honourably released from his former engagement, saw him instantly profiting by the release, to address herself and declare an affection as tender, as constant as she had ever supposed it to be, she was oppressed, she was overcome by her own felicity; and happily disposed as is the human mind to be easily familiarized with any change for the better, it required several hours to give sedateness to her spirits, or any degree of tranquillity to her heart."
1334,"Precious as was the company of her daughter to her, she desired nothing so much as to give up its constant enjoyment to her valued friend; and to see Marianne settled at the mansion-house was equally the wish of Edward and Elinor."
1867,"What could the bewildered scouts do , masters as they were of every war-like artifice save this one , but trot helplessly after him , exposing themselves fatally to view , while they gave pathetic utterance to the coyote cry ."
1972,"Thus terrible as the sudden appearance of the pirates must have been to them , they remained stationary for a moment , not a muscle moving ; as if the foe had come by invitation ."
2873,"Fine gentlemen though he was , the intensity of his communings had soiled his ruff , and suddenly he knew that she was gazing at it ."
2589,"Misguided man though he was , we may be glad , without sympathising with him , that in the end he was true to the traditions of his race ."
3841,"wounded, as he was, that seemed out of the question, and he saw himself"
3894,"made, slight though it was, awoke the Girl."
131,"Farragut now decided to run his fleet past the defences, and, desperate as the chances were, he started on April 24."
2265,"But painful as was their humiliation as they stood in silence, gazing"
2458,"Even the Crystal Palace, empty-headed as it is, felt that this was no time for Catherine-wheels."
328,"Strong man though he was , there is no doubt that he had behaved rather foolishly over the medicine ."
1264,"The stones might almost have been flung together by a boy at play; yet, rough as they were, they fitted close, and kept the weather out."
903,"Affrighted though she was , Wendy swelled with pride . '"
1667,"They were his dogs snapping at him , but , tragic figure though he had become , he scarcely heeded them ."
2348,"Revealing existing causes of ineffective time through study, important though it is, is perhaps less important in the long term than the setting of sound time standards, since these will continue to apply as long as the work to which they refer continues to be done."
526,"What could the bewildered scouts do , masters as they were of every warlike artifice save this one , but trot helplessly after him , exposing themselves fatally to view , the while they gave pathetic utterance to the coyote cry ."
629,"Thus terrible as the sudden appearance of the pirates must have been to them , they remained stationary for a moment , not a muscle moving ; as if the foe had come by invitation ."
373,"I do n't think so , ' said the first twin , as clever as the others ."
392,"No wonder thou hast no home, idle as thou art."
620,"Few as we were, we fell upon them and slew their chiefs."
746,"Fine gentleman though he was , the intensity of his communings had soiled his ruff , and suddenly he knew that she was gazing at it ."
3797,"Misguided man though he was , we may be glad , without sympathising with him , that in the end he was true to the traditions of his race ."
2910,"Now remember, Greywhiskers, I have absolutely forbidden you to put your nose above the ground unless I am with you, for kind as the people are, I shouldn’t be at all surprised if they tried to catch you.”"
3946,"So he threw them each a piece but they only growled, ""As fond as we are of chewing gum, we're sure we'd like you even better!"""
4070,"All-around we're finding that this recovery, as tepid as it may be, is increasingly looking unsustainable."
1767,"Sad, though they were in the prime of life, blessed with good health, devoted to each other and to their children, with competent means, a comfortable house on a little freehold property of their own, and, one might say, everything that heart could desire."
1768,"Sad, though they were good people, whose peace of mind had a firmer foundation than their earthly goods alone; contented people, too, with plenty of occupation for mind and body."
3717,"I am merely stating as a fact that, suspicious and"
3724,contemptuous as we had been in Flanders of every able-bodied man who was
584,"Truism as it is, my dear Rouge Pot, I am bound to beg you never to forget that everybody can't have everything in this world, and that everybody can't be everything on the stage."
3854,"And ill-mannered as this was, Mr. and Mrs. Skratdj never put a stop to it."
3357,"Startled as she was , Alice was more frightened for him than for herself at the moment , and watched him with some anxiety as he mounted again ."
832,"Great as was her excitement and her desire to get away, she took precautions to cover her escape."
3141,"Late as it is , she will like some apples and cake and a Merry Christmas from the family . ''"
4049,"They hesitated , so did he ; for it must cost many lives , and , brave as they were , they paused an instant ."
607,"Abruptly she decided to take him there, agitated, upset as she was by"
999,"“Yes, they are like the rainbow,” said Hope, “because glad as my nature is, I am partly made of tears as well as smiles.”"
2967,"""They may think me, in your mail, the brave Achilles,"" he said, ""and pause from fighting, and the warlike sons of Greece, tired as they are, may breathe once more and gain a respite from the conflict."""
2888,"As she looked at it she saw for the first time that its head had a tiny face , with silvery hair , two merry eyes , and a wee mouth out of which came the metallic little voice that pierced her ear , small as it was ."
2988,"I am hearty and well , however , in spite of this crick in my back , and hope to serve you a good while yet , for you seem to appreciate me , stout and ordinary as I look ."
3176,"It was very splendid , and , snugly settled among the soft folds , I saw it all , and probably felt that I too had my part ; humble as it was , it was faithfully performed , and I never once deserted my post for six weeks ."
3423,"Here comes another Giant, as strong as you are, to fight with you."""
1148,"And, for once, Apollo did not know what to do, banished as he was from the council of the gods for a while, and unable to summon the physician, Aesculapius, to his aid."
1283,"But what can I do , so small and stupid and shy as I am ?"
2093,"""For years this forest has belonged to us, small as we are, and in a very short time now it will return to the earth from which the trees that built it came."""
268,"Aunt Cockletop pecked and croaked fiercely ; but , tough as she was , the old biddy did not escape , and many another amiable hen and gallant cockadoodle fell a victim to that mysterious hand ."
854,"Jack was a modest boy ; but he was so afraid that Nanny would lose her chance , that he forgot himself , and told the little story as fast as he could -- told it well , too , I fancy ; for the doctor listened attentively , his eye going from the boy 's eager , flushed face , to the pale patient one beside him , as if the two little figures , shabby though they were , illustrated the story better than the finest artist could have done ."
3128,"For silent it was to us, standing in the silence of a high place silent with a Sunday stillness that made us listen, without taking thought, for the sound of bells coming up from the spires that rose above the tree-tops the tree-tops that lay as far beneath us as the light clouds were above us that dropped great shadows upon our heads and faint specks of shade upon the broad sweep of land at the mountain's foot."
1518,"""Wet as I am, it's ghastly!"""
3163,"Startling as this admission might have been to any other lawyer, Starbottle was absolutely relieved by it."
2520,"If I thought you possessed the faintest conception of what is the sign manual of a gentleman, or what is due one, I would call you out, sir, old as I am."
1367,"""From all I can see and hear I think Kate Stimson wouldn't object to 'most anything the deacon would say to her, knowing as she does that he ain't going to say anything he shouldn't say."""
1403,"Yet he hid from the owl and the cat, because he knew full well that, tough though he was, they would gobble him up if they happened to be hungry."
1563,"The mouse, small and helpless though he was, was a wise little creature."
2481,"Ill and suffering though he was, Matri-Datta did not dare disobey the king: so he came at once."
711,"Often and often she stood between the wrath of her father and those he wished to injure; for, wicked as he was, he loved her and wanted her to be happy,"
3566,"Chaplain though he was, he carried a gun,"
3671,"` Our family have built thousands of islands and long reefs , that the sea ca n't get over , strong as it is . '"
326,"Big and strong as we are , once out of water , and we are perfectly helpless ."
1706,"For Mana Kanaka, sad though he was to lose his dear only child, was glad that she should be a queen, and have some one to take care of her when he was gone."
3712,To show that as wealthy as he was.
1436,"So when he had quenched his thirst, he took up the cask and put it back on the table, and thanked the man for the good meal, and told his mother to come and thank him too, and, a-feared though she was, she dared do nothing else but thank the man."
3525,"I am the Virgin Mary, and so grieved as you have been, so grieved was I when you let out sun, and moon, and star."
1318,"`` I 'll do my best , Alec ; and I think you will need me , for , wise as you are , you can not understand a tender , timid little creature like Rose as a woman can , '' said Mrs. Jessie , smiling back at him with a heart full of motherly goodwill ."
3747,"Strange as it may seem, there had never been any Mourning Doves in the forest until this year, and when a pair came there to live, the people were much excited."
1224,"‘You don’t understand me,’ the voice pursued, dreadful as a voice always"
2072,"One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into gold, and lead into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by anyone the master desired to know about."
3834,"And Brighton, strange as it may seem, became, in Britain, one of the small pioneer centres where these first movies were made."
1170,"So his cake was very small; yet small as it was, his mother asked him if he was willing to take the half of it with her blessing, telling him that, if he chose rather to take the whole, he would only get it with her curse."
3750,"Well my dear, reluctant as I am to leave you I'm afraid we have no alternative."
1260,"At length she rose , and amid the deep silence spoke thus : -- `` Dear children , let us not tire of a good work , hard though it be and wearisome ; think of the many little hearts that in their sorrow look to us for help ."
2661,"Then take this glittering crown , hard and cold as your own heart will be , if you will shut out all that is bright and beautiful ."
3585,"Careful as Mr. Grant was , Jill could have screamed with pain as he lifted her ; but she set her lips and bore it with the courage of a little Indian ; for all the lads were looking on , and Jill was proud to show that a girl could bear as much as a boy ."
1514,"The animals did not hold with villages, and their own highways, thickly frequented as they were, took an independent course, regardless of church, post office, or public-house."
291,"Dark and deserted as it was, the night was full of small noises, song and chatter and rustling, telling of the busy little population who were up and about, plying their trades and vocations through the night till sunshine should fall on them at last and send them off to their well-earned repose."
2643,"His shining eyes held fast to the horizon, and he seemed to be listening for some sound that was wanting from that inland acreage, vocal as it was with the cheerful music of pasturage and farmyard."
3163,"Then suddenly they heard, far away as it might be, and yet apparently nearly over their heads, a confused murmur of sound, as if people were shouting and cheering and stamping on the floor and hammering on tables."
1167,"‘Reluctant as I am, I must lay aside other tasks and do this one.’"
1388,"Then he drew back his head, and leading Fay to the seat, took her on his knee, all flushed, dirty, and tearful as she was, soothing her by saying tenderly,"
3141,"all alone as Perseus had supposed himself to be, there was a stranger in the solitary place."
3255,"My sister and myself will do our utmost to bring you safe through the adventure, ugly as it now looks."""
3420,"But strong though that thrust is, it is not rescue in that sense that I want to argue for here."
3681,"Now there is more to this passage than either the story that it heralds, poignant and memorable though that is, or the condescending tone of the last sentence, for the innocence Davin embodies brings to Stephen as a brute fact from the real world the missing half of a truth which Stephen has known but so far been unable to admit even to himself, and which will go on mattering to Joyce for many years."
156,"Mamma spoke warmly , for she heartily believed in young people 's guarding against this dangerous vice before it became a temptation , and hoped her boys would never break the pledge they had taken ; for , young as they were , they were old enough to see its worth , feel its wisdom , and pride themselves on the promise which was fast growing into a principle ."
1912,"To his great perplexity, however, excellent as the glasses were, he discovered that he could not possibly see through them."
2209,"Big boy as he was , the sudden thought that never again would they sit shoulder to shoulder , thundering the marches or singing the songs both liked so well , made his eyes fill as he laid away the music , and shut the instrument , feeling as if he never wanted to touch it again ."
2658,"""The Golden Touch,"" asked the stranger, ""or your own little Marygold, warm, soft, and loving as she was an hour ago?"""
1022,"""Yes, they are like the rainbow,"" said Hope, ""because, glad as my nature is, I am partly made of tears as well as smiles."""
1736,"This made a deep impression on her , and a sense of childlike faith in the Father of all began to grow up within her ; for in that lonely voyage , short as it was , she had found a very precious treasure to keep for ever , to lean on , and to love during the longer voyage which all must take before we reach our home ."
2070,"And I'm trying to let that be a good thing, as deviant* as that might sound."
2126,"cried Ralph , in a burst of gratitude ; for , independent as he was , the kindness of this successful friend to a deserving comrade touched and won his heart ."
2813,"But, wonderful as it appeared, Bellerophon believed that Pegasus was a real steed, and hoped that he himself might be fortunate enough to find him; and, once fairly mounted on his back, he would be able to fight the Chimæra at better advantage."
3207,"Poor little Dick was dead , so was Billy ; and no one could mourn for them , since life would never be happy , afflicted as they were in mind and body ."
16,"For, gentle and tender as he was, he grew to be a mighty poet!"
870,"And again and again the rosy-checked and curly-headed boy would tug and strain at the huge mass of stone, striving, child as he was, to do what a giant could hardly have done without taking both of his great hands to the task."
880,"But, difficult as the matter looked, Theseus was now growing up to be such a vigorous youth, that, in his own opinion, the time would quickly come when he might hope to get the upper hand of this ponderous lump of stone."
2599,"Bold as he was, however, I rather fancy that it strengthened his valiant heart, just at this crisis, to feel a tremulous twitch at the silken cord, which he was still holding in his left hand."
2847,"Hard as you think his heart is, it would break to lose me."
2951,"But poor King Aegeus, day after day, infirm as he was, had clambered to the summit of a cliff that overhung the sea, and there sat watching for Prince Theseus, homeward bound; and no sooner did he behold the fatal blackness of the sails, than he concluded that his dear son, whom he loved so much, and felt so proud of, had been eaten by the Minotaur."
3368,"Here comes another Giant, as strong as you are, to fight with you."""
133,"Thus, frightened as she at first was, you might by and by have seen Europa stroking the bull's forehead with her small white hand, and taking the garlands off her own head to hang them on his neck and ivory horns."
3652,"Beautiful as her face was, and though there was a smile on it, it looked just as wicked and mischievous as the ugliest serpent that ever was seen; and fat-witted as the voyagers had made themselves, they began to suspect that they had fallen into the power of an evil-minded enchantress."
3832,"Then he told Ulysses all that had happened, as far as he knew it, and added that he suspected the beautiful woman to be a vile enchantress, and the marble palace, magnificent as it looked, to be only a dismal cavern in reality."
2,"Quicksilver then gave him some further advice how to behave, and bidding him be bold and prudent, again assured him that, powerful as Circe was, he would have a fair prospect of coming safely out of her enchanted palace."
835,"To tell you the truth, foolish as it may seem, she was half inclined to turn round and run away."
1349,"Why, he was a big, rough, ugly-looking monster, with three separate heads, and each of them fiercer than the two others; but fierce as they were, King Pluto patted them all."
1517,"And, though he pretended to dislike the sunshine of the upper world, yet the effect of the child's presence, bedimmed as she was by her tears, was as if a faint and watery sunbeam had somehow or other found its way into the enchanted hall."
1604,"But prudent Mr Bhaer suggested that one honest agent among many could not do much , and noble as the effort would be , it was wiser to think over the matter carefully , get influence and authority from the right quarters , and meantime look at lands before deciding ."
2983,"But he might just as well save himself the trouble, poor, fat little man that he is."
3113,"I hoped you would take my crown for a plaything, and me ah, you laugh, naughty Proserpina me, grim as I am, for a playmate."
3554,"Though not a very broad river in the dry seasons of the year, it was now swollen by heavy rains and by the melting of the snow on the sides of Mount Olympus; and it thundered so loudly, and looked so wild and dangerous, that Jason, bold as he was, thought it prudent to pause upon the brink."
4078,"Like an upright and honorable prince as he was, he determined to speak out the real truth."
1164,"If Jason had been capable of fearing anything, he would have been afraid of making this young princess his enemy; for, beautiful as she now looked, she might, the very next instant, become as terrible as the dragon that kept watch over the Golden Fleece."
3813,"Boy as he was , the thought of death coming suddenly to him , and in this way , might well make him sober ; for it is a very solemn thing to be arrested in the midst of busy life by the possibility of the great change ."
741,"He aimed a blow at me, and then ran into the mist, stumbling as he went, and I lost him."
3134,"` You are a very lucky woman , ' began the discontented damsel , whose soul soared above new hats , welcome as they were , but did not quite know where to steer ."
1747,"Captain Hardy testifies to that , and here is your reward ' ; and Mrs Jo kissed Mary with a maternal tenderness which betrayed that she liked the English rose better than the blue-eyed German Kornblumen , sweet and modest though it was ."
3221,"And yet, painful as the scene was, it had its grotesque features."
524,"Child as he was, he was desperate with hunger, and reckless with misery."
3596,"Small as her knowledge was , she could see and enjoy the power visible in every part of it ; the accurate anatomy of the vigorous limbs , the grace of the pose , the strength and spirit in the countenance , clay though it was ."
446,"The fate of the bulb is made of first importance,      and the fortunes of Cornelius van Baerle, the tulip fancier,      of Boxtel, and of Rosa, the gaoler's daughter, exciting though      they are, take second place."
561,"These letters, entirely creditable though they were to the statesmanship of the Grand Pensionary, would have been accepted as evidence of treason by the maddened Orangists, and Cornelius, instead of burning them, had left them in the keeping of his godson, Van Baerle, a quiet, scholarly young man of Dordrecht, who was utterly unaware of the nature of the packet."
1456,"said Paul , hoping to arrest the shower , natural as it was ."
2275,"Bring Leonard Randal along with you to take notes for his new books ; then it will be fresher and truer than the last , clever as it was ."
3173,"Deeply as the heart of Athos was stirred at meeting his old comrade-in-arms, and sincere as his attachment was to D'Artagnan, the Count de la Fère would have nothing to do with any plan for helping Mazarin."
2905,"Waal , seem ' haow 't was , I tried tew please him , late as it was ; but ef there was ennything I did spleen ag ` inst it was farmin ' , ` specially arfter the smart times I 'd ben hevin ' , up Oldtaown way ."
2596,"Little birds, as greedy as themselves, came in flocks to the feast, but they might eat as they liked, it would never be missed, so thick was the carpet."
308,"`` Yes , I love you , and I tell it , vain and dishonorable as it is in one like me ."
3219,"Angry , bewildered , and shame-stricken as they were , feminine curiosity overpowered all other feelings for the moment , and the girls sat looking at the culprits with eager eyes , full of instant recognition ; for though the disguise was off , and neither had seen them in their true characters but once , they felt no doubt , and involuntarily exclaimed , -- `` Karl ! ''"
3314,"I have served you faithfully for a month , and , presumptuous as it is , I ask to be allowed to serve you all my life ."
849,"Let me hope that you will prove as faithful as I have been , as happy as I am , as blest as I shall be ."
1958,"He must have been suffering terribly , but he thought of the women who loved him before himself , and , busy as I was , I snatched a moment to send a few words of hope to the old mother ."
2281,"Great as the preparations were for the dinner, everything was so contrived that not a soul in the house should be kept from the morning service of Thanksgiving in the church, and from listening to the Thanksgiving sermon, in which the minister was expected to express his views freely concerning the politics of the country and the state of things in society generally, in a somewhat more secular vein of thought than was deemed exactly appropriate to the Lord's day."
2779,"He certainly looked so , faint as the hope was ; for the melancholy eyes brightened as if they already saw a happier refuge in the future than almshouse , hospital , or grave , and , when he trudged away upon my errand , he went as briskly as if every step took him nearer to the promised home ."
3655,"Presently one of the spirits said , in a tone , which , low as it was , filled the belfry with reverberating echoes , -- `` Well , brothers , are your reports ready of the year that now lies dying ? ''"
350,"Still, worn out as she was, when her thirty sons and daughters clustered round, and begged that they might have their usual family dinner on Thanksgiving Day, she could not find it in her hospitable heart to refuse, and immediately invitations were sent to her eleven brothers and sisters, old Father Time, and Mother Year, to come with all their families and celebrate the great American holiday."
3601,"Nat 's face had brightened more and more as he listened , for , small as the list of his learning was , it cheered him immensely to feel that he had anything to fall back upon ."
2829,"See , some are already divided into four parts , and I will have the others made in the same way , a place for each week ; and when the drawer is filled with curious and pretty things , I shall be as proud of it as you are ; prouder , I think for in the pebbles , mosses , and gay butterflies , I shall see good resolutions carried out , conquered faults , and a promise well kept ."
3287,"`` I would n't let him ; he and Emil had n't had any supper , and I wanted to come more than they did , '' he said , taking the lantern from her and smiling up in her face with the steady look in his eyes that made her feel as if , boy though he was , she had some one to depend on ."
3892,"The coach stopped , the godmother lifted in the Princess , and she was trundled away in state , kissing her hand to the public , with her glass shoes sticking up in front , and her pink train sweeping the ground behind , for , elegant as the coach was , I regret to say that her Highness was rather a tight fit ."
1973,"Down they went , feeling a trifle timid , for they seldom went to parties , and informal as this little gathering was , it was an event to them ."
1683,"One discovered that money could n't keep shame and sorrow out of rich people 's houses , another that , though she was poor , she was a great deal happier , with her youth , health , and good spirits , than a certain fretful , feeble old lady who could n't enjoy her comforts , a third that , disagreeable as it was to help get dinner , it was harder still to go begging for it and the fourth , that even carnelian rings were not so valuable as good behavior ."
2471,"It had evidently been newly tuned and put in apple-pie order , but , perfect as it was , I think the real charm lay in the happiest of all happy faces which leaned over it , as Beth lovingly touched the beautiful black and white keys and pressed the bright pedals ."
3556,"That hiss , faint as it was , irritated the irascible gentleman , and sealed the culprit 's fate ."
3318,"`` Mrs. M. has made her plans , I dare say , and will play her cards well , early as it is ."
3411,"For , innocent and unsuspicious as she was , she could not help understanding the gossip of her friends ."
1758,"I mean, as sorrowful as it is."
4066,"in the Washington area, of course, being as affluent as it is, there are lots and lots of Volvo dealerships down here"
2375,"strange as it may seem, made the people whom they struck hate each"
1871,"For a moment Jo looked as if she would agree , for wild as the plan was , it just suited her ."
1752,"as lovely as nature allows, to learn obedience to father as a child, to"
1914,"But young as she was , Jo had learned that hearts , like flowers , can not be rudely handled , but must open naturally , so though she believed she knew the cause of Beth 's new pain , she only said , in her tenderest tone , `` Does anything trouble you , deary ? ''"
801,"Poor as he is , he did n't forget a servant or a child in the house , and not a soul here , from the French laundrywoman to Miss Norton forgot him ."
1265,"Mr. Dashwoods 's editorial gravity relaxed into a smile , for Jo had forgotten her ` friend ' , and spoken as only an author could ."
1739,"She was living in bad society , and imaginary though it was , its influence affected her , for she was feeding heart and fancy on dangerous and unsubstantial food , and was fast brushing the innocent bloom from her nature by a premature acquaintance with the darker side of life , which comes soon enough to all of us ."
3221,"Early as it was , he was at the station next morning to see Jo off , and thanks to him , she began her solitary journey with the pleasant memory of a familiar face smiling its farewell , a bunch of violets to keep her company , and best of all , the happy thought , `` Well , the winter 's gone , and I 've written no books , earned no fortune , but I 've made a friend worth having and I 'll try to keep him all my life . ''"
1494,"Blurred and blotted , faulty and feeble as the lines were , they brought a look of inexpressible comfort to Beth 's face , for her one regret had been that she had done so little , and this seemed to assure her that her life had not been useless , that her death would not bring the despair she feared ."
518,"`` Disgusted , I dare say , and gone home as suddenly as he came ."
3703,"Poor Laurie did n't know where to look , for , man though he was , something of the old bashfulness came over him as this burst of praise made all faces turn approvingly upon him ."
1629,As crowded as it is beautiful.
1986,"It had lain neglected in a damp nook for years till my lady discovered it , and , sad as were the associations connected with it , she desired to preserve it for the sake of the weird prophecy if nothing else ."
2114,"The work goes bravely on , Father Cosmo ; and boy as I am , I 'll keep my word in spite of everything , '' he muttered ."
194,"She wondered over this in her childish mind , but proud and willful as she was , she liked it , and obeyed him with unusual meekness when he suggested that it was time to return ."
715,"He 's the heart of a man , boy though he is , '' she said angrily as the men hung back ."
1802,"And that was when, as hard as it was for me to believe, after all this, we had won."
2505,wasted as though he had spoken it to the statue of Apollo on his
1556,"as happy as we can in an apple-tree, and when the tale becomes too"
1136,"Then two girls flew about on the trapeze , and walked on a tight rope , causing Bab to feel that she had at last found her sphere ; for , young as she was , her mother often said , `` I really do n't know what this child is fit for , except mischief , like a monkey . ''"
2457,"He was, however, too hopeful as it appeared, for though he managed to"
104,"Oh , he could n't find you without help , smart as he is , '' answered Thorny , incredulously ."
2465,"lest men should suspect you by your face, which fools though they be"
2852,"blurted out Thorny , finding it hard to say the words , angry as he was , for the face opposite did not look like a guilty one ."
869,"The poor fellow did his best , weary and foot-sore though he was ; but when it came to taking his tail in his mouth to waltz , he gave it up , and , dropping down , hid his face in his paws , as he always did when any of his tricks failed ."
1494,"careless as he was, or playing with lovely free-limbed girls with"
1598,"For careless though he was he cared for his sheep, as he did for"
2897,"Most chiefs in the west regarded the Wesleyan missionaries, aligned as they were seen to be with Ma'afu, as a threat to their power, refused conversion, and resisted missionary attempts to set up outposts in their villages."
3758,"Yes , old and useless as I be , there 's an awful longing sweeps over me at times to sail out -- out -- out there -- forever and ever . ''"
3269,"intoxication of the other sex, and seeming as it were to say: How much"
2541,wonderful as she is!
3080,"impatience just to see her, and saying as it were: I am the only lamp"
3176,"empty as it seems, and she were not here at all."
1265,"women's quarters, and stood looking at me grimly, covered as I was"
2195,"However, as smitten with Natalia as Greville is, he has a brief fling with a woman named Madeleine, as well."
3358,"It seems to me that , bad as everything is , it would be still worse never to have known Leslie ."
643,"that she actually took a momentary fancy to me, strange as it seems."
950,"already, drowned as I am in misery without her: whereas, if I could"
980,"was the true cause of the wavering of her eyes, foreseeing as she did"
2233,"Gilbert 's interests made the change necessary ; his work , successful though it had been , was hampered by his location ."
673,"Anne , tired as she was , made one more effort for the public weal that night , slipping over the fields to interview Mr. Harrison , who was as usual smoking his pipe on the veranda with Ginger beside him ."
2548,"The squall, however, furious as it was at its commencement, had spent"
3463,"stern-chasers might be worked, heavy as the sea is."
3540,"`` Even Levi Boulter or Lorenzo White would never stoop to that , tightfisted as they are ."
3995,"dockyard workmen, still busy, late as it was, putting the finishing"
1167,"It was by this time as dark as it was likely to be, so I resolved to"
3913,"It's possible, as gruesome as it is."
2580,"after Goliath was killed, and the Philistines escaped, Israel won and had a victory march at its head was the king and the hero who won- this was David and the women of Israel stood on the sides and rejoiced so one group of women started to sing- ""Saul killed thousands and David tens of thousands"" as great and heroic as Saul was for killing thousands, David was greater for killing tens of thousands they put David above the king so Saul's honor was injured he said- what, now they're making him greater than me?!"
3527,"`` Spelled with an E , '' gasped Anne , who , tremulous and excited as she was , was determined there should be no misunderstanding on that important point ."
136,"As much fun as we're having here, it's time to break this party up."
1432,"And of all the excited performers-elect none was so excited as Anne Shirley , who threw herself into the undertaking heart and soul , hampered as she was by Marilla 's disapproval ."
1971,"Or the pink lady , kind and nice as she is , so stout and short that you 'd really no figure at all ?"
2558,"`` You know exactly how narrow their outlook on life is , excellent creatures though they are ."
2659,"And , ridiculous as the idea of my being a B.A."
1171,"Crowded though it was with refugee kindred, with"
1785,"Miss Austin, as suspicious as the letter is, it doesn't actually prove anything."
2963,"For as much fun as Penguin and company are, the real reason fans tune in to a Batman prequel is to see the character's evolution."
2882,"Riches were all very well ; but even Mrs. Rachel , practical soul though she was , did not consider them the one essential ."
258,"I live with my guts hanging out, as transparent as possible, hiding nothing."
732,"But it was beautiful there , too -- as beautiful as it had been on the faraway day of the Golden Picnic , when Diana and Jane and Priscilla and she had found it ."
1048,"They lingered in the old garden until twilight , sweet as dusk in Eden must have been , crept over it ."
2844,"Pink as they were , they were not so pink as her cheeks , and her eyes shone like stars ."
2778,"Yet William Blair at the store up there , rich and respected as he is , was n't half as clever a man as I was when we started in life : you may n't believe that , but it 's true ."
2677,"It was a fib for her , minister 's wife though she was ."
1732,"He and Prissy had made good use of their time , short as it had been ."
1838,"Prissy was always a favourite of his , and he would have been more than human , saint as he is , if he 'd had any love for Emmeline , after the way she was always trying to brew up strife in the church ."
2414,effective as was expected by their promulgators.
1895,"There was more than the Rogerson colour in it , anyhow , and Louisa , slow though her mental processes might be in some respects , thought she understood the meaning of a blush as well as the next one ."
961,"There was a Cecil Fenwick , extraordinary as the coincidence was , and he was here in Avonlea ."
3387,"As terrible as it was, beyond the reach of the resurrection ships, something began to change."
1962,"ADELlNE: ♪ Don't ever lose all the charms you possess ♪ ♪ Your loveliness ♪ ♪ Darling, the way you say ""yes"" ♪ ♪ Stay as sweet as you are ♪ ♪ Discreet as you are ♪ ♪ You're divine, dear ♪"
481,Bad as that today is it?
3310,"I 'm too blamed glad to see anyone get the better of that old Walters , smart as he thinks himself ."
1451,"But early as it was , another door down the hall was half open too and five rosy faces were peering cautiously out ."
174,"And, intellectualist as he is,"
3728,"* * * * * When fifteen years had gone by there were naturally some changes in Heatherton , sleepy and ; unprogressive as it was ."
2908,"Christianity said, stop the cycle at sex and you get rid of death, radical as that may sound to us."
1103,"in the best authorities--that Latin learning, rich as it is, is"
1959,"in such a way that, great as he is, his work gave me courage enough to"
1963,"proceed, overprecise as I am in other respects."
3013,"the pleasing recollection of the friends, as learned as they are"
2051,"contempt of the lowest, used as I am to the respect of the highest."
3316,"that your wife, sensible as she is, and obedient in regard to a matter"
621,"horse, lame as he was."
2941,"Big as Australia is, it was much bigger in the past."
2746,"`` Unlikely as it may seem , I can , '' said Murray ."
951,Erm important though they are they do not cover the the great majority of the county.
2897,`` Not busy at all -- idle as you see me .
1968,"Careful and steady and prudent as Mary Margaret might be , she was only twelve years old , after all , and there would not be another soul besides her and Nellie on the Little Dipper that whole day ."
3370,"stillness a snigger which, faint as it was, sounded startlingly loud."
3741,"It was a very small garden , for nothing would grow beyond the shelter of the little , grey , low-eaved house which alone kept the northeast winds from blighting everything with salt spray ; but small as it was , it was a miracle of blossoms and a marvel of neatness ."
303,"As badly as he felt about losing his place on the team,"
2212,"The compliment to his roses , well-deserved as it was , did not at first engage his attention ."
688,"quite as bad as we think it is, that every line has a silver clouding"
3847,"As flattering as that is, you're not welcome here."
2239,"the remainder of the meat, which, heavy as it seemed, he managed to"
4057,"Not so bad a general was Moise, for, slight as was his chance to"
2630,"broken it must, as it seemed to these observers, have meant"
3657,"give even Uncle Dick, seasoned as he was, something of an argument at"
296,as wild as they are when they reach the southern latitudes.
