idx,construction,corrupted_construction,corrupted_sentence
1739,a mere two inches,a two mere inches,Harry did n't feel the motion as the hover - car stopped and floated to the ground to rest a two mere inches from the surface .
1740,a couple hundred years,a hundred couple years,Sure packs a wallop even after a hundred couple years of storage . _
1741,a few hundred yards,a hundred few yards,"Two took the point in the front , a hundred few yards ahead of the carriers ."
1742,a few hundred yards,a hundred few yards,We need to go back a hundred few yards to another surface access .
1743,"a comfortable 10,000 feet","a 10,000 comfortable feet","Once again in the driver 's seat , Winston 's coaxed the hovercar higher and higher until he was at a 10,000 comfortable feet ."
1744,a good two hours,a two good hours,"We still have a two good hours before it 's dark yet . """
1745,a solid four hours,a four solid hours,I had put in a four solid hours before I heard the ding .
1746,a good twenty years,a twenty good years,"Had a twenty good years on him . """
1747,a very pregnant nine months,a nine very pregnant months,"She had carried each of her daughters for a nine very pregnant months , and then she continued to carry them for the rest of their lives ."
1748,a full three years,a three full years,He waited a three full years before concluding an arrangement with an investor .
1749,a good three or four feet,a three or four good feet,"As she moved , a three or four good feet ahead of Caige , she allowed a comb of her magic to sweep over everything in her path that might scream "" Magic ! """
1750,an intense and exhausting three weeks,an three intense and exhausting weeks,"Our team had spent an three intense and exhausting weeks delving into the myriad regulations , exploring potential building sites in County Cork , negotiating rights to the piece of land ideal for our plant and devising technical plans ."
1751,a profitable two hours,a two profitable hours,"It was a two profitable hours spent going over the contract in detail , discussing issues and possibilities , making changes here and there and occasionally compromising on sticking points ."
1752,a mere five yards,a five mere yards,"The boat was a five mere yards away when Mel stood up again . """
1753,a good thirty feet,a thirty good feet,"We were a thirty good feet off from the nearest wall , on the left side of the boat , and the row was made harder by the other boats and rafts bumping into us ."
1754,a few hundred years,a hundred few years,I should say what was left of the cot after a hundred few years of disuse and rot .
1755,a whole seven days,a seven whole days,"Her mother would be able to stay home from work , and she would n't have to stay at Mrs. Amity 's boarding home for a seven whole days ."
1756,a full three inches,a three full inches,Dehydration coupled with exhaustion made her vision hazy and she thought he resembled a dwarf ; as he was easily a three full inches shorter than herself .
1757,a shining Five Rams,a Five shining Rams,"I was riding a Five shining Rams , a lady 's bike ."
1758,a few hundred warriors,a hundred few warriors,"They had taken with them for the flight from Petra3 to Homeworld , a hundred few warriors and soldiers on both ships to heave the cargo around ."
1759,a bare fifty yards,a fifty bare yards,His pinched and bloody face lifted ; he saw the oolves a fifty bare yards away .
1760,a few hundred yards,a hundred few yards,"There were a hundred few yards of exposed scree that disappeared under the short course grass that was easy enough , but Maan still could not stand on the slope , so Pilar dragged him down and over the grass holding him under his arms ."
1761,a few hundred yards,a hundred few yards,"Sometimes only a hundred few yards were covered , some days less ."
1762,a hard million miles,a million hard miles,"In the far distance was the Nunatak , a million hard miles away the last time it seemed to her , but an easy few this time ."
1763,a worrying three hours,a three worrying hours,"It was a three worrying hours for Pilar before they did return , it was dark and the only light was from the fire ."
1764,a punishing ten miles,a ten punishing miles,"The oolves dug into their harnesses , the speed now steadied to a ten punishing miles an hour ."
1765,an extra fifteen seconds,an fifteen extra seconds,"It took him an fifteen extra seconds to make sure Claramond was dealt a compatible hand , as he had seen the first one ."
1766,a normal four twos,a four normal twos,Gobbwer turned over a four normal twos and a six .
1767,a good twenty seconds,a twenty good seconds,"Knowing what she was looking at now , she had a twenty good seconds to study it . ''"
1768,a few hundred years,a hundred few years,"We are getting about 154 grams of gold per ton at the moment , but this sample read 398 grams per ton which corresponded near enough to when the mine was opened to perhaps a hundred few years after that ."
1769,a few thousand renegades,a thousand few renegades,"A quarter of a million Amber elite they sent here , to exterminate a thousand few renegades ."
1770,a few hundred yards,a hundred few yards,"Maan , ignoring the pocket of their enemy that stood but a hundred few yards away from him , dived in to help the medics too ."
1771,a few hundred yards,a hundred few yards,"Upwind , was just a hundred few yards ."
1772,a good three inches,a three good inches,"There were ominous wood cracking sounds as Alvah 's big bulk landed in a cloud of dust , the stage floor bounced , Isao and Takeshi bobbed up and down a three good inches as the floorboards sprang back up , all that they would that is ."
1773,a good thirty seconds,a thirty good seconds,"Racing it down , he got there a thirty good seconds before the doors opened ."
1774,a quick ten miles,a ten quick miles,"'' That was a ten quick miles , Quan ? ! ''"
1775,a few thousand people,a thousand few people,There were a thousand few people visiting the shrine of Queen Heidi and King Qasim that day .
1776,a good twelve hours,a twelve good hours,He wanted nothing more at that moment than to collapse on a bed and sleep for a twelve good hours .
1777,a good twenty minutes,a twenty good minutes,"They watched each other for a twenty good minutes , until a tall guy at the bar sent a round of drinks ."
1778,a straight two minutes,a two straight minutes,"The kettle had been whistling for a two straight minutes , as Anna was still brushing her teeth ."
1779,a few hundred years,a hundred few years,But she still had a hundred few years of growing to do before she would reach her full height of about twelve feet .
1780,a few thousand quid,a thousand few quid,"It was an alright haul , a thousand few quid and a few easily saleable things , but nothing massive ."
1781,a grueling eight rounds,a eight grueling rounds,He finished a eight grueling rounds without either one getting an obvious edge .
1782,a full eight days,a eight full days,"Although Mr. Armstrong did not choose to emphasize it in his autobiography , belief in keeping the annual Holy Days found in Leviticus 23 created continual logistical challenges — especially in accommodating the multiple thousands who gathered to keep the Feast of Tabernacles for a eight full days in the autumn ."
1783,a few hundred years,a hundred few years,"As a comparison of the technical capabilities of the moon people with ours , it would not be wrong to say that they are only about a hundred few years behind us ."
1784,a few hundred years,a hundred few years,"After all , humans are animals , too , only dressed in the tattered clothing of a hundred few years of trying to be civilized ."
1785,a few hundred years,a hundred few years,Technically I could live for a hundred few years .
1786,a mere two men,a two mere men,Never have I seen or even heard of a two mere men slaying nine kreresh .
1787,a full two weeks,a two full weeks,It had taken her a two full weeks to recover from the fever that ensued her lashing and her back still caused her pain just to move about .
1788,a good twenty paces,a twenty good paces,"' No , but he was a twenty good paces away and it was dark . '"
1789,a mere two strides,a two mere strides,"The swordsman , a two mere strides away , grinned from ear to ear ."
1790,a lonely two hours,a two lonely hours,"It was a two lonely hours , but I knew if anything was worth it , this was ."
1791,an easy forty people,an forty easy people,The line was an forty easy people deep when I had first been past .
1792,a good twenty minutes,a twenty good minutes,"I deliberated for a twenty good minutes , going back and forth ."
1793,a few hundred years,a hundred few years,"Back a hundred few years ago , it was common to have competitions to design buildings ."
1794,a good ten minutes,a ten good minutes,They spent a ten good minutes arguing the point .
1795,a staggering 406 kilometers,a 406 staggering kilometers,"The third - longest river in Italy , it flows and winds a 406 staggering kilometers ."
1796,a few hundred yards,a hundred few yards,Within a hundred few yards he had pulled her over to the side of the road .
1797,a few hundred yards,a hundred few yards,Within a hundred few yards he 's stopped by a police officer .
1798,an extra thousand dollars,an thousand extra dollars,"At the end of the day , a delighted Mrs. Trump offered the undertaker an thousand extra dollars for handling the matter so professionally ."
1799,a whopping 870 points,a 870 whopping points,"First , you barely made it into heaven in the first place , second we have a point system based on your sins on earth and you have a 870 whopping points against you so that means you get a real ugly mate as a punishment for your earthly sins ."
1800,a mere five feet,a five mere feet,"He felt himself elevate slightly from the landscape but , before he could get a five mere feet in the air , two youthful looking vampires , a young male and female , grabbed hold of his feet , pulling him back down to the ground ."
1801,a good five minutes,a five good minutes,"He took a five good minutes to compose himself before commencing with his morning routine , showering , brushing his teeth , and tying back his hair in a ponytail before going down for breakfast ."
1802,a good five minutes,a five good minutes,"It took a five good minutes before the traffic finally started to budge , and after about another minute or so , he was able to move quicker than a snail 's paste ."
1803,a good four minutes,a four good minutes,"Elliot sat there for a four good minutes , intently imagining the Ox Wine potion being in his hand , but nothing happened ."
1804,a good five seconds,a five good seconds,"Faiga was silent for a five good seconds , narrowing her eyes as she thought ."
1805,a good five minutes,a five good minutes,"Elliot freshened up , showered for a five good minutes , brushing his teeth , combing his hair and dressing in a pair of black jeans with a dark blue T - shirt ."
1806,a good forty minutes,a forty good minutes,"Elliot turned to the classical music station , currently playing Offenbach 's Orpheus In the Underworld : Infernal Galop , and they continued listening to the same station for a forty good minutes as it persisted playing various classical tunes , Elliot noticing Rosewielder 's head turning in his direction at increasingly shorter intervals until ..."
1807,a good thirty pounds,a thirty good pounds,""" Okay , I think I know where I want to begin our trip , "" said Elliot before grabbing a thirty good pounds of treasure that had been wrapped in small black bags , and shoving it into his backpack . """
1808,a good six minutes,a six good minutes,"Elliot reluctantly began his laps , finding all the other students overtaking him as he struggled to keep up , and , by the time he 'd completed , his peers had left to the weight room a six good minutes prior ."
1809,a good two feet,a two good feet,When the entirety of the half human half beast creature emerged he saw that it was nearly twenty feet long and a two good feet wide .
1810,a good eight minutes,a eight good minutes,asked Cody 's voice after a eight good minutes .
1811,a good two minutes,a two good minutes,Elvira was silent for a two good minutes before continuing .
1812,a good seven minutes,a seven good minutes,"The two remained there for a seven good minutes , Elliot seeking out his aura , until a light tap on his knee made him jump and open his eyes ."
1813,a good two minutes,a two good minutes,"He saw her turn her head towards him from the corner of his eye , remaining silent for a two good minutes , before looking forward ."
1814,a good twenty feet,a twenty good feet,"They backed away , placing a twenty good feet of open space between them ."
1815,a good twenty seconds,a twenty good seconds,They hugged for a twenty good seconds before finally releasing each other .
1816,a good eight minutes,a eight good minutes,"Elliot wrestled to keep his mind focused , but when Mr. Anghel informed them that the test was over , he 'd finished a eight good minutes prior ."
1817,"an approximate 186,000 miles","an 186,000 approximate miles","The speed of light is an 186,000 approximate miles per second , and they tell us that unequivocally nothing can exceed the speed of light – Einstein himself said so ."
1818,a few hundred dollars,a hundred few dollars,"He paid Henry a hundred few dollars a month in rent , and they split most of the utilities ."
1819,a very comfortable 74 degrees,a 74 very comfortable degrees,"It had cooled off considerably outdoors , where the temperature was a 74 very comfortable degrees and Henry opened up the doors from the dining room to the pool ."
1820,a fierce 2500 degrees,a 2500 fierce degrees,The tanks were kept at a 2500 fierce degrees and oil was used for fuel .
1821,an additional fifteen minutes,an fifteen additional minutes,"On March 19 the Lord spent two hours with me , from 7 am to 9 am I shook for half an hour and then groaned in the Spirit for an fifteen additional minutes that morning ."
1822,a few six packs,a six few packs,Partying at the races involved a six few packs and some more of Jason 's famously rolled joints .
1823,a healthy 2.5 lbs,a 2.5 healthy lbs,a 2.5 healthy lbs .
1824,a final ten strokes,a ten final strokes,I was back in my body and the pain came back suddenly and in a huge surge as I heard Tanya scream from out of the darkness for a ten final strokes .
1825,a few million people,a million few people,"We are only one race of a million few people , on a planet the size of Earth ."
1826,a breezy 82 degrees,a 82 breezy degrees,"My mater stuck in Darkness , with the mosquitoes fifty to a finger and the heat like the inside of a tailpipe , and there I was privando en rico inside the Dome , where the bafflers held the scorch to a 82 breezy degrees F. and one mosquito a night was considered an invasion ."
1827,a full two days,a two full days,"Misreading the situation , the head of the U.N. Peacekeeping Mission waited a two full days for tensions to "" cool down "" before attempting to reestablish control ."
1828,a good two years,a two good years,But I can honestly say that we had been going strong for a two good years now .
1829,a long thirty minutes,a thirty long minutes,"This is going to be a thirty long minutes , Maxar thought , trying to ignore him ."
1830,a few hundred feet,a hundred few feet,"If we could just get above it , the summit would only be a hundred few feet more of easy snow climbing ."
1831,a comfortable seventy degrees,a seventy comfortable degrees,"At this hour of the day , the sun sat lower in the cloudless sky , warming the temperatures to a seventy comfortable degrees ."
1832,a full forty years,a forty full years,"After all , she had jumped a forty full years into the future and was alive — she glanced at her missing pinkie — to tell about it ."
1833,a few hundred yards,a hundred few yards,"We parked by the fence a hundred few yards from the entrance and climbed a hill that , based on the contour map , would overlook the guard station and the house ."
1834,a brief six lines,a six brief lines,"Saint Bernard of Clairvaux also tells Mary who Dante is , and in a six brief lines , we get the story of _ The Divine Comedy _ so far :"
1835,a few hundred yards,a hundred few yards,"Christians , at least the adults , loudly scoffed at elves and such while avoiding trips into the forest of more than a hundred few yards and those only in daylight ."
1836,a mere twenty yards,a twenty mere yards,"Looking back to the trail she stopped dead as a pair of eyes at its edge , reflected in the torchlight a twenty mere yards ahead glared back at her ."
1837,a very hectic three days,a three very hectic days,"Seems to have been having a three very hectic days in Paris last week judging by his diary and the girls ' addresses he put down . """
1838,a few hundred feet,a hundred few feet,"We recovered , turned to the right and then dived again and finally pulled out a hundred few feet from the ground ."
1839,a few hundred yards,a hundred few yards,The Hun knew perfectly well that somebody had baled out from the aircraft and they also knew to within a hundred few yards the position to search .
1840,a good six feet,a six good feet,"He was a big powerfully built brute , a six good feet and sixteen stone of bulky strength , with long arms and great red fists the size of a ham ."
1841,a few hundred yards,a hundred few yards,I slowed down and drove off the road down a rough track for a hundred few yards and then stopped .
1842,a good hundred yards,a hundred good yards,The last man had swung away a bit on landing and he was a hundred good yards behind the others .
1843,a friendly forty minutes,a forty friendly minutes,"With the Krakatoa volcanic event taking place over weeks , with some days more special than others , Lisi had set ReEnAct to a forty friendly minutes ."
1844,a few hundred dollars,a hundred few dollars,Katie 's eyes widened in surprise as she recognized a brand of moisturizer that cost a hundred few dollars .
1845,a few hundred dollars,a hundred few dollars,"There was the curious case of a Chinese vase valued at a hundred few dollars , sold in a Swiss auction house for nearly four million dollars to a mysterious Chinese buyer ."
1846,a few thousand dollars,a thousand few dollars,"Present day Russian works sold at the best for around one hundred to one hundred and fifty thousand dollars , and at the other end of the scale a thousand few dollars ."
1847,an extra two years,an two extra years,"We wound up living in that apartment an two extra years until the landlord finally fixed the leak and repainted the ceiling . """
1848,a few hundred feet,a hundred few feet,"Instead , she found Lanai holding onto a red firetruck front door a hundred few feet away ."
1849,a mere three weeks,a three mere weeks,"Chris had joined the Yearbook Committee a three mere weeks ago , and the Committee 's meeting yesterday afternoon had been the first he attended ."
1850,a full ten seconds,a ten full seconds,"For a ten full seconds , there was absolute silence in the cave ."
1851,a mere ninety minutes,a ninety mere minutes,"After a few moments , still holding hands , they embarked on a slow shuffle back to the building — now dark and vacant — that they had fled in terror a ninety mere minutes ago ."
1852,a few hundred dollars,a hundred few dollars,"She carried a hundred few dollars and a pre - paid debit card , also loaded from cash ."
1853,a few hundred dollars,a hundred few dollars,So I spent a hundred few dollars on clothes that I could not wear because I bought stuff that was so nice that it just made me feel uncomfortable .
1854,a whole two minutes,a two whole minutes,"He imagined gorgeous beaches , wonderfully quaint old town squares , chesty blonde women jealous of his statuesque wife , and relaxed for a two whole minutes before bedtime ."
1855,a sensible 75 degrees,a 75 sensible degrees,"I wave my hand and the temperature cools to a 75 sensible degrees . """
1856,a few million miles,a million few miles,I nudge the comet a million few miles off in another direction .
1857,a few billion years,a billion few years,"I feel no animosity from Elliot as he recalls history , though I do get the distinct impression he / she / it has become a bit hardboiled over the course of a billion few years ."
1858,a good 25 years,a 25 good years,"Yes , anyway , so I kept on the straight and narrow for a 25 good years , habits being what they are and all , up until those biologists figured out old age was n't a problem anymore . """
1859,a good two seconds,a two good seconds,Figure I 'll get at least a two good seconds of flying time in .
1860,a few hundred years,a hundred few years,"Since The Cough prevented anyone from dying of any other natural cause , some of those who chanced to live more than a hundred few years got it in their heads to avoid even the most remote dangers to see if they could set the record for the oldest person of all time ."
1861,a good six feet,a six good feet,"From a six good feet away , on the other side of the protective , invisible wall separating the hallway from the lavatory , the heavyset black woman trained her eyes on a spider the size of her pinky - nail ."
1862,a good fifteen seconds,a fifteen good seconds,"Remember , you got ta hold that shit for a fifteen good seconds ."
1863,a few thousand Cabats,a thousand few Cabats,Skellem 's observations had confirmed that there were at least a thousand few Cabats .
1864,a mere 400 years,a 400 mere years,( Step back in time a 400 mere years .
1865,a mere four hours,a four mere hours,"If you recall , it had melted the other 63 memorial diamonds after a four mere hours ."
1866,a further 20 metres,a 20 further metres,"When the smoke settled , the entire blackened tree now rested a 20 further metres away ."
1867,an impressive seven metres,an seven impressive metres,It was not long before the rubber band had stretched an seven impressive metres .
1868,a mere 200 kilometres,a 200 mere kilometres,"Frother , therefore , had no choice but to only travel at 80 percent of top speed capacity – a 200 mere kilometres per hour ."
1869,an extra two trolls,an two extra trolls,"They recruited an two extra trolls to the cause and formed themselves into a far more stable pyramid formation ( three at the bottom , two in the middle , and one on top ) ."
1870,an impressive ten marks,an ten impressive marks,"In the Swoon Hill district junior footy league , he took an ten impressive marks and bagged six goals ."
1871,a few thousand pizzas,a thousand few pizzas,' I reckon that we only have enough ingredients for a thousand few pizzas ! '
1872,a mere ten metres,a ten mere metres,It landed a ten mere metres from the entrance .
1873,a further 50 metres,a 50 further metres,It then travelled a 50 further metres along the ground .
1874,an entire two months,an two entire months,"When I first sat down to write this book an two entire months ago , holidays could bite the big one as far as I was concerned ."
1875,an honest five to six hours,an five to six honest hours,"The ride to Lockton was an five to six honest hours , and it 'd probably take six now ."
1876,a long thirty seconds,a thirty long seconds,"Gary was silent for a thirty long seconds and then said , "" I like it just fine ."
1877,a comfortable 90 miles,a 90 comfortable miles,Gary was driving up I-95 at a 90 comfortable miles an hour .
1878,a long twenty seconds,a twenty long seconds,"It was a little quiet for a twenty long seconds and then the screen flashed , "" We 're not sure about the animals you have mentioned ."
1879,a short two years,a two short years,"They had been thrown together just a two short years ago , but as humans hunger for companionship , this worked exceedingly well ."
1880,a long thirty seconds,a thirty long seconds,"Wait a minute , "" he looked up and ceiling and stood still for a thirty long seconds . """
1881,a good three hours,a three good hours,"After a three good hours of hiking , she was loath to admit it , but now she really did need a bath ."
1882,a good twenty minutes,a twenty good minutes,"I decided to go to his place which was a twenty good minutes away to find that his home was empty , and that he and his own had moved out ."
1883,a constant twenty degrees,a twenty constant degrees,The room was cold and usually stayed at a twenty constant degrees .
1884,a full twenty men,a twenty full men,"So fierce were the blasts and the ensuing waves of flying metal , a twenty full men fell to the ground ."
1885,a full five clicks,a five full clicks,"One second to go , Donis ' ship Striker One joined them a five full clicks away from the striker enemy vessel ."
1886,an impressive three meters,an three impressive meters,"It was a short spear only one - and - a - half meters in length , unlike Menaleus ' Templar spear , which was an three impressive meters ."
1887,a full twenty seconds,a twenty full seconds,"Mr. Olsson , meanwhile , did n't seem to mind and showed expertise and the uncanny ability to pose and smile for the camera at the most opportune time and for a twenty full seconds like a statue ."
1888,a good forty degrees,a forty good degrees,Temujin added some new rocks into the pit in the center of the lodge to keep the temperature at a forty good degrees .
1889,a full thirty years,a thirty full years,"The dust clouds that had choked the sun for a thirty full years began to tear apart and the world was able to breathe at last , like a miner emerging from a collapsed tunnel ."
1890,an impressive four feet,an four impressive feet,"As a matter of fact , the amount of energy Sakura managed to add to the trampoline 's maximum jump was equivalent to an four impressive feet ."
1891,a full five minutes,a five full minutes,There were still a five full minutes left before midnight .
1892,a good eight years,a eight good years,"That 's why I still have a eight good years to go yet before putting my head down to work . """
1893,a good three years,a three good years,"As for Elise , she was a three good years behind , at only twenty - seven ."
1894,a good five minutes,a five good minutes,"But after a five good minutes , he grew bored again ."
1895,a full ten minutes,a ten full minutes,"After driving for a ten full minutes , Hunter 's mood still had not improved ."
1896,a good seven years,a seven good years,"God , he was turned on by this woman , who was a seven good years older than he was ."
1897,a grueling two hours,a two grueling hours,"After a two grueling hours of entertaining the old coots , though , they all managed to disappear , much to his relief , without a lot of fuss ."
1898,a good two months,a two good months,"He wondered what Anton would say if he knew Fern was at their hotel for the duration of her stay , which was a two good months ."
1899,a few hundred feet,a hundred few feet,She shepherded them to Joe and Joseph Jr 's graves which sat at the top of a hill a hundred few feet from their home .
1900,a few thousand tons,a thousand few tons,The bastards are buried under a thousand few tons of smoldering freight at the moment .
1901,a few thousand times,a thousand few times,"Each mirror can be re - aligned a thousand few times a second by the computer , thus producing what appears to be a continuous pattern on the target ."
1902,a few hundred dollars,a hundred few dollars,""" Get on the Internet , for a hundred few dollars you can have your own custom built botnet along with 24x7 tech support ."
1903,a few hundred people,a hundred few people,"The place is popular and gets a hundred few people most nights , mainly in their twenties and early thirties ."
1904,a few thousand feet,a thousand few feet,Now my data says they 're within a thousand few feet of where you are .
1905,a few hundred casualties,a hundred few casualties,They 'll have more pressing problems with a hundred few casualties and a bombed out warehouse .
1906,a few hundred yards,a hundred few yards,"They follow a hundred few yards behind , relaying the mile marker locations to their friends further ahead ."
1907,a few hundred yards,a hundred few yards,"The small bits of duct tape recovered a hundred few yards away lead to suspicions but , given their criminal record , there was little interest in wasting Laramie County resources pursuing the investigation further ."
1908,a few thousand machines,a thousand few machines,""" You got it , "" says Todd as he sends out messages to his root kits on a thousand few machines at once ."
1909,a few hundred yards,a hundred few yards,Jack 's SUV passes a hundred few yards away from them .
1910,a few hundred years,a hundred few years,"We may end - up in a hundred few years with scientists having no other use than being lost playing in the mess they made , so they got to make their profession still more indispensable , yeah , the science of the political scientist , something creepy like that , probably involving superstars and businessmen too ..."
1911,a few thousand years,a thousand few years,What kind of civilization would be there after a thousand few years ?
1912,a few billions people,a billions few people,"I believe mental human health is , among other things , proportional to population ( depending on brainwash , like the gregarine animal thing ) ; If only a billions few people were living on earth , they would feel they are more important and indispensable , and "" depression "" would be lower ( in the best of realities ) ."
1913,a few hundred years,a hundred few years,Was n't there a race of little people that lived a hundred few years ago and got themselves into a genocide ?
1914,a full blown 4 feet,a 4 full blown feet,"Ah , god made the chimpanzee in his image , and his feet tall little chimpanzee straightened to become a 4 full blown feet chimpanzee , then he came to earth in his vessel and birthed a branch like himself that grew to become human ."
1915,a few thousand years,a thousand few years,"If we survive them so we can study them in a thousand few years of being free of their influence in a different reality , evolved people will all acquiesce that religions have been one of the greatest hurdle of humanity when looking through all its after effects , whatever many presently believe we 'd be nowhere or retarded if they did n't exist ."
1916,a few hundred yards,a hundred few yards,"They 're far away , maybe a hundred few yards away from the train you are on , which you notice has picked up steam and is now going faster ."
1917,a good fifteen to twenty minutes,a fifteen to twenty good minutes,"YOU and the girls actually walk the green and hilly fields at night , taking a fifteen to twenty good minutes to get over to the walled village of the Funeral Breaks ."
1918,a few thousand bucks,a thousand few bucks,"You give a thousand few bucks to the Page sisters , who shake your hand , then stuff the rest into every available pocket ."
1919,an additional 24 hours,an 24 additional hours,"After regaining consciousness , she had been assessed by the exorcist on call , who had decided to keep her in for an 24 additional hours before transferring her to the outpatient wing ."
1920,an additional three feet,an three additional feet,"Demons aboveground tended to trim their horns as most cars , buses , trains and doorways were n't really designed with an three additional feet of headroom in mind ."
1921,a good fifteen or twenty years,a fifteen or twenty good years,"Me being a fifteen or twenty good years older than the young noble , we could have been like father facing a son , except for the clear difference in our stations ."
1922,a few hundred paces,a hundred few paces,""" It is a hundred few paces , maybe half a league , but we do n't have to cross the river ."
1923,a streamlined and healthier 132 pages,a 132 streamlined and healthier pages,"In 2005 , I got serious about the screenplay and trimmed it down from 183 pages to a 132 streamlined and healthier pages , knocking nearly an hour off the final run time , had the film been made ."
1924,a good forty feet,a forty good feet,"But when she turned around to show Andrea to Laura , the carriage was n't there , in fact it had traveled a forty good feet down the hill ."
1925,a good six inches,a six good inches,"Even though Bure was a six good inches shorter than Kazakov 's six feet two , Bure seemed to look him eye - to - eye ."
1926,a few thousand dollars,a thousand few dollars,They drop a thousand few dollars on my desk and then bundle her off .
1927,a bare fifteen minutes,a fifteen bare minutes,It was a fifteen bare minutes before Kazakov found himself and Khan seated at a table in a corner of the library 's first floor .
1928,a full hundred years,a hundred full years,"The beauty of the princess was legendary , as was the wealth of her father , and every boy in every village had heard the tales of the slumbering princess who could only be won after a hundred full years by her true love battling through the thorns and placing a chaste kiss on her soft pink lips ."
1929,a mere sixteen hours,a sixteen mere hours,"By the time Paige received the call about her stepfather 's untimely , or slow in coming - depending how you looked at it - death , the pattern of lead and follow between the two had become so firmly ingrained that it seemed perfectly natural for her oldest and dearest friend to pack a bag and book the adjoining seat on the redeye flight she caught a sixteen mere hours later ."
1930,a bright 100 or 120 watts,a 100 or 120 bright watts,"Knowin ' all those languages and runnin ' your own small business , I 'd rate ya at a 100 or 120 bright watts ."
1931,a mere six mutations,a six mere mutations,"In a paper titled "" The Inadequacy of Neo - Darwinian Evolution as a Scientific Theory , "" Professor Murray Eden from the MIT ( Massachusetts Institute of Technology ) Faculty of Electrical Engineering showed that if it required a six mere mutations to bring about an adaptive change , this would occur by chance only once in a billion years - while , if two dozen genes were involved , it would require 10,000,000,000 years , which is much longer than the age of the Earth.5"
1932,a few thousand years,a thousand few years,The skull itself contained a small amount of fluoride and must have been a thousand few years old .
1933,a few thousand years,a thousand few years,Subsequent chronological research based on the fluoride technique revealed that the skull was no more than a thousand few years in age .
1934,a few hundred feet,a hundred few feet,"Off a hundred few feet , Secrat took vision of one side of the walls surrounding Italina ."
1935,a mere four minutes,a four mere minutes,"In the end , it was a Notre Dame reserve , Art Parisien , who lofted a pass to Johnny Niemec with a four mere minutes left on the clock to give his team the win , despite early heroics from Don Williams and Mort Kaer ."
1936,a mere two games,a two mere games,"The once - mighty Trojans won a two mere games , but there was light at the end of the tunnel in the form of a 13 - 7 upset over Rose Bowl - bound Oregon State ."
1937,a mere 91 yards,a 91 mere yards,"On defense they stuffed USC totally , holding them to a 91 mere yards on the ground and 42 passing ."
1938,a mere 47 points,a 47 mere points,"USC 's defense earned its moniker , the "" Wrecking Crew , "" winning this as they had in a season in which they allowed a 47 mere points ."
1939,"an astonishing 3,221 yards","an 3,221 astonishing yards","In three years , Garrett rushed for an 3,221 astonishing yards , more than Jim Brown , Ernie Davis , "" Mr. Inside and Mr. Outside "" at Army ( Glenn Davis , Doc Blanchard ) , or any other collegiate runner ."
1940,an extra 15 minutes,an 15 extra minutes,"McKay kept his team in the tunnel for six minutes as "" payment "" for Notre Dame letting USC stand in the rain an 15 extra minutes in 1965 ."
1941,an unbelievable 526 yards,an 526 unbelievable yards,"Theisman had his greatest collegiate game , completing 33 of 58 passes for an 526 unbelievable yards _ in a 38 - 28 loss ! _"
1942,"an incredible 1,957 yards","an 1,957 incredible yards","That season , Bell would break O.J. 's single - season rushing record with an 1,957 incredible yards ."
1943,an incredible four times,an four incredible times,"A talented player who would help the San Francisco 49ers win a Super Bowl , on this day he had a severe case of fumbleitis , losing the ball an four incredible times ."
1944,a short five years,a five short years,"What many do not recall , however , is that within a five short years , McKay improved his team under another black quarterback , an area of the game McKay does not get enough leadership credit on ."
1945,a mere 16 seconds,a 16 mere seconds,Then he connected with Johnnie Morton on a 23 - yard touchdown pass into the corner of end zone with a 16 mere seconds to play .
1946,an incredible 411 yards,an 411 incredible yards,He was 25 - of-40 for an 411 incredible yards .
1947,an amazing five years,an five amazing years,"In his career , which by this time included an five amazing years of varsity experience , Booty passed for 8,474 yards , completing 64.2 percent of his passes for 88 touchdowns and 26 interceptions ."
1948,a wiry 215 pounds,a 215 wiry pounds,"He was between six - foot five and 6 - 6 , a 215 wiry pounds , but did not have the muscular , athletic look of Palmer ( while 10 pounds lighter than Cassel ) ."
1949,a combined 81 tackles,a 81 combined tackles,"Seniors Cody and Patterson came in with a 81 combined tackles , 24 for loses , 13 sacks , three fumble recoveries and three blocked field goals ."
1950,a mere four seasons,a four mere seasons,""" This charismatic fellow with the infectious personality is now at the top of his profession and has , in a four mere seasons with the Trojans , achieved things that not even such noble predecessors as Howard Jones and John McKay managed ."
1951,an astronomical 745 yards,an 745 astronomical yards,"USC compiled an 745 astronomical yards , which elicited gasps of disbelief from the ESPN GameDay guys ."
1952,a mere 10 times,a 10 mere times,Bush rushed a 10 mere times for 113 yards and another score .
1953,a mere 100 yards,a 100 mere yards,"They had already become the first team ever to feature a 3,000 - yard passer , two 1,000 - yard rushers , and 1,000 - yard receiver , with Steve Smith a 100 mere yards from getting to the 1,000 mark , too ."
1954,a decent 233 yards,a 233 decent yards,"While Leinart did not make his name on this day , he managed to improve in the second half to finish with 21 completions out of 40 tries for a 233 decent yards , no interceptions , and three touchdowns ."
1955,a few hundred people,a hundred few people,"There was a large fountain in the center of the area with a hundred few people on each side , greeting one another and casually talking ."
1956,a few hundred yards,a hundred few yards,"Being just a hundred few yards away from the castle , they started to pass many of the prisoners who were running toward the castle ."
1957,a brief two months,a two brief months,For a two brief months we had nothing to do but work .
1958,a full 180 degrees,a 180 full degrees,"The birdman snapped his head from one side to the other a 180 full degrees , a gesture that meant what follows is not to be overheard ."
