idx,prefixes,aann,default_ann
3519,The fence had to be,a good ten feet,ten good feet
3520,Focus * * on building this one habit for,an entire 30 days,30 entire days
3522,The shaft had to be,a good seven inches,seven good inches
3523,"Though she wore fashionable high - heeled slippers , he still towered over her by",a good six or seven inches,six or seven good inches
3524,"They were several miles outside of Cedarville ,",a good thirty miles,thirty good miles
3528,"Two days before I was to be released , I was told the government needed",an additional 45 days,45 additional days
3530,For,a full five minutes,five full minutes
3531,I shake my head for,a good ten seconds,ten good seconds
3534,After spending,a long ten eyeblinks,ten long eyeblinks
3535,It took,a full thirty seconds,thirty full seconds
3537,It was,a tough eight years,eight tough years
3541,""" Well , hello to you too , "" said her father , lifting his head from his book for",a full two seconds,two full seconds
3543,"But now it was mid - May , the height of the dry season , and the rains were",a good three months,three good months
3544,"At six foot four , he was",a good two inches,two good inches
3545,After a spending,a miserable and isolated twelve months,twelve miserable and isolated months
3546,It took me,an entire fifteen minutes,fifteen entire minutes
3548,The DNA specialist suddenly seemed to realize that being so close to an enraged man who outweighed him by,a good twenty pounds,twenty good pounds
3554,"He could n't see the bottom of the complex , but figured it must be",a good ten or fifteen feet,ten or fifteen good feet
3556,In,a few 100 years,100 few years
3557,"If we are abiding by the spirit of the law , do we automatically ( without any need for a written law ) look to a calendar based on the agricultural seasons of Judea , and observe",a specific seven days,seven specific days
3558,It took her,a whole six hours,six whole hours
3561,It was,a good four inches,four good inches
3562,After,a good five minutes,five good minutes
3563,It took,a good 15 minutes,15 good minutes
3564,It took,a full two weeks,two full weeks
3566,On foot the trip would take,a good twenty minutes,twenty good minutes
3567,Diana lay there,a full twenty minutes,twenty full minutes
3568,"She brushed past Barbara without apology , wandering the halls for",a good ten minutes,ten good minutes
3569,"Not in the habit of fasting , he spent",a miserable three days,three miserable days
3570,A gray pony streaks from the outside and wins by,a good three lengths,three good lengths
3571,For,a full seven minutes,seven full minutes
3572,Seconds after her brain jack hammered for,a full seven minutes,seven full minutes
3573,After,a pleasant two hours,two pleasant hours
3574,I had him to myself for,a whole two hours,two whole hours
3575,It then took us,a further 50 miles,50 further miles
3576,The rules stated that Judy would have to wait 30 seconds and then follow me within,a further 30 seconds,30 further seconds
3578,"Crimson streaks ran from the open door of the barn to where the animal held her now ,",a good ten feet,ten good feet
3579,"He did these things with a motivated swiftness , but it still took him",a good five minutes,five good minutes
3581,"Then Jr did something fascinating in its political lethargy , he just sat there for",a full seven minutes,seven full minutes
3582,"The room behind the door was not a room , it was the start of what looked like a large maze , the walls of the maze were constructed of large black rectangular blocks of granite about nine feet high and four feet wide , the ceiling was",a further five feet,five further feet
3583,Built as a walled city some ten miles across it was approaching about seven or eight hundred years old and had four levels underground which were a legacy of nuclear days and,a further seven levels,seven further levels
3584,"Well "" said John , "" We are as prepared as we can be so I think tonigh 's the night so a little nap may be in order first , after all we are going to be up for",a further twelve hours,twelve further hours
3585,He ate,a little three times,three little times
3586,For at least,a solid two seconds,two solid seconds
3587,Rosalie was driving the car at,a comfortable fifty miles,fifty comfortable miles
3589,I look down at the cracked mud and measure,an additional .02 inches,.02 additional inches
3590,She 'd probably been frozen in that position for,a good five minutes,five good minutes
3591,"Then she was downstairs on the window and I was in the phone room , so I did n't get to see her for",a whole three hours,three whole hours
3592,"Even though she was wearing high heels , I was",a good five inches,five good inches
3593,It took,a full two cups,two full cups
3598,She counted,a whole sixty seconds,sixty whole seconds
3600,The stately mansions of Summit Avenue lay,a mere three blocks,three mere blocks
3603,"Trying very hard not to fall asleep and tumble from her post , she spent",a miserable four hours,four miserable hours
3604,She had strayed up into the hills after her father 's missing sheep and none had seen her for,a full three days,three full days
3605,He spent,a good twenty minutes,twenty good minutes
3606,"If you want that , I will get a seat booked , baby , I would jump at the chance to spend",an extra eleven hours,eleven extra hours
3608,When he returned,a mere ten minutes,ten mere minutes
3610,"The tallest building , where the new Secret Service office was located , was the U.S. Bank "" Tower "" —",a staggering seven stories,seven staggering stories
3612,It was so good that after,a very busy eight years,eight very busy years
3614,"Inside , the two girls smiled as the wind blew through their hair , having taken the fabric top off of the vehicle hours before when the sun finally broke through the clouds , allowing the temperature to climb to",a balmy 78 degrees,78 balmy degrees
3615,"Inside the diner , the old man smiled as the waitress brought him",an extra two hamburgers,two extra hamburgers
3616,"His parents had desperately needed a quiet night out together , and the young boy had finally convinced them that he could be trusted without a babysitter for",a measly four hours,four measly hours
3617,It took his mom and dad,a solid 15 minutes,15 solid minutes
3619,They roared like a pair of madmen for,a good ten minutes,ten good minutes
3621,He was still laughing and staring at his hand that still held,a whole ten pounds,ten whole pounds
3622,I spent,a good twenty minutes,twenty good minutes
3628,"There were two games ; the first was the usual throwing it as far as possible , the second was throwing it at a target which was",a mere 10 metres,10 mere metres
3629,"As he lived in Thorne ,",a good 8 miles,8 good miles
3630,"Denise 's Matron of Honour was Kathy , the blonde woman who was at that first meeting in College Grove Club ,",a mere 20 months,20 mere months
3633,The Israeli uniforms were seen in and out of the rooms for,a good two hours,two good hours
3634,Rising from his bed after,a scant two hours,two scant hours
3636,Sartorius stared at him incredulously for,a full three minutes,three full minutes
3637,"Kira , a notoriously foul - tempered Scottish academic , had had",a hard five years,five hard years
3639,He finally remembered,a full two hours,two full hours
3641,You 're about,a good 8 years,8 good years
3643,When the Messenger of Allah ( pbuh ) was a child of,a mere 12 years,12 mere years
3644,"On realizing that he was about to become a martyr , Ibn - i Fuheyra ,",a mere 40 years,40 mere years
3645,The anger and jealousy thing lasted for,a good four months,four good months
3646,"Actually , I could have cared less because it gave me",an extra 30 minutes,30 extra minutes
3647,It took,a good five to ten minutes,five to ten good minutes
3648,I had,a good two hours,two good hours
3649,"She walked me to the train , after spending over four delightful hours with me , and we met in a passionate kiss that lasted",a good twenty seconds,twenty good seconds
3650,"Conversely , the move lengthened Sam 's commute to about an hour and 20 minutes from",a painless 35 minutes,35 painless minutes
3651,They are,a good ten minutes,ten good minutes
3653,She weighed,an even ninety pounds,ninety even pounds
3654,"I could n't stop my eyes from following the pattern of swirling lines until he cleared his throat demonstratively , and I realized I 'd been ogling him for",a good thirty seconds,thirty good seconds
3655,We ate in silence for,a good twenty minutes,twenty good minutes
3656,After we 'd turned off the motorway and had driven along windy farm roads for,a good twenty minutes,twenty good minutes
3658,It had to be,a good nine inches,nine good inches
3661,"Now that she was starting over as an apprentice , she was",a full five grades,five full grades
3664,"Finally ,",a long twenty minutes,twenty long minutes
3667,Aaron Hines was,a lest seven inches,seven lest inches
3669,It took,an additional two minutes,two additional minutes
3671,As it happened they had just missed one and had to wait,a further forty minutes,forty further minutes
3672,He made me scale the rope,an extra five times,five extra times
3673,"Mattie , as Fredreich referred to his wife privately and out of hearing range of their employer , shot a pensive glance at her husband , and he returned her gaze , holding it for",a full ten seconds,ten full seconds
3674,It took,a further fifteen minutes,fifteen further minutes
3675,""" Too little , and this week it was",a whole five dollars,five whole dollars
3677,After,a full five months,five full months
3678,"Simmy had the good graces to check that I was okay first , then lay down on the ground and laughed for",a full five minutes,five full minutes
3679,We ran for,a good two hours,two good hours
3680,Then she spent,a good twenty minutes,twenty good minutes
3681,It was,a good five minutes,five good minutes
3682,He was probably only fifty but he looked,a good ten years,ten good years
3683,What you 're seeing right there is,a good three years,three good years
3688,"After I explained the concept of the shower , he played with it for",a good thirty minutes,thirty good minutes
3690,"First death , Ambassador Hadde , means that each competitor fires one arrow at a time and the first to score",an uncontested three wins,three uncontested wins
3692,And so this is where we get the whole idea of,a final seven years,seven final years
3693,The train finally pulled into Moscow Station in Leningrad,a mere 14 hours,14 mere hours
3694,It had been,a long three weeks,three long weeks
3695,Bondi Beach was,a leisurely 30 minutes,30 leisurely minutes
3696,"If they had the guts , she might win her bet and receive a prize better than",a mere fifty pounds,fifty mere pounds
3697,But it was,a vital two minutes,two vital minutes
3698,"With his alligator skin platform shoes proudly displayed beneath his bell bottoms , he stood",a full three inches,three full inches
3699,His car now sat,a good fifty yards,fifty good yards
3700,"When the ride stopped ,",a full seven minutes,seven full minutes
3702,"By day 's end , Shap wore a Chernobyl sized band aid ,",a full four inches,four full inches
3703,"He was certain he could make the courts in time for a couple of quick pick - up basketball games , and",a frosty forty ounces,forty frosty ounces
3704,In the right lane he whisked past Mary at,a blistering twenty miles,twenty blistering miles
3705,"Upon further consideration , she figured Cuddy would pack on",an extra thirty pounds,thirty extra pounds
3707,With,an easy fifteen minutes,fifteen easy minutes
3710,They cruised along I-5 towards La Jolla at,a brisk ninety miles,ninety brisk miles
3711,"During that time he spent three years in the desert of Arabia being taught by the Spirit of Christ ( Galatians 1:11 - 17 ) , he travelled to Jerusalem , then returned to teach in his home town of Tarsus for",an additional four years,four additional years
3712,""" Blotting out the handwriting of ordinances that was against us , ( the Law , and especially the Law that was being practiced at the time of Christ which was",a degenerated 613 rules,613 degenerated rules
3713,She was still California girl blonde and at,a slim five feet,five slim feet
3714,She supported the Government 's new bill that sent anyone with more than six marijuana plants to,a mandatory six months,six mandatory months
3715,The original oak pedestal desk was replaced by,a functional six feet,six functional feet
3717,And I would have missed,a wonderful six months,six wonderful months
3718,One concrete manifestation of this is the simple fact that you have more willpower if you have slept,a full eight hours,eight full hours
3719,He had,a fabulous first two years,two fabulous first years
3720,"When you 're thirty points down in the fourth quarter , who cares , just throw up",a few crazy three pointers,three few crazy pointers
3722,"The night before , as Nora pronounced the steps a "" good place "" for her to sleep , I considered , but then dismissed , her proposal , and spent",a good ten minutes,ten good minutes
3723,"the young chap will be up and saluting again , and desensitized enough by the first orgasm that he will be able to go",a solid five to ten minutes,five to ten solid minutes
3724,"I was n't being a helicopter parent : some guy was actually hauled out of the mosh pit on a stretcher , and he outweighed my boy by",a good 75 pounds,75 good pounds
3725,"As a young man , he had romantic notions of being an architect , and it took him",a mere eight years,eight mere years
3726,And so it went for,a full two hours,two full hours
3727,It was,a long two days,two long days
3728,He was still,a good eight feet,eight good feet
3730,Jason flew through the air,a good six feet,six good feet
3731,"He was darkly tanned , had a small black goatee , and , based on how tall he was doubled over touching his toes , would probably have",a good six or eight inches,six or eight good inches
3734,"Despite his mother 's protests , he 'd spent",a good two hours,two good hours
3735,Your house is,a good two miles,two good miles
3736,He towered over her by,a good six inches,six good inches
3737,It will mean we have,a good two to three months,two to three good months
3738,"The navy 's intention was that after finishing at Dartmouth , all the boys would then spend",a further six months,six further months
3739,He wanted,"an additional 60,000 pounds","60,000 additional pounds"
3740,Gary managed to stuff,an additional 900 ounces,900 additional ounces
3742,Even though he was,a good six inches,six good inches
3743,Set them back,a whole two weeks,two whole weeks
3744,Cavanaugh took control of the package for,a whole ten seconds,ten whole seconds
3746,That was,a dreadful ten years,ten dreadful years
3747,Rawlins was screaming repeatedly at me to move and it must have been,a full five minutes,five full minutes
3749,""" Why did it take you",an extra two years,two extra years
3750,It will take you,a good four hours,four good hours
3751,That closed their beaks for,a solid ten seconds,ten solid seconds
3752,"As much as I would like to grant your wish , my love , I refuse to consider waiting",an additional three months,three additional months
3753,With the wedding,a mere three days,three mere days
3754,"Broken ribs notwithstanding , I must outweigh you by",a good eighty pounds,eighty good pounds
3755,"Ignoring her , I opened the carriage window and leaned out to peer down the steep drop that lay",a mere two feet,two mere feet
3757,One would think the Divine Being would have built it to last more than,"a paltry 6,000 years","6,000 paltry years"
3759,"You 've probably seen her yourself in snippets of that weekly chat show she had on NHK , which used to get picked up by the networks here when they needed",a quick thirty seconds,thirty quick seconds
3760,"As it turned out , however , while I was on the phone leaving messages at country clubs for the building 's attorneys ,",a mere five blocks,five mere blocks
3761,"The dark tip of the brush pirouetted down the paper , starting at the left and laying down",a mere five lines,five mere lines
3762,"After he reached the pinnacle , he held the job for",a mere five years,five mere years
3763,The makeover took,a good three quarters,three good quarters
3766,The drop from here was still,a good twelve feet,twelve good feet
3768,"Beginning in the humid three - thousand - foot inland mountains and moving northward toward the sea , the landscape transforms in",a quick seven to eight kilometers,seven to eight quick kilometers
3769,Some of the gullies are,a spectacular ten and fifteen meters,ten and fifteen spectacular meters
3770,"Hutterite women during the period 1880 to 1950 — when their fertility was highest — entered union at 22 years , only .3 years later than among Jean Rabel women , and bore their first child",a mean thirteen months,thirteen mean months
3771,"Piglets sell for 250 gdes ( US$ 14.88 ) , meaning that a litter of ten can yield the owner(s )","a respectable 2,500 gdes","2,500 respectable gdes"
3775,"' Sorry , son , ' for Tort was",a good ten years,ten good years
3777,It was,a quiet five minutes,five quiet minutes
3779,Nothing would feel better right now than a hot shower and,a solid twelve hours,twelve solid hours
3780,Maybe,a brief 22 years,22 brief years
3782,In fact they allowed the Islamic Levant to continue under the decaying grip of the Ottoman Imperial Empire until after WW I. And even then by and large the Kafir occupation was,a mere forty or fifty years,forty or fifty mere years
3786,He stares me down for,a good twenty seconds,twenty good seconds
3789,"The sky was clear , and the sun was bright , and despite the hot temperatures we were normally used to , it was",a comfortable seventy degrees,seventy comfortable degrees
3790,Val finished rinsing and then stood under the water for,a good ten minutes,ten good minutes
3793,Her mom did n't talk to Nadean for,a lovely and quiet nine months,nine lovely and quiet months
3795,"There are 10,400 seats in the lower tier corners which can be converted to standing room to allow","an additional 3,120 spectators","3,120 additional spectators"
3798,Trade between people living in Mesopotamia and those living in Egypt and Turkey seem to have been going on for,"a good 35,000 years","35,000 good years"
3799,"Ganges covers an area of 400,000 square miles and flows through 29 cities with population 100,000 and 23 cities with population 50,000 to 100,000 and",a further 48 towns,48 further towns
3800,That had been,a full five minutes,five full minutes
3801,She was,a mere fifteen miles,fifteen mere miles
3802,"Jemima grabs the canvas bag out of his other hand and he trails the two kids into the kitchen , idly noting that Jemima is",a good six inches,six good inches
3804,The alley stretched,a good ten feet,ten good feet
3806,It was then,a busy forty minutes,forty busy minutes
3807,The tape plays for,a further five minutes,five further minutes
3813,"The reporter for the _ New York Times _ , Myron Farber , was sentenced to prison until he turned over his notes ( civil contempt ) plus",an additional six months,six additional months
3815,""" Hillard Steelten , I sentence you to",an extra fifty lashes,fifty extra lashes
3817,The journey to the island lasted for,a good three hours,three good hours
3818,We must have been moving for,a good ten minutes,ten good minutes
3826,"The plastic wrapped bundles were too large to be squeezed through the slit , which was a metre long but",a bare fifteen centimetres,fifteen bare centimetres
3828,They sat side by side for,a very long twenty minutes,twenty very long minutes
3830,"Focus on little things : how you enjoyed sharing a meal with a friend , how you enjoyed hugging your mom or how cool it was to lay in bed for",an extra fifteen minutes,fifteen extra minutes
3831,So we all turned to our CO ( a woman as stern as she was fair and forthright ) and she stared back at us for,a tense twenty seconds,twenty tense seconds
3832,"But last week one of my closest nurse pals stumbled into my tent , collapsed into my arms , and sobbed for",a full fifteen minutes,fifteen full minutes
3833,She 'd even waited,a good ten minutes,ten good minutes
3834,She stared blankly at the door for,a good five minutes,five good minutes
3835,and held the end note for,a full twenty seconds,twenty full seconds
3836,Lisa stared at the phone for,a full five seconds,five full seconds
3837,I waited,a harrowing ten minutes,ten harrowing minutes
3838,Each was,a perfect sixty feet,sixty perfect feet
3839,"Fast forward a month and a half later and Vivian found herself on a plane headed to Playa Del Carmen , Mexico where it was sunshiny and",a warm 82 degrees,82 warm degrees
3840,She glanced back after they were,a good 20 feet,20 good feet
3841,"Wendy , who was",a good 15 yards,15 good yards
3842,Kate was,a good 30 minutes,30 good minutes
3843,BlueMicron Inc. was offering,a full 30 times,30 full times
3845,In,a scant two weeks,two scant weeks
3846,"He heads for a small border town called Tarnos , where the voice of his personal fortuneteller advises him to tour the vineyards and learn the art of fine wine making — which he does in",a scant two years,two scant years
3847,"This two - year period between when a subsequent manufacturer can make a submission and when it can receive an NOC corresponds to the time period required by the subsequent manufacturer to meet its obligations under the _ PMNOC Regulations _ , as described below.[6 ] This period can be extended",a further six months,six further months
3848,He remembers that it was,a full forty minutes,forty full minutes
3850,I had never before traveled any distance averaging,a full ninety miles,ninety full miles
3851,I began to think deeply about the challenges ahead of me –,a full two years,two full years
3852,"During that night ,",an unprecedented sixteen inches,sixteen unprecedented inches
3855,You would n't be able to tell from the clear skies outside Northport that a massive storm had all but leveled the area,a bare two days,two bare days
3856,She was,a good five inches,five good inches
3857,""" It 's been",a good five years,five good years
3859,He could n't see very well and Viradoferro was,a good three inches,three good inches
3860,You ca n't take,an extra three seconds,three extra seconds
3865,"Now ,",a further three months,three further months
3868,"The bullock had stopped in a patch of scrub , at the foot of a big dune , now",a good 300 metres,300 good metres
3869,I 'm lucky to be looking forward to,a good four hours,four good hours
3873,"Fifty metres , then twenty , then it came past",a bare five metres,five bare metres
3876,She luxuriated in the hot water and steam for,a good ten minutes,ten good minutes
3877,"When he came close to the water 's edge he sat down , real still , for",a long five minutes,five long minutes
3878,It seemed to take an age until it was,a good ten metres,ten good metres
3880,Now it was,a bare 20 metres,20 bare metres
3881,"It passed them by ,",a bare five metres,five bare metres
3882,They were ten metres back from the edge and it was,a bare 1–2 metres,1–2 bare metres
3884,The main was,a good ten yards,ten good yards
3889,""" No , "" I whispered disbelievingly , staring at the writing above the single empty pod on the end ,",a further twenty pills,twenty further pills
3890,He was,a good two years,two good years
3893,After making short work of throwing on the spare the woman was so grateful that she immediately dropped to her knees and polished his knob with a ferocity that left him frozen to the spot for,a full five minutes,five full minutes
3894,Worthy ground his teeth for,a tense ten seconds,ten tense seconds
3895,"I stand over her ,",a towering six feet,six towering feet
3896,The receptionist was,a good ten years,ten good years
3897,It then took,a further twenty seconds,twenty further seconds
3898,Jackson allowed,a full five minutes,five full minutes
3900,After,an agonisingly long ten minutes,ten agonisingly long minutes
3901,The cursor flashed for,an agonisingly long five seconds,five agonisingly long seconds
3903,"As Perez had already noted , the engines had been worked extremely hard on their outward journey , and now as a result , the Cleopatra was limping at less than half her normal cruising speed , which for the crew meant",an additional two weeks,two additional weeks
3904,Dwarfes my collection of,a mere four spoons,four mere spoons
3905,| Dwarfes my collection of,a mere four spoons,four mere spoons
3908,I push myself and swim for,a good two hours,two good hours
3909,"He pulled out Emirates in flight magazine and turned to the maps , then looking at India he was disappointed to discover no sign of a place called Kovalam , though he spotted Trivandrum , which lay near the south Indian coast , a straight line from Dubai over what he discovered was called the Arabian Sea ,",a giddy ten kilometres,ten giddy kilometres
3911,"On reading the details it seemed that after a rogue trader at SocGen had lost four billion euros , the French bank had tried to sell its way out of trouble , causing the panic on world markets , pushing the Fed into making what was considered",a massive three quarters,three massive quarters
3914,Lussier would be,a good five years,five good years
3915,"Opening night , what ,",a whole two days,two whole days
3916,"The dart had penetrated the woody outer husk , with",a good three centimetres,three good centimetres
3918,"Could she have gone in , and then come out in",a bare three or four minutes,three or four bare minutes
3920,"Such things were not unheard - of , and in fact Maintenon 's brother - in - law ( or one of them ) was",a good six years,six good years
3922,There were,a few seventeen or eighteen youngsters,seventeen or eighteen few youngsters
3923,""" Thanks for that great introduction , "" David said , grinning , looking over his shoulder at the man from the convention who had just spent",a good five minutes,five good minutes
3925,"Although the SUV he 'd rented was parked in a parking garage on the corner of Greenwich and Barclay ,",a mere fifteen minutes,fifteen mere minutes
3926,Antonio fought viciously as his opponent -,a good forty pounds,forty good pounds
3928,The wedding party added,an extra thirty guests,thirty extra guests
3929,"We can all eat two avocados during a day ,",a whole two avocados,two whole avocados
3930,"This principle is saying that once a week , you take",a whole 24 hours,24 whole hours
3931,"We used to eat all of our lives – even if one day I ate only one meal , we do n't used to and we are not familiar with this costume of suddenly not eating during",a whole 24 hours,24 whole hours
3932,"But because in their mind they know that this is a day , which is",a whole 24 hours,24 whole hours
3934,""" If I create a wormhole for us to fly back in time , even by",a mere five minutes,five mere minutes
3936,"Right out in front of the shop is a clothing rack with a black leather trench coat , in immaculate condition ; for",a mere twenty dollars,twenty mere dollars
3938,It was,a painful grizzly six weeks,six painful grizzly weeks
3939,"For the proposal to pass , and for us to get a new constitution , it will take",a daunting 34 states,34 daunting states
3940,He had been waiting for,a good four hours,four good hours
3941,"Leon collapsed to the floor before he reached the bed , and appeared at his destination after",a good ten minutes,ten good minutes
3942,In,a good twenty minutes,twenty good minutes
3943,The two of them sat breathlessly for,a good three minutes,three good minutes
3949,"Place eggplant on baking sheet and broil 8 to 10 minutes , turn over and broil",an additional 8 to 10 minutes,8 to 10 additional minutes
3950,"Using a thin knife or spatula , loosen the sides and cool",an additional 30 minutes,30 additional minutes
3951,Reduce the temperature to 350 degrees F and bake for,an additional 30 to 45 minutes,30 to 45 additional minutes
3952,Remove cover and continue to bake,an additional 10 minutes,10 additional minutes
3953,Add the vinegar and cook,an additional 5 to 7 minutes,5 to 7 additional minutes
3954,"Stir in cranberries and cinnamon , cover and continue to simmer for",an additional 20 to 25 minutes,20 to 25 additional minutes
3955,Then lower the temperature to 325 degrees F and bake for,an additional 30 to 45 minutes,30 to 45 additional minutes
3956,Cover and cook,an additional 10 to 12 minutes,10 to 12 additional minutes
3957,"Roast in the oven at 350 degrees F covered for 1 hour , then remove the cover and cook",an additional 15 to 30 minutes,15 to 30 additional minutes
3958,Bake uncovered for,an additional 10 to 15 minutes,10 to 15 additional minutes
3959,Return the dish to the oven and cook,an additional 5 to 8 minutes,5 to 8 additional minutes
3960,"Turn over , and cook",an additional 15 minutes,15 additional minutes
3961,""" Yes I can just watch , for",a whole 3 months,3 whole months
3964,The ceiling was,a good twenty feet,twenty good feet
3965,After,a mere thirty seconds,thirty mere seconds
3966,"It was after a battle the Sogolians had lost , but he was only imprisoned for",a mere two weeks,two mere weeks
3968,The last Beast Card was worth,a whopping 50000 points,50000 whopping points
3970,It was,a good five minutes,five good minutes
3975,Joe B. returned to the stairwell and worked his way laboriously back to the lobby – only,a merciful three flights,three merciful flights
3979,"Helen herself , Lalitha thought to herself , had seemed to have aged",a mere five years,five mere years
3981,"And the young woman paid for her candy , and gave Lalitha a ' tip ' of",an additional five dollars,five additional dollars
3984,For her it 's been,a long two months,two long months
3985,"She had been quite slim before she had become pregnant with James , but Helen was now",a hefty 190 pounds,190 hefty pounds
3986,"Helen smiled at him , appreciating his little white lie ; she had heard soft scuffling on the gravel for",a good ten minutes,ten good minutes
3991,Would she curse Helen after,a mere two years,two mere years
3994,It takes me,a solid five minutes,five solid minutes
3995,""" We should , "" he concedes , but it still takes him",a full five minutes,five full minutes
3996,I 'm pretty sure I gape at him for,a full five seconds,five full seconds
3997,"By picking them up , she was sacrificing",an extra fifteen minutes,fifteen extra minutes
3998,Both the CMA and the AMC would present her with that award for,an unprecedented four years,four unprecedented years
3999,"Two - weeks later , he reappeared and said he would do it for",an additional ten dollars,ten additional dollars
4000,"Since it was a huge amount of space , and we had no need for the massive wine cellar , we had plans drawn up for",an extra ten bedrooms,ten extra bedrooms
4002,It took,a full two days,two full days
4003,It took us,a good five minutes,five good minutes
4004,It took,a good two weeks,two good weeks
4005,We stayed on,a further two months,two further months
4007,My ride comes after,a good six minutes,six good minutes
4008,He looked,a good ten years,ten good years
4010,I had been fully awake for,a good two or three minutes,two or three good minutes
4011,I lived,a further five or six minutes,five or six further minutes
4012,I lay there for,a full fifteen minutes,fifteen full minutes
4013,We watched for probably,a further two or three minutes,two or three further minutes
4014,This planning meant that they had to reserve the power at least,a full two months,two full months
4015,There was about,a further twelve feet,twelve further feet
4016,I continued to sit in my chair for,a good three or four minutes,three or four good minutes
4017,For,a full five seconds,five full seconds
4018,"I strode away from him towards the tube station , every step tearing through the life purpose I 'd had for",a full two minutes,two full minutes
4020,"Far off on the horizon , the jewel of Sol City appeared , a sapphire bubble within which the atmosphere was breathable without plugs and the temps were kept at",a steady 72 degrees,72 steady degrees
4021,"Methods : Human cell lines MV4;11 and Molm-13 ( AML ) , Jurkat ( T - ALL ) , and Reh ( B - ALL ) were treated with various concentrations of a Wee1 inhibitor ( AZD1775 ) and a Parp1/2 inhibitor ( olaparib ) and counted 72 hours later by propidium iodide exclusion and flow cytometry In some experiments , cells were split into fresh media to recover for",an additional 72 hours,72 additional hours
4022,"However , complete responses were maintained in the combination arms for",a further six weeks,six further weeks
4023,"Manual chart review of physician , dermatology , and pathology notes confirmed SJS / TEN in 47 patients ( in - patient + historical ) and possible SJS / TEN in",an additional 17 patients,17 additional patients
4024,The animals with complete response were taken off from TAM and monitored for,an additional 20 weeks,20 additional weeks
4025,"The overall response rate was 25 % , and",an additional 6 patients,6 additional patients
4026,"In a phase II study of ibrutinib in MCL patients , most of the patients responded and had long durable remissions ; however , 22.7 % of patients were considered to be non - responsive to ibrutinib , and",an additional 22/110 patients,22/110 additional patients
4027,More mutations occur in metastatic lesions after,an additional 6 years,6 additional years
4028,"Average time to metastases ( 19 days in ad lib group ) was increased by an average of 10.5 + /- 3 days with the addition of either docetaxel or cisplatin , and increased by",an additional 6 days,6 additional days
4029,"He was probably a year younger , and",a good 20 centimetres,20 good centimetres
4030,"The passage that lay ahead dropped at a reasonably sharp angle , it then continued for",a further 50 metres,50 further metres
4031,""" Right , we 're here , now either we camp inside here , as it 's probably night - time out there , or we see if we can make it to a friend 's house , which is",a further 800 metres,800 further metres
4032,"He was a huge specimen of Rexon , being",a good 30 centimetres,30 good centimetres
4033,"On the other end of the lake ,",a mere ten or twenty feet,ten or twenty mere feet
4034,"I never been to Letheburg , and they say the Royal Palace there is so grand , like",a whole ten houses,ten whole houses
4035,"The second analysis was performed by systematically looking for genes across all tumor types with loss of function ( LoF ) or hotspot in - frame mutations , which identified",an additional 12 genes,12 additional genes
4036,In a series of colorectal polyps left in situ for,an average 3.27 years,3.27 average years
4037,"To induce MET , the cells were released from TGF - β treatment and cultured for",an additional 72 hours,72 additional hours
4038,replication testing was conducted in,an additional 600 cases,600 additional cases
4039,"Results : With the median follow up of 10.6 years , we identified",a total 77 genes,77 total genes
4040,"Methods : 177Lu - based - PRRT - treated GEP - NETs ( n=57 ; median age 65 yrs ( 31 - 83 ) ; 34M:23F ; small bowel ( 47 % ) , pancreas ( 35 % ) , predominantly G2 : 65 % ) followed for",a median 15 months,15 median months
4042,"We selected 212 advanced prostate cancer ( ≥ stage T3b , distant metastasis or cancer death during follow - up ) patients and 212 matched controls for whom pre - diagnostic bloods were collected with",a median 5.5 years,5.5 median years
4043,"Similarly , additional samples were cultured for 2 days , with or without ADI - PEG20 , and subsequently treated with UC13 labeled glucose for",an additional 24 hours,24 additional hours
4044,""" Do n't be frightened Mahmoud , I have a surprise for the pussy cat "" declared Bertha and with her method , she directs a "" hiss "" of sorts in a volume many times beyond anything possible under atmospheric conditions and the big cat jumps straight up in the air",a good ten feet,ten good feet
4045,"At least I was n't one of the women of 1897 , who wore",an average forty pounds,forty average pounds
4047,"Justin was huge ,",a good eight inches,eight good inches
4049,The book is,an archaic 211 years,211 archaic years
4050,Weaver had pretended to think about it for,a whole three seconds,three whole seconds
4052,"Uncover , brush with marinade & bake",an additional 30 minutes,30 additional minutes
4053,Cook,an additional 30 minutes,30 additional minutes
4054,Uncover and bake,an additional 30 minutes,30 additional minutes
4055,Uncover & bake,an additional 15 minutes,15 additional minutes
4057,"I was very close , only",a mere thirty seconds,thirty mere seconds
4059,"We are now sitting at the gate waiting to board , with",a whole 10 minutes,10 whole minutes
4060,It took me,a whopping two minutes,two whopping minutes
4061,We spent,a good thirty minutes,thirty good minutes
4062,It took me,a whole five seconds,five whole seconds
4063,I 've been running the polar solvent for,a good twenty minutes,twenty good minutes
4064,"Plus the fact that Myrtle , even in her eighties , could straighten up to",an intimidating six feet,six intimidating feet
4065,"Her eyes opened , but she could n't focus for",a good thirty seconds,thirty good seconds
4067,I did n't think I 'd moved or said anything for,a good five minutes,five good minutes
4068,But that meant I had,a good ten minutes,ten good minutes
4070,"Yeah , but",a whole ten minutes,ten whole minutes
4073,"The old woman has finally caught up , stooped so far that her head is titled",a full 60 degrees,60 full degrees
4074,"Joan flatters , as Blake emerges from his bedroom newly - shaved , freshly - showered , hair washed and neatly combed , actually wearing a necktie – the mate , I assume , of the one he 's loaned me for this special occasion – and",a full 24 hours,24 full hours
